geneInfo,gene,Chr,Start,Stop,pvalsDup,FoldChange,Mouse.EntrezGene.ID,Human.Chr,Human.EntrezGene.ID,Human.Symbol
Nrg2/chr18:36017657-36197160,Nrg2,chr18,36017657,36197160,0.014664295,1.188139434,100042150,5q23-q33,9542,NRG2
Jph1/chr1:16994939-17097889,Jph1,chr1,16994939,17097889,0.014687623,0.928637478,57339,8q21,56704,JPH1
Ppp2r5a/chr1:191351980-191397041,Ppp2r5a,chr1,191351980,191397041,0.014727439,1.083313874,226849,1q32.2-q32.3,5525,PPP2R5A
Aco2/chr15:81872462-81915137,Aco2,chr15,81872462,81915137,0.014746403,0.958505188,11429,22q13.2,50,ACO2
Aimp2/chr5:143902703-143909839,Aimp2,chr5,143902703,143909839,0.014761712,0.876982241,231872,7p22,7965,AIMP2
Ppil1/chr17:29250834-29263971,Ppil1,chr17,29250834,29263971,0.014765968,1.134682685,68816,6p21.1,51645,PPIL1
Tmed9/chr13:55593134-55597694,Tmed9,chr13,55593134,55597694,0.014876148,1.094901462,67511,5q35.3,54732,TMED9
Dnajb2/chr1:75236422-75245692,Dnajb2,chr1,75236422,75245692,0.014902637,1.058515046,56812,2q32-q34,3300,DNAJB2
Steap4/chr5:7960471-7982213,Steap4,chr5,7960471,7982213,0.014920126,1.999501891,117167,7q21.12,79689,STEAP4
Herc2/chr7:56050154-56231798,Herc2,chr7,56050154,56231798,0.014942971,0.937745392,15204,15q13,8924,HERC2
Kcnk13/chr12:99964498-100062682,Kcnk13,chr12,99964498,100062682,0.014952638,1.158596752,217826,14q32.11,56659,KCNK13
Fbrsl1/chr5:110361751-110448503,Fbrsl1,chr5,110361751,110448503,0.014975043,1.156753334,381668,12q24.33,57666,FBRSL1
Ribc2/chr15:85132098-85144569,Ribc2,chr15,85132098,85144569,0.015015317,1.923020319,67747,22q13.31,26150,RIBC2
Pick1/chr15:79229173-79249466,Pick1,chr15,79229173,79249466,0.015029183,1.093715356,18693,22q13.1,9463,PICK1
Cyp2j12/chr4:96099317-96141152,Cyp2j12,chr4,96099317,96141152,0.015042196,0.84938276,NA,NA,NA,NA
Bbc3/chr7:16309582-16318334,Bbc3,chr7,16309582,16318334,0.015051301,1.248002828,170770,19q13.3-q13.4,27113,BBC3
Bmpr2/chr1:59764636-59870859,Bmpr2,chr1,59764636,59870859,0.015088626,0.814413866,12168,2q33-q34,659,BMPR2
Dgke/chr11:89037581-89060748,Dgke,chr11,89037581,89060748,0.015102207,0.810355878,56077,17q22,8526,DGKE
Pttg1/chr11:43420247-43426248,Pttg1,chr11,43420247,43426248,0.015110783,0.165588317,30939,5q35.1,9232,PTTG1
AA986860/chr1:130731975-130744622,AA986860,chr1,130731975,130744622,0.015135408,0.783524454,212439,1q32.1,79098,C1orf116
Notch4/chr17:34564294-34588543,Notch4,chr17,34564294,34588543,0.015135884,1.301204895,18132,6p21.3,4855,NOTCH4
Mia3/chr1:183326235-183369565,Mia3,chr1,183326235,183369565,0.015149507,0.913423917,338366,1q41,375056,MIA3
Ltbr/chr6:125306570-125313870,Ltbr,chr6,125306570,125313870,0.015159566,1.149711457,17000,12p13,4055,LTBR
Fkbp2/chr19:6977738-6980461,Fkbp2,chr19,6977738,6980461,0.015164029,1.10299598,14227,11q13.1-q13.3,2286,FKBP2
Cox4nb/chr8:120653913-120668112,Cox4nb,chr8,120653913,120668112,0.015209366,1.056275639,NA,NA,NA,NA
Serinc2/chr4:130253496-130275586,Serinc2,chr4,130253496,130275586,0.015223927,1.505595872,230779,1p35.1,347735,SERINC2
Tnfrsf9/chr4:150920154-150946102,Tnfrsf9,chr4,150920154,150946102,0.015230965,1.583335953,21942,1p36,3604,TNFRSF9
Eci1/chr17:24426682-24439316,Eci1,chr17,24426682,24439316,0.01524022,1.202332398,13177,16p13.3,1632,ECI1
Sft2d3/chr18:31909093-31911903,Sft2d3,chr18,31909093,31911903,0.015244033,1.160212058,67158,2q14.3,84826,SFT2D3
Pknox2/chr9:36890982-37147314,Pknox2,chr9,36890982,37147314,0.01524714,0.900971287,208076,11q24.2,63876,PKNOX2
Top3a/chr11:60740058-60777365,Top3a,chr11,60740058,60777365,0.015282083,0.730656092,21975,17p12-p11.2,7156,TOP3A
Xrcc3/chr12:111803192-111813841,Xrcc3,chr12,111803192,111813841,0.015338188,1.150798725,74335,14q32.3,7517,XRCC3
Itpripl1/chr2:127138768-127143457,Itpripl1,chr2,127138768,127143457,0.015418442,1.397861281,73338,2q11.2,150771,ITPRIPL1
Gdi2/chr13:3538074-3566261,Gdi2,chr13,3538074,3566261,0.015424423,0.897107391,14569,10p15,2665,GDI2
Rims2/chr15:39198285-39684372,Rims2,chr15,39198285,39684372,0.015496477,0.904928119,116838,8q22.3,9699,RIMS2
Ankrd33b/chr15:31291478-31367759,Ankrd33b,chr15,31291478,31367759,0.015542671,1.256553702,67434,5,651746,ANKRD33B
Capn2/chr1:182467258-182517483,Capn2,chr1,182467258,182517483,0.015551313,0.904444957,12334,1q41-q42,824,CAPN2
Tsc22d4/chr5:137745968-137768453,Tsc22d4,chr5,137745968,137768453,0.015571469,1.167894883,78829,7p21-p15,81628,TSC22D4
Bicd1/chr6:149408885-149558857,Bicd1,chr6,149408885,149558857,0.015581917,0.815547544,12121,12p11.2-p11.1,636,BICD1
Srsf2/chr11:116849896-116853094,Srsf2,chr11,116849896,116853094,0.015619546,1.158345837,20382,17q25.1,6427,SRSF2
Klf12/chr14:99870639-100149796,Klf12,chr14,99870639,100149796,0.015747542,0.876135867,16597,13q22,11278,KLF12
Chrna1/chr2:73563280-73580306,Chrna1,chr2,73563280,73580306,0.015763992,1.34840893,11435,2q31.1,1134,CHRNA1
Cdkn1a/chr17:29090985-29100722,Cdkn1a,chr17,29090985,29100722,0.015769331,1.141893881,12575,6p21.2,1026,CDKN1A
Lrrc6/chr15:66379857-66500910,Lrrc6,chr15,66379857,66500910,0.015782474,0.861738539,54562,8q24.22,23639,LRRC6
3300002I08Rik/chr2:150310936-150362765,3300002I08Rik,chr2,150310936,150362765,0.015798212,0.50760885,NA,NA,NA,NA
Tmem189/chr2:167643224-167661544,Tmem189,chr2,167643224,167661544,0.015805209,1.082543959,407243,20q13.2,387521,TMEM189
Cnn1/chr9:22099252-22109221,Cnn1,chr9,22099252,22109221,0.015823876,0.389518553,12797,19p13.2-p13.1,1264,CNN1
1810074P20Rik/chr4:25248585-25281821,1810074P20Rik,chr4,25248585,25281821,0.01584782,0.902690264,NA,NA,NA,NA
Lefty2/chr1:180893118-180899102,Lefty2,chr1,180893118,180899102,0.015851963,0.617323271,320202,1q42.1,7044,LEFTY2
Suds3/chr5:117091679-117115993,Suds3,chr5,117091679,117115993,0.015897724,1.10766728,71954,12q24.23,64426,SUDS3
Supt7l/chr5:31514568-31526762,Supt7l,chr5,31514568,31526762,0.015905841,1.167617208,72195,2p23.3,9913,SUPT7L
Efcab4a/chr7:141461093-141466602,Efcab4a,chr7,141461093,141466602,0.015906696,1.302020146,213573,11p15.5,283229,EFCAB4A
Eno1/chr4:150237196-150248873,Eno1,chr4,150237196,150248873,0.01595266,0.922218565,13806,1p36.2,2023,ENO1
Asprv1/chr6:86628173-86629704,Asprv1,chr6,86628173,86629704,0.016058112,1.428558305,67855,2p13.3,151516,ASPRV1
Xiap/chrX:42067835-42109664,Xiap,chrX,42067835,42109664,0.016066682,0.927462481,11798,Xq25,331,XIAP
Rbbp6/chr7:122970563-123002572,Rbbp6,chr7,122970563,123002572,0.016092954,0.905420108,19647,16p12.2,5930,RBBP6
Wtap/chr17:12966798-12992539,Wtap,chr17,12966798,12992539,0.016098652,0.896141748,60532,6q25-q27,9589,WTAP
S1pr5/chr9:21242916-21248443,S1pr5,chr9,21242916,21248443,0.016146386,1.11718131,94226,19p13.2,53637,S1PR5
Bmyc/chr2:25706878-25707719,Bmyc,chr2,25706878,25707719,0.016183396,1.10915797,NA,NA,NA,NA
2210009G21Rik/chr2:136891217-137069778,2210009G21Rik,chr2,136891217,137069778,0.016231276,0.82163316,NA,NA,NA,NA
Zswim3/chr2:164805113-164822127,Zswim3,chr2,164805113,164822127,0.016240138,0.804092752,67538,20q13.12,140831,ZSWIM3
Fbxw8/chr5:118064980-118155458,Fbxw8,chr5,118064980,118155458,0.016240992,1.102768356,231672,12q24.22,26259,FBXW8
Wwp1/chr4:19609672-19708993,Wwp1,chr4,19609672,19708993,0.016258454,0.880631451,107568,8q21,11059,WWP1
Olig2/chr16:91225549-91228677,Olig2,chr16,91225549,91228677,0.01626312,1.196406428,50913,21q22.11,10215,OLIG2
Atp6v1g1/chr4:63544764-63550701,Atp6v1g1,chr4,63544764,63550701,0.016263851,1.325671361,66290,9q32,9550,ATP6V1G1
Smchd1/chr17:71344492-71475343,Smchd1,chr17,71344492,71475343,0.016292097,0.876697713,74355,18p11.32,23347,SMCHD1
Pbrm1/chr14:31019137-31121592,Pbrm1,chr14,31019137,31121592,0.016292592,0.927056063,66923,3p21,55193,PBRM1
Igsf8/chr1:172312406-172319835,Igsf8,chr1,172312406,172319835,0.016381545,1.10951245,140559,1q23.1,93185,IGSF8
Epb4.1/chr4:131923426-132075313,Epb4.1,chr4,131923426,132075313,0.016419756,1.136457394,269587,1p33-p32,2035,EPB41
Cdkn1b/chr6:134920400-134925525,Cdkn1b,chr6,134920400,134925525,0.016442735,1.102426815,12576,12p13.1-p12,1027,CDKN1B
Zcchc2/chr1:105990405-106034079,Zcchc2,chr1,105990405,106034079,0.016458392,0.885397351,227449,18q21.33,54877,ZCCHC2
Efemp1/chr11:28853204-28926743,Efemp1,chr11,28853204,28926743,0.016473506,0.821202935,216616,2p16,2202,EFEMP1
Ddx39/chr8:83715176-83723351,Ddx39,chr8,83715176,83723351,0.0164967,1.072263563,68278,19p13.12,10212,DDX39A
Spsb1/chr4:149896283-149955006,Spsb1,chr4,149896283,149955006,0.016519749,1.163217001,74646,1p36.22,80176,SPSB1
Gm14308/chr2:175324742-176636318,Gm14308,chr2,175324742,176636318,0.01654999,0.904514606,NA,NA,NA,NA
Hpgd/chr8:56294551-56321046,Hpgd,chr8,56294551,56321046,0.016604641,0.720469323,15446,4q34-q35,3248,HPGD
Dock4/chr12:40446052-40846488,Dock4,chr12,40446052,40846488,0.016618693,0.92679227,238130,7q31.1,9732,DOCK4
Ltv1/chr10:13178637-13193137,Ltv1,chr10,13178637,13193137,0.016676011,0.872769193,353258,6q24.2,84946,LTV1
Ncoa6/chr2:155390655-155440783,Ncoa6,chr2,155390655,155440783,0.016699836,0.865633089,56406,20q11,23054,NCOA6
Sntb2/chr8:106935749-107014192,Sntb2,chr8,106935749,107014192,0.016714886,1.378595789,20650,16q22.1,6645,SNTB2
Thada/chr17:84190055-84466208,Thada,chr17,84190055,84466208,0.016717358,0.903519478,240174,2p21,63892,THADA
Gtdc1/chr2:44564421-44861622,Gtdc1,chr2,44564421,44861622,0.016778171,0.89836037,227835,2q22.3,79712,GTDC1
Rspo1/chr4:124986429-125009099,Rspo1,chr4,124986429,125009099,0.016794312,1.280965017,192199,1p34.3,284654,RSPO1
Wdfy3/chr5:101832952-102069921,Wdfy3,chr5,101832952,102069921,0.01683926,0.939036384,72145,4q21.23,23001,WDFY3
Zfp30/chr7:29784789-29794540,Zfp30,chr7,29784789,29794540,0.016843105,0.905623553,22693,19q13.12,22835,ZFP30
Acot13/chr13:24817954-24831489,Acot13,chr13,24817954,24831489,0.016991289,0.863345317,66834,6p22.3,55856,ACOT13
Ulk3/chr9:57589451-57596233,Ulk3,chr9,57589451,57596233,0.016999449,1.152495103,71742,15q24.1,25989,ULK3
9330159M07Rik/chr9:88841797-88858870,9330159M07Rik,chr9,88841797,88858870,0.017001981,1.170858783,NA,NA,NA,NA
Zfp655/chr5:145231714-145247306,Zfp655,chr5,145231714,145247306,0.017007311,0.889924354,72611,7q22.1,79027,ZNF655
Rasgrf1/chr9:89909774-90026979,Rasgrf1,chr9,89909774,90026979,0.017021054,0.911049564,19417,15q24.2,5923,RASGRF1
Mtap7d1/chr4:126232167-126256319,Mtap7d1,chr4,126232167,126256319,0.017035272,1.094498116,NA,NA,NA,NA
Nfib/chr4:82290172-82505308,Nfib,chr4,82290172,82505308,0.017089359,1.166627201,18028,9p24.1,4781,NFIB
Ofd1/chrX:166390032-166440704,Ofd1,chrX,166390032,166440704,0.017207825,0.879350203,237222,Xp22,8481,OFD1
Plxna2/chr1:194619828-194816868,Plxna2,chr1,194619828,194816868,0.017216525,0.938185756,18845,1q32.2,5362,PLXNA2
Foxl2/chr9:98955606-98958126,Foxl2,chr9,98955606,98958126,0.017290593,1.324747702,26927,3q23,668,FOXL2
Zcchc16/chrX:144688906-145122410,Zcchc16,chrX,144688906,145122410,0.017311885,0.746412028,619287,Xq23,340595,ZCCHC16
4831440E17Rik/chr5:25499796-25504473,4831440E17Rik,chr5,25499796,25504473,0.017426595,1.285717058,NA,NA,NA,NA
Capzb/chr4:139192930-139291812,Capzb,chr4,139192930,139291812,0.017441632,0.949373882,12345,1p36.1,832,CAPZB
Gm9766/chr10:53278080-53379851,Gm9766,chr10,53278080,53379851,0.017545292,0.82625202,NA,NA,NA,NA
Spns1/chr7:126370059-126377934,Spns1,chr7,126370059,126377934,0.017560093,1.045821625,73658,16p11.2,83985,SPNS1
2610034B18Rik/chr7:79925358-79935264,2610034B18Rik,chr7,79925358,79935264,0.017598122,0.935808177,70420,15q,100526783,C15orf38-AP3S2
Alyref/chr11:120594515-120598365,Alyref,chr11,120594515,120598365,0.017601252,1.130536633,21681,17q25.3,10189,ALYREF
Abr/chr11:76416733-76577727,Abr,chr11,76416733,76577727,0.017671606,1.107843033,109934,17p13.3,29,ABR
Nfatc3/chr8:106059602-106130537,Nfatc3,chr8,106059602,106130537,0.017692852,0.883053564,18021,16q22.2,4775,NFATC3
Ptges3/chr10:128058981-128077254,Ptges3,chr10,128058981,128077254,0.017734288,1.098378319,56351,12q13.3,10728,PTGES3
Smtnl2/chr11:72390113-72411713,Smtnl2,chr11,72390113,72411713,0.017756063,1.291054289,276829,17p13.2,342527,SMTNL2
Btbd19/chr4:117119217-117125725,Btbd19,chr4,117119217,117125725,0.017768323,1.160075922,78611,1p34.1,149478,BTBD19
Gm12657/chr4:94593649-94600319,Gm12657,chr4,94593649,94600319,0.017784115,1.100075478,NA,NA,NA,NA
Fancm/chr12:65075605-65132058,Fancm,chr12,65075605,65132058,0.017795298,0.876248537,104806,14q21.2,57697,FANCM
Ehbp1/chr11:22005825-22286795,Ehbp1,chr11,22005825,22286795,0.017820223,0.913304472,216565,2p15,23301,EHBP1
Slc26a2/chr18:61196853-61211596,Slc26a2,chr18,61196853,61211596,0.017879032,0.847871606,13521,5q31-q34,1836,SLC26A2
Nav3/chr10:109683438-110000219,Nav3,chr10,109683438,110000219,0.017989549,0.882124517,260315,12q14.3,89795,NAV3
Zcchc3/chr2:152411955-152415044,Zcchc3,chr2,152411955,152415044,0.018005411,1.169277368,67917,20p13-p12.2,85364,ZCCHC3
Clec4a2/chr6:123122689-123143999,Clec4a2,chr6,123122689,123143999,0.018170307,0.759013297,26888,12p13,50856,CLEC4A
Adamtsl3/chr7:82335693-82614448,Adamtsl3,chr7,82335693,82614448,0.018175757,0.665027952,269959,15q25.2,57188,ADAMTSL3
Fam83d/chr2:158768098-158786637,Fam83d,chr2,158768098,158786637,0.018188121,1.542417599,71878,20q11.22-q12,81610,FAM83D
Grin2d/chr7:45832482-45866681,Grin2d,chr7,45832482,45866681,0.018210001,1.237176972,14814,19q13.33,2906,GRIN2D
Elp2/chr18:24603960-24638830,Elp2,chr18,24603960,24638830,0.018241522,0.890723503,58523,18q12.2,55250,ELP2
Slc30a3/chr5:31086105-31093527,Slc30a3,chr5,31086105,31093527,0.018242947,1.123457449,22784,2p23.3,7781,SLC30A3
Akt3/chr1:177022114-177248767,Akt3,chr1,177022114,177248767,0.018262542,0.932673532,23797,1q44,10000,AKT3
Scn3a/chr2:65457117-65567492,Scn3a,chr2,65457117,65567492,0.018264764,0.932939234,20269,2q24,6328,SCN3A
2210411K11Rik/chr7:4784784-4789560,2210411K11Rik,chr7,4784784,4789560,0.018275287,1.289551506,NA,NA,NA,NA
Syngr3/chr17:24685091-24689949,Syngr3,chr17,24685091,24689949,0.018295083,0.907441848,20974,16p13,9143,SYNGR3
Deaf1/chr7:141297175-141338783,Deaf1,chr7,141297175,141338783,0.018297127,0.900502379,54006,11p15.5,10522,DEAF1
Csnk2b/chr17:35116194-35121447,Csnk2b,chr17,35116194,35121447,0.018299089,0.899655185,13001,6p21.3,1460,CSNK2B
Tlk1/chr2:70712407-70825480,Tlk1,chr2,70712407,70825480,0.018303506,0.904507854,228012,2q31.1,9874,TLK1
Adamts19/chr18:58836763-59053678,Adamts19,chr18,58836763,59053678,0.018322349,0.482659966,240322,5q23.3,171019,ADAMTS19
2610316D01Rik/chr3:45280438-45378260,2610316D01Rik,chr3,45280438,45378260,0.01835533,0.818152605,NA,NA,NA,NA
Zfp804a/chr2:82053657-82259878,Zfp804a,chr2,82053657,82259878,0.018361645,0.862872494,241514,2q32.1,91752,ZNF804A
Litaf/chr16:10959272-10993121,Litaf,chr16,10959272,10993121,0.018369569,1.103762999,56722,16p13.13,9516,LITAF
Rnf17/chr14:56402696-56525031,Rnf17,chr14,56402696,56525031,0.018378974,1.528502196,30054,13q12.12,56163,RNF17
Ccdc144b/chr3:36007246-36053547,Ccdc144b,chr3,36007246,36053547,0.018392899,2.499412041,NA,NA,NA,NA
Ppef1/chrX:160623093-160719972,Ppef1,chrX,160623093,160719972,0.018408622,0.746647473,237178,Xp22,5475,PPEF1
Polr3a/chr14:24448693-24487046,Polr3a,chr14,24448693,24487046,0.018452718,0.903900935,218832,10q22-q23,11128,POLR3A
Ppp4r2/chr6:100833637-100868717,Ppp4r2,chr6,100833637,100868717,0.018543853,0.913518827,232314,3p13,151987,PPP4R2
Ccdc115/chr1:34436669-34439672,Ccdc115,chr1,34436669,34439672,0.018595962,1.157057723,69668,2q21.1,84317,CCDC115
Ptgs1/chr2:36230425-36252269,Ptgs1,chr2,36230425,36252269,0.018595997,0.839618053,19224,9q32-q33.3,5742,PTGS1
Hsbp1/chr8:119344537-119348929,Hsbp1,chr8,119344537,119348929,0.018645452,0.890595672,68196,16q23.3,3281,HSBP1
2210018M11Rik/chr7:98590605-98656569,2210018M11Rik,chr7,98590605,98656569,0.018663097,0.879794123,233545,11q13.5,56946,C11orf30
Rps15a-ps6/chr11:6172507-6173331,Rps15a-ps6,chr11,6172507,6173331,0.018664491,1.415573326,NA,NA,NA,NA
6030405A18Rik/chr3:54897068-54915887,6030405A18Rik,chr3,54897068,54915887,0.018737576,0.8726419,NA,NA,NA,NA
B230312A22Rik/chr4:43032413-43046220,B230312A22Rik,chr4,43032413,43046220,0.018794671,1.101353352,NA,NA,NA,NA
Cnih2/chr19:5092870-5098418,Cnih2,chr19,5092870,5098418,0.018821814,1.104734133,12794,11q13.2,254263,CNIH2
Ik/chr18:36744655-36757639,Ik,chr18,36744655,36757639,0.01890286,0.915748906,24010,5q31.3,3550,IK
Aldh3a2/chr11:61244754-61267127,Aldh3a2,chr11,61244754,61267127,0.018920837,0.941376265,11671,17p11.2,224,ALDH3A2
Stau1/chr2:166948141-166996278,Stau1,chr2,166948141,166996278,0.018934458,0.921304809,20853,20q13.1,6780,STAU1
Jdp2/chr12:85599104-85639878,Jdp2,chr12,85599104,85639878,0.018995591,1.187976633,81703,14q24.3,122953,JDP2
Plcb2/chr2:118707516-118728438,Plcb2,chr2,118707516,118728438,0.018999156,0.743010571,18796,15q15,5330,PLCB2
Prr5/chr15:84680997-84703673,Prr5,chr15,84680997,84703673,0.019008582,1.272440323,109270,22q13,55615,PRR5
Pygo1/chr9:72925649-72946015,Pygo1,chr9,72925649,72946015,0.01908143,0.832476419,72135,15q21.1,26108,PYGO1
Cpsf3l/chr4:155869566-155889103,Cpsf3l,chr4,155869566,155889103,0.019109649,0.871087213,71957,1p36.33,54973,CPSF3L
Dpf1/chr7:29304004-29317586,Dpf1,chr7,29304004,29317586,0.019119406,1.167109152,29861,19q13.2,8193,DPF1
Polr2b/chr5:77310483-77349328,Polr2b,chr5,77310483,77349328,0.019129815,0.921647225,231329,4q12,5431,POLR2B
Foxj1/chr11:116330703-116335354,Foxj1,chr11,116330703,116335354,0.019132699,1.207295456,15223,17q25.1,2302,FOXJ1
Atoh7/chr10:63100155-63100605,Atoh7,chr10,63100155,63100605,0.019157828,1.49604117,53404,10q21.3,220202,ATOH7
Ccdc82/chr9:13246978-13292353,Ccdc82,chr9,13246978,13292353,0.019237269,1.099784474,66396,11q21,79780,CCDC82
Phtf1/chr3:103968109-104007491,Phtf1,chr3,103968109,104007491,0.019281529,1.200377434,18685,1p13,10745,PHTF1
Gnl2/chr4:125030013-125055382,Gnl2,chr4,125030013,125055382,0.019299725,0.913567792,230737,1p34.3,29889,GNL2
Syt14/chr1:192897306-193035698,Syt14,chr1,192897306,193035698,0.019306885,0.803142549,329324,1q32.2,255928,SYT14
Shisa3/chr5:67607882-67613987,Shisa3,chr5,67607882,67613987,0.01932373,0.692099999,330096,4p13,152573,SHISA3
Ttc9b/chr7:27653923-27656207,Ttc9b,chr7,27653923,27656207,0.019360625,1.147691177,73032,19q13.2,148014,TTC9B
Hist1h2ba/chr13:23933772-23934156,Hist1h2ba,chr13,23933772,23934156,0.019376713,2.169286538,319177,6p22.2,255626,HIST1H2BA
Tmem120b/chr5:123076274-123117445,Tmem120b,chr5,123076274,123117445,0.019446646,1.131800507,330189,12q24.31,144404,TMEM120B
Mal/chr2:127633225-127656695,Mal,chr2,127633225,127656695,0.019449285,1.083123073,17153,2q11.1,4118,MAL
Scg2/chr1:79434668-79440090,Scg2,chr1,79434668,79440090,0.019477744,0.850991955,20254,2q35-q36,7857,SCG2
Xpo7/chr14:70654245-70766628,Xpo7,chr14,70654245,70766628,0.019504738,0.936431503,65246,8p21,23039,XPO7
Tbx6/chr7:126781482-126785548,Tbx6,chr7,126781482,126785548,0.019546812,1.63603073,21389,16p11.2,6911,TBX6
Park2/chr17:10840383-12063360,Park2,chr17,10840383,12063360,0.019580159,1.252565096,50873,6q25.2-q27,5071,PARK2
Nrd1/chr4:109000804-109061771,Nrd1,chr4,109000804,109061771,0.019585198,0.940650313,230598,1p32.2-p32.1,4898,NRD1
Pdap1/chr5:145128769-145140089,Pdap1,chr5,145128769,145140089,0.019601073,1.078505448,231887,7q22.1,11333,PDAP1
Nodal/chr10:61417971-61425337,Nodal,chr10,61417971,61425337,0.019630191,1.980685133,18119,10q22.1,4838,NODAL
Podxl2/chr6:88842557-88874044,Podxl2,chr6,88842557,88874044,0.01978346,1.129161868,319655,3,50512,PODXL2
Ctcfl/chr2:173093608-173119525,Ctcfl,chr2,173093608,173119525,0.019818308,1.231379241,664799,20q13.31,140690,CTCFL
Efcab3/chr11:105092218-105117537,Efcab3,chr11,105092218,105117537,0.019818593,0.807580207,70894,17q23.2,146779,EFCAB3
Chmp2a/chr7:13032005-13034777,Chmp2a,chr7,13032005,13034777,0.019836442,0.903945777,68953,19q,27243,CHMP2A
Ccnl1/chr3:65946150-65958225,Ccnl1,chr3,65946150,65958225,0.01986594,0.895141151,56706,3q25.31,57018,CCNL1
2810021B07Rik/chr13:17695412-17699105,2810021B07Rik,chr13,17695412,17699105,0.019866148,1.140685739,NA,NA,NA,NA
Trip12/chr1:84721188-84839304,Trip12,chr1,84721188,84839304,0.019871969,0.947119296,14897,2q36.3,9320,TRIP12
Zfp961/chr8:71951065-71970333,Zfp961,chr8,71951065,71970333,0.019904892,0.858965701,234413,19p13.2,57474,ZNF490
Cul1/chr6:47454323-47526139,Cul1,chr6,47454323,47526139,0.019974895,0.897626181,26965,7q36.1,8454,CUL1
Abhd8/chr8:71456699-71463657,Abhd8,chr8,71456699,71463657,0.020003439,1.133565532,64296,19p13.11,79575,ABHD8
Ntm/chr9:28995963-29963129,Ntm,chr9,28995963,29963129,0.020020523,0.892919838,235106,11q25,50863,NTM
Zfp385c/chr11:100626218-100650693,Zfp385c,chr11,100626218,100650693,0.02002436,1.347246153,278304,17q21.2,201181,ZNF385C
5133401N09Rik/chr13:58157648-58164693,5133401N09Rik,chr13,58157648,58164693,0.020046027,1.145734754,NA,NA,NA,NA
Pcsk1n/chrX:7919821-7924410,Pcsk1n,chrX,7919821,7924410,0.020119272,1.148733904,30052,Xp11.23,27344,PCSK1N
Tigd5/chr15:75909734-75914535,Tigd5,chr15,75909734,75914535,0.020124083,1.137565991,105734,8q24.3,84948,TIGD5
Pigo/chr4:43017637-43025756,Pigo,chr4,43017637,43025756,0.020156222,1.102695895,56703,9p13.3,84720,PIGO
1700086L19Rik/chr12:74284275-74295950,1700086L19Rik,chr12,74284275,74295950,0.020188131,0.870572209,74284,14,646113,LINC00643
Prpf40a/chr2:53138475-53191187,Prpf40a,chr2,53138475,53191187,0.020199514,0.893228437,56194,2q23.3,55660,PRPF40A
Ylpm1/chr12:84996320-85070515,Ylpm1,chr12,84996320,85070515,0.020235736,0.916938629,56531,14q24.3,56252,YLPM1
Hes1/chr16:30065356-30067796,Hes1,chr16,30065356,30067796,0.02026773,1.339120889,15205,3q28-q29,3280,HES1
Nr3c1/chr18:39410544-39487245,Nr3c1,chr18,39410544,39487245,0.020302582,0.881000232,14815,5q31.3,2908,NR3C1
Hdac9/chr12:34371496-34528889,Hdac9,chr12,34371496,34528889,0.020332137,0.850820081,79221,7p21.1,9734,HDAC9
Atxn2/chr5:121711608-121814950,Atxn2,chr5,121711608,121814950,0.020420297,0.92265099,20239,12q24.1,6311,ATXN2
Dusp23/chr1:172630768-172632974,Dusp23,chr1,172630768,172632974,0.020466949,1.114400996,68440,1q23.2,54935,DUSP23
Lig3/chr11:82781134-82804274,Lig3,chr11,82781134,82804274,0.020511273,0.945908309,16882,17q11.2-q12,3980,LIG3
Ppef2/chr5:92226973-92253159,Ppef2,chr5,92226973,92253159,0.020543286,1.666009194,19023,4q21.1,5470,PPEF2
Ppp1r8/chr4:132826924-132843169,Ppp1r8,chr4,132826924,132843169,0.020547166,0.940209315,100336,1p35.3,5511,PPP1R8
Gm13375/chr2:20968873-20970348,Gm13375,chr2,20968873,20970348,0.020667133,1.163925851,NA,NA,NA,NA
Rgs4/chr1:169741476-169747642,Rgs4,chr1,169741476,169747642,0.020678,0.817891281,19736,1q23.3,5999,RGS4
6330415B21Rik/chr6:77380256-77382475,6330415B21Rik,chr6,77380256,77382475,0.020718379,0.790804815,NA,NA,NA,NA
Rec8/chr14:55618165-55625395,Rec8,chr14,55618165,55625395,0.020801081,3.836770446,56739,14q11.2-q12,9985,REC8
Wdr34/chr2:30031557-30048879,Wdr34,chr2,30031557,30048879,0.020811712,1.100462947,71820,9q34.11,89891,WDR34
Atic/chr1:71557155-71579403,Atic,chr1,71557155,71579403,0.020859029,0.897153864,108147,2q35,471,ATIC
Phlda1/chr10:111506285-111508649,Phlda1,chr10,111506285,111508649,0.020899784,0.856693617,21664,12q15,22822,PHLDA1
Trim66/chr7:109449000-109508134,Trim66,chr7,109449000,109508134,0.020903451,1.086902901,330627,11p15.4,9866,TRIM66
Prdm4/chr10:85891967-85916945,Prdm4,chr10,85891967,85916945,0.020908476,0.927390191,72843,12q23-q24.1,11108,PRDM4
Ell2/chr13:75707483-75772358,Ell2,chr13,75707483,75772358,0.020909955,0.883270016,192657,5q15,22936,ELL2
Nmt1/chr11:103028561-103066105,Nmt1,chr11,103028561,103066105,0.02092022,0.924718713,18107,17q21.31,4836,NMT1
Ash1l/chr3:88965811-89079375,Ash1l,chr3,88965811,89079375,0.020997229,0.924547441,192195,1q22,55870,ASH1L
Surf2/chr2:26916420-26920170,Surf2,chr2,26916420,26920170,0.021000462,0.885653207,20931,9q34.2,6835,SURF2
