geneInfo,gene,Chr,Start,Stop,pvalsDel,FoldChange,Mouse.EntrezGene.ID,Human.Chr,Human.EntrezGene.ID,Human.Symbol
Sh3kbp1/chrX:159627407-159975917,Sh3kbp1,chrX,159627407,159975917,0.005688572,1.11626015,58194,Xp22.1-p21.3,30011,SH3KBP1
Fam96b/chr8:104639838-104641728,Fam96b,chr8,104639838,104641728,0.005704232,0.827211657,68523,16q22.1,51647,FAM96B
Atp8b1/chr18:64528978-64661000,Atp8b1,chr18,64528978,64661000,0.005722254,1.307928837,54670,18q21.31,5205,ATP8B1
Zfp617/chr8:71922824-71934630,Zfp617,chr8,71922824,71934630,0.005723302,1.141782991,NA,NA,NA,NA
Car5b/chrX:163976821-164028010,Car5b,chrX,163976821,164028010,0.005726161,1.195935501,56078,Xp21.1,11238,CA5B
Smc6/chr12:11265885-11319785,Smc6,chr12,11265885,11319785,0.00574756,1.15325658,67241,2p24.2,79677,SMC6
Rad23a/chr8:84834651-84840641,Rad23a,chr8,84834651,84840641,0.005755941,0.934208619,19358,19p13.2,5886,RAD23A
Uhrf1bp1l/chr10:89744990-89819869,Uhrf1bp1l,chr10,89744990,89819869,0.005758766,1.088803212,75089,12q23.1,23074,UHRF1BP1L
Naf1/chr8:66860216-66890564,Naf1,chr8,66860216,66890564,0.005786475,1.171519578,234344,4q32.2,92345,NAF1
Cacnb2/chr2:14604305-14987908,Cacnb2,chr2,14604305,14987908,0.005816862,1.153881452,12296,10p12,783,CACNB2
Atg2b/chr12:105613539-105685241,Atg2b,chr12,105613539,105685241,0.00583083,1.060168555,76559,14q32.2,55102,ATG2B
Parva/chr7:112427705-112591688,Parva,chr7,112427705,112591688,0.005861815,0.834437104,57342,11p15.3,55742,PARVA
Epb4.9/chr14:70602183-70636048,Epb4.9,chr14,70602183,70636048,0.005879363,0.897587197,13829,8p21.1,2039,EPB49
Rai12/chr11:69968225-69981235,Rai12,chr11,69968225,69981235,0.005879948,0.929685978,NA,NA,NA,NA
Rasal1/chr5:120648821-120679593,Rasal1,chr5,120648821,120679593,0.005883218,0.821231352,19415,12q23-q24,8437,RASAL1
9830147E19Rik/chr7:42609525-42642604,9830147E19Rik,chr7,42609525,42642604,0.005891918,1.342738066,NA,NA,NA,NA
Arc/chr15:74669082-74672570,Arc,chr15,74669082,74672570,0.005902418,0.358872126,11838,8q24.3,23237,ARC
Cdyl2/chr8:116568723-116732991,Cdyl2,chr8,116568723,116732991,0.005906152,1.269476894,75796,16q23.2,124359,CDYL2
Rbms3/chr9:116572746-117629913,Rbms3,chr9,116572746,117629913,0.005908203,1.284652255,207181,3p24-p23,27303,RBMS3
Cox6a2/chr7:128205434-128206366,Cox6a2,chr7,128205434,128206366,0.005911319,0.591557461,12862,16p11.12,1339,COX6A2
Zfp804a/chr2:82053657-82259878,Zfp804a,chr2,82053657,82259878,0.005914565,1.213808274,241514,2q32.1,91752,ZNF804A
Cygb/chr11:116645594-116654313,Cygb,chr11,116645594,116654313,0.00591563,0.861139093,114886,17q25,114757,CYGB
Tshz1/chr18:84011626-84086562,Tshz1,chr18,84011626,84086562,0.005948992,1.188226267,110796,18q22.3,10194,TSHZ1
Acvr1c/chr2:58267452-58357758,Acvr1c,chr2,58267452,58357758,0.005950832,1.280053024,269275,2q24.1,130399,ACVR1C
Fam126b/chr1:58522805-58586333,Fam126b,chr1,58522805,58586333,0.005985488,1.227063109,213056,2q33.1,285172,FAM126B
Zfp275/chrX:73342619-73359080,Zfp275,chrX,73342619,73359080,0.005986312,1.170327735,27081,Xq28,10838,ZNF275
Igsf11/chr16:38902344-39027157,Igsf11,chr16,38902344,39027157,0.005996572,1.127185957,207683,3q13.32,152404,IGSF11
A830007P12Rik/chr2:25192719-25196813,A830007P12Rik,chr2,25192719,25196813,0.006007597,1.10866628,NA,NA,NA,NA
Ranbp3l/chr15:9055681-9067333,Ranbp3l,chr15,9055681,9067333,0.006011816,1.362502823,223332,5p13.2,202151,RANBP3L
Cyp4f16/chr17:32536628-32551797,Cyp4f16,chr17,32536628,32551797,0.006020076,0.832843382,NA,NA,NA,NA
Pik3ca/chr3:32436150-32468486,Pik3ca,chr3,32436150,32468486,0.006026675,1.115828567,18706,3q26.3,5290,PIK3CA
Zdhhc14/chr17:5492599-5753891,Zdhhc14,chr17,5492599,5753891,0.006064767,1.199400826,224454,6q25.3,79683,ZDHHC14
Adamts20/chr15:94270162-94404350,Adamts20,chr15,94270162,94404350,0.006077773,1.140886241,223838,12q12,80070,ADAMTS20
Tmem55a/chr4:14864218-14915260,Tmem55a,chr4,14864218,14915260,0.006100634,1.170593249,72519,8q21.3,55529,TMEM55A
Rasd1/chr11:59963180-59964942,Rasd1,chr11,59963180,59964942,0.006103399,0.614329301,19416,17p11.2,51655,RASD1
Elavl1/chr8:4284781-4325100,Elavl1,chr8,4284781,4325100,0.006106574,1.215256713,15568,19p13.2,1994,ELAVL1
Spr/chr6:85133679-85137764,Spr,chr6,85133679,85137764,0.006126078,0.869795812,20751,2p14-p12,6697,SPR
Oas1b/chr5:120812634-120824160,Oas1b,chr5,120812634,120824160,0.00614207,1.631514282,NA,NA,NA,NA
Tsen54/chr11:115814738-115823102,Tsen54,chr11,115814738,115823102,0.006149263,0.818732347,76265,17q25.1,283989,TSEN54
2900097C17Rik/chr2:156388062-156392979,2900097C17Rik,chr2,156388062,156392979,0.006155097,1.19309854,347740,20,647979,LINC00657
9230110C19Rik/chr9:8021671-8042823,9230110C19Rik,chr9,8021671,8042823,0.006164687,1.264419529,234912,11q22.1,85016,C11orf70
Il27ra/chr8:84030285-84042575,Il27ra,chr8,84030285,84042575,0.006168912,0.533637795,50931,19p13.11,9466,IL27RA
Lhx5/chr5:120431885-120441457,Lhx5,chr5,120431885,120441457,0.006185674,0.669371951,16873,12q24,64211,LHX5
Upk1b/chr16:38773183-38800203,Upk1b,chr16,38773183,38800203,0.006186089,0.236309662,22268,3q13.32,7348,UPK1B
Fam120c/chrX:151344222-151474134,Fam120c,chrX,151344222,151474134,0.006238613,1.100817609,207375,Xp11.22,54954,FAM120C
Kctd12/chr14:102976580-102982637,Kctd12,chr14,102976580,102982637,0.006244664,1.156713819,239217,13q22.3,115207,KCTD12
Krt77/chr15:101859855-101869618,Krt77,chr15,101859855,101869618,0.006278462,0.743944373,406220,12q13.13,374454,KRT77
Nfyb/chr10:82748699-82764141,Nfyb,chr10,82748699,82764141,0.006283441,1.134084665,18045,12q22-q23,4801,NFYB
Chpt1/chr10:88472812-88503970,Chpt1,chr10,88472812,88503970,0.006284612,1.195339692,212862,12q,56994,CHPT1
Rasa2/chr9:96539299-96631503,Rasa2,chr9,96539299,96631503,0.006306928,1.177168624,114713,3q22-q23,5922,RASA2
1810055G02Rik/chr19:3708332-3717881,1810055G02Rik,chr19,3708332,3717881,0.006320504,0.885464534,72056,11q13,53838,C11orf24
Trpv2/chr11:62574485-62600305,Trpv2,chr11,62574485,62600305,0.00632241,0.862915545,22368,17p11.2,51393,TRPV2
St8sia3/chr18:64254358-64276144,St8sia3,chr18,64254358,64276144,0.006327092,1.122190109,20451,18q21.31,51046,ST8SIA3
Fam3c/chr6:22306521-22356081,Fam3c,chr6,22306521,22356081,0.006332274,1.106873339,27999,7q31,10447,FAM3C
H2afy2/chr10:61738646-61783864,H2afy2,chr10,61738646,61783864,0.006377275,1.091864073,404634,10q22.1,55506,H2AFY2
Slc2a13/chr15:91267690-91573261,Slc2a13,chr15,91267690,91573261,0.006387683,1.196424636,239606,12q12,114134,SLC2A13
Syncrip/chr9:88449737-88482397,Syncrip,chr9,88449737,88482397,0.006391298,1.174087746,56403,6q14-q15,10492,SYNCRIP
Aurka/chr2:172356195-172370506,Aurka,chr2,172356195,172370506,0.006402588,0.734936642,20878,20q13,6790,AURKA
Tbl1xr1/chr3:22076651-22216594,Tbl1xr1,chr3,22076651,22216594,0.006416125,1.213457548,81004,3q26.32,79718,TBL1XR1
Hltf/chr3:20057810-20118490,Hltf,chr3,20057810,20118490,0.006444881,1.177101805,20585,3q25.1-q26.1,6596,HLTF
Tspan12/chr6:21771394-21852515,Tspan12,chr6,21771394,21852515,0.006447736,1.239554216,269831,7q31.31,23554,TSPAN12
Dkc1/chrX:75095853-75109776,Dkc1,chrX,75095853,75109776,0.006475085,1.119947707,245474,Xq28,1736,DKC1
Piga/chrX:164419786-164433915,Piga,chrX,164419786,164433915,0.00648715,1.135101868,18700,Xp22.1,5277,PIGA
Loxl2/chr14:69609475-69695834,Loxl2,chr14,69609475,69695834,0.006487419,1.268397014,94352,8p21.3,4017,LOXL2
Gpn2/chr4:133584372-133591735,Gpn2,chr4,133584372,133591735,0.006487504,0.838202243,100210,1p36.11,54707,GPN2
Slc25a46/chr18:31580167-31609902,Slc25a46,chr18,31580167,31609902,0.00649246,1.118133572,67453,5q22.1,91137,SLC25A46
A530058N18Rik/chr2:114013564-114032292,A530058N18Rik,chr2,114013564,114032292,0.006494418,1.286878092,NA,NA,NA,NA
Aimp2/chr5:143902703-143909839,Aimp2,chr5,143902703,143909839,0.00651456,0.85137216,231872,7p22,7965,AIMP2
Men1/chr19:6334978-6340894,Men1,chr19,6334978,6340894,0.006515605,0.902666788,17283,11q13,4221,MEN1
Slc38a7/chr8:95835922-95853491,Slc38a7,chr8,95835922,95853491,0.006539498,0.92336103,234595,16q21,55238,SLC38A7
Zfp352/chr4:90218819-90225687,Zfp352,chr4,90218819,90225687,0.006543846,1.675803411,NA,NA,NA,NA
Fut9/chr4:25609332-25800003,Fut9,chr4,25609332,25800003,0.006559691,1.227590762,14348,6q16,10690,FUT9
Rsbn1l/chr5:20893023-20951822,Rsbn1l,chr5,20893023,20951822,0.006594906,1.139938905,242860,7q11.23,222194,RSBN1L
Ccni/chr5:93181932-93206495,Ccni,chr5,93181932,93206495,0.006609128,1.182816773,12453,4q21.1,10983,CCNI
Bag1/chr4:40936397-40948294,Bag1,chr4,40936397,40948294,0.006651541,1.169456048,12017,9p12,573,BAG1
Sox5/chr6:143828424-144209568,Sox5,chr6,143828424,144209568,0.006660081,1.172582978,20678,12p12.1,6660,SOX5
Smarcb1/chr10:75896768-75921614,Smarcb1,chr10,75896768,75921614,0.006670689,0.931535067,20587,22q11.23,6598,SMARCB1
Nfib/chr4:82290172-82505308,Nfib,chr4,82290172,82505308,0.006673037,1.204980014,18028,9p24.1,4781,NFIB
Zfp108/chr7:24254793-24262444,Zfp108,chr7,24254793,24262444,0.006681039,0.864961253,NA,NA,NA,NA
Ifit1/chr19:34640888-34650009,Ifit1,chr19,34640888,34650009,0.00668972,1.742220769,15957,10q23.31,3434,IFIT1
Hs3st4/chr7:123983180-124398989,Hs3st4,chr7,123983180,124398989,0.006744539,1.131867007,628779,16p11.2,9951,HS3ST4
Rab18/chr18:6765204-6790231,Rab18,chr18,6765204,6790231,0.006783133,1.144056127,19330,10p12.1,22931,RAB18
Mcart1/chr4:45395923-45408766,Mcart1,chr4,45395923,45408766,0.006813252,1.103939581,NA,NA,NA,NA
Fsd1l/chr4:53631470-53707009,Fsd1l,chr4,53631470,53707009,0.006836008,1.195323267,319636,9q31,83856,FSD1L
Mob4/chr1:55131244-55154899,Mob4,chr1,55131244,55154899,0.006841567,1.171857873,19070,2q33.1,25843,MOB4
Mdk/chr2:91929821-91932282,Mdk,chr2,91929821,91932282,0.006856313,0.867178358,17242,11p11.2,4192,MDK
Eps8/chr6:137477244-137649120,Eps8,chr6,137477244,137649120,0.006860772,1.135713526,13860,12p12.3,2059,EPS8
Gpr155/chr2:73341506-73386398,Gpr155,chr2,73341506,73386398,0.006862075,1.070949657,68526,2q31.1,151556,GPR155
Kras/chr6:145216698-145250231,Kras,chr6,145216698,145250231,0.006874732,1.121094121,16653,12p12.1,3845,KRAS
6030440G07Rik/chr12:110994397-111013872,6030440G07Rik,chr12,110994397,111013872,0.006876483,1.459593923,NA,NA,NA,NA
Pdzd8/chr19:59296083-59345780,Pdzd8,chr19,59296083,59345780,0.006894502,1.150658792,107368,10q26.12,118987,PDZD8
Fezf2/chr14:12341891-12345865,Fezf2,chr14,12341891,12345865,0.006933878,0.766252781,54713,3p14.2,55079,FEZF2
Elac2/chr11:64979034-65002076,Elac2,chr11,64979034,65002076,0.006969342,0.916011041,68626,17p11.2,60528,ELAC2
Zfp192/chr13:21513220-21531114,Zfp192,chr13,21513220,21531114,0.006979311,1.109767915,NA,NA,NA,NA
Nkx2-2/chr2:147177545-147186402,Nkx2-2,chr2,147177545,147186402,0.006985468,1.252976569,18088,20p11.22,4821,NKX2-2
Trmt112/chr19:6909697-6911026,Trmt112,chr19,6909697,6911026,0.007038004,0.889039362,67674,11q13.1,51504,TRMT112
Zfp654/chr16:64780346-64786321,Zfp654,chr16,64780346,64786321,0.007044031,1.194375649,72020,3p11.1,55279,ZNF654
Npepps/chr11:97205855-97280576,Npepps,chr11,97205855,97280576,0.007046791,1.055450978,19155,17q21,9520,NPEPPS
Satb2/chr1:56793980-56971334,Satb2,chr1,56793980,56971334,0.00704761,1.230388639,212712,2q33,23314,SATB2
Zc3h6/chr2:128967401-129018563,Zc3h6,chr2,128967401,129018563,0.007112968,1.282236534,78751,2q13,376940,ZC3H6
Pid1/chr1:84036292-84284645,Pid1,chr1,84036292,84284645,0.007115297,1.157839757,98496,2q36.3,55022,PID1
Dennd5b/chr6:148988068-149101680,Dennd5b,chr6,148988068,149101680,0.007121289,1.149270248,320560,12p11.21,160518,DENND5B
4833424O15Rik/chr3:117575460-117689506,4833424O15Rik,chr3,117575460,117689506,0.007188667,1.154623667,75769,1p21.3,163404,LPPR5
Srsf9/chr5:115327176-115333080,Srsf9,chr5,115327176,115333080,0.007191738,1.082704835,108014,12q24.31,8683,SRSF9
1500011B03Rik/chr5:114808195-114813976,1500011B03Rik,chr5,114808195,114813976,0.007193186,0.842025916,NA,NA,NA,NA
Gm19522/chr16:42884369-42912070,Gm19522,chr16,42884369,42912070,0.007195258,1.404878843,NA,NA,NA,NA
St18/chr1:6487230-6860940,St18,chr1,6487230,6860940,0.007215422,1.196880309,240690,8q11.23,9705,ST18
Mylk4/chr13:32700826-32781779,Mylk4,chr13,32700826,32781779,0.007230352,1.315025141,238564,6p25.2,340156,MYLK4
Atp2c1/chr9:105411361-105521257,Atp2c1,chr9,105411361,105521257,0.007230585,1.097846581,235574,3q22.1,27032,ATP2C1
Syt17/chr7:118381855-118443552,Syt17,chr7,118381855,118443552,0.007243112,0.854073098,110058,16p12.3,51760,SYT17
BC018507/chr13:70588688-70637634,BC018507,chr13,70588688,70637634,0.007246264,0.904959612,218333,5p15.32,23379,KIAA0947
Gm9766/chr10:53278080-53379851,Gm9766,chr10,53278080,53379851,0.00726612,1.260618152,NA,NA,NA,NA
Gt(ROSA)26Sor/chr6:113067428-113077244,Gt(ROSA)26Sor,chr6,113067428,113077244,0.007304121,1.211854593,NA,NA,NA,NA
Phyh/chr2:4918995-4938743,Phyh,chr2,4918995,4938743,0.007307777,1.112008925,16922,10p13,5264,PHYH
Smad9/chr3:54755581-54801257,Smad9,chr3,54755581,54801257,0.007356442,1.136610855,55994,13q12-q14,4093,SMAD9
Tmem30c/chr16:57266138-57292851,Tmem30c,chr16,57266138,57292851,0.007373444,0.731648078,71027,3q12.1,644444,TMEM30C
Kynu/chr2:43555328-43682715,Kynu,chr2,43555328,43682715,0.007386229,0.579535559,70789,2q22.2,8942,KYNU
Tmtc3/chr10:100443901-100487347,Tmtc3,chr10,100443901,100487347,0.007399858,1.175155669,237500,12q21.32,160418,TMTC3
Slc35e3/chr10:117733677-117746358,Slc35e3,chr10,117733677,117746358,0.007408641,1.106834693,215436,12q15,55508,SLC35E3
Cmpk1/chr4:114960612-114987228,Cmpk1,chr4,114960612,114987228,0.007415736,1.215922113,66588,1p32,51727,CMPK1
Slain2/chr5:72914316-72978828,Slain2,chr5,72914316,72978828,0.007441694,1.126714468,75991,4p11,57606,SLAIN2
Snx32/chr19:5495277-5510489,Snx32,chr19,5495277,5510489,0.007443587,0.910348212,225861,11q13.1,254122,SNX32
Smarca5/chr8:80699942-80739459,Smarca5,chr8,80699942,80739459,0.007480265,1.160924439,93762,4q31.1-q31.2,8467,SMARCA5
Strn3/chr12:51608540-51691914,Strn3,chr12,51608540,51691914,0.007487895,1.115345781,94186,14q13-q21,29966,STRN3
Pbx4/chr8:69832703-69872292,Pbx4,chr8,69832703,69872292,0.007500312,0.884378669,80720,19p12,80714,PBX4
Gfer/chr17:24693190-24696156,Gfer,chr17,24693190,24696156,0.0075216,0.829725404,11692,16p13.3-p13.12,2671,GFER
Psmb10/chr8:105935727-105938392,Psmb10,chr8,105935727,105938392,0.007529112,0.894491171,19171,16q22.1,5699,PSMB10
Efnb1/chrX:99136129-99148991,Efnb1,chrX,99136129,99148991,0.007529864,0.736275486,13641,Xq12,1947,EFNB1
A230046K03Rik/chr10:83543940-83596473,A230046K03Rik,chr10,83543940,83596473,0.00753262,1.119106102,319277,12q24.11,23325,KIAA1033
Tle4/chr19:14448071-14597983,Tle4,chr19,14448071,14597983,0.007543113,1.177948678,21888,9q21.31,7091,TLE4
Yars/chr4:129189794-129219607,Yars,chr4,129189794,129219607,0.0075532,0.936546492,107271,1p35.1,8565,YARS
Nr4a3/chr4:48051247-48083352,Nr4a3,chr4,48051247,48083352,0.007554578,0.626607251,18124,9q22,8013,NR4A3
Exph5/chr9:53301669-53381158,Exph5,chr9,53301669,53381158,0.007556669,1.216044024,320051,11q22.3,23086,EXPH5
Atf2/chr2:73816521-73892628,Atf2,chr2,73816521,73892628,0.007557039,1.119725366,11909,2q32,1386,ATF2
Utrn/chr10:12382187-12861735,Utrn,chr10,12382187,12861735,0.007575453,1.061626274,22288,6q24,7402,UTRN
2700007P21Rik/chr2:106962528-106974397,2700007P21Rik,chr2,106962528,106974397,0.007576252,1.091363043,NA,NA,NA,NA
Fbxo44/chr4:148152799-148160064,Fbxo44,chr4,148152799,148160064,0.00757875,0.773775242,230903,1p36.22,93611,FBXO44
Arhgap44/chr11:65002038-65162961,Arhgap44,chr11,65002038,65162961,0.007585836,1.10406542,216831,17p12,9912,ARHGAP44
Cd276/chr9:58524299-58540940,Cd276,chr9,58524299,58540940,0.007589476,0.887874542,102657,15q23-q24,80381,CD276
Lin54/chr5:100442034-100500639,Lin54,chr5,100442034,100500639,0.007598261,1.16139335,231506,4q21.22,132660,LIN54
Zfp280d/chr9:72274898-72363771,Zfp280d,chr9,72274898,72363771,0.007619131,1.188422338,235469,15q21.3,54816,ZNF280D
2610034B18Rik/chr7:79925358-79935264,2610034B18Rik,chr7,79925358,79935264,0.007626342,1.075387538,70420,15q,100526783,C15orf38-AP3S2
Mrpl38/chr11:116131816-116138868,Mrpl38,chr11,116131816,116138868,0.007636542,0.875492079,60441,17q25.3,64978,MRPL38
Dlgap1/chr17:70424791-70821413,Dlgap1,chr17,70424791,70821413,0.007659269,1.077408351,224997,18p11.31,9229,DLGAP1
Nkx2-1/chr12:56531934-56536908,Nkx2-1,chr12,56531934,56536908,0.007671111,1.382547111,21869,14q13,7080,NKX2-1
Dtymk/chr1:93792575-93801934,Dtymk,chr1,93792575,93801934,0.007704673,0.924253996,21915,2q37.3,1841,DTYMK
Cmtm5/chr14:54936469-54939277,Cmtm5,chr14,54936469,54939277,0.00772846,0.895157321,67272,14q11.2,116173,CMTM5
Atp9b/chr18:80734140-80934058,Atp9b,chr18,80734140,80934058,0.007732956,0.888306774,50771,18q23,374868,ATP9B
Pikfyve/chr1:65186684-65278696,Pikfyve,chr1,65186684,65278696,0.007735605,1.160446,18711,2q34,200576,PIKFYVE
Dcbld2/chr16:58408534-58469745,Dcbld2,chr16,58408534,58469745,0.007767763,1.154075256,73379,3q12.1,131566,DCBLD2
5430417L22Rik/chr2:118745761-118748807,5430417L22Rik,chr2,118745761,118748807,0.007778999,1.127926386,NA,NA,NA,NA
Jhdm1d/chr6:39136619-39206773,Jhdm1d,chr6,39136619,39206773,0.007790283,1.208224987,338523,7q34,80853,JHDM1D
Klf2/chr8:72319061-72321654,Klf2,chr8,72319061,72321654,0.007798151,0.706793771,16598,19p13.11,10365,KLF2
Zdhhc23/chr16:43969145-43979050,Zdhhc23,chr16,43969145,43979050,0.007821807,0.840307808,332175,3q13.31,254887,ZDHHC23
Brf2/chr8:27123831-27128632,Brf2,chr8,27123831,27128632,0.007831668,0.864627751,66653,8p11.23,55290,BRF2
Exoc8/chr8:124890298-124897705,Exoc8,chr8,124890298,124897705,0.00788982,1.144579883,102058,1q42.2,149371,EXOC8
Ksr1/chr11:79014800-79146354,Ksr1,chr11,79014800,79146354,0.007891846,0.818624212,16706,17q11.2,8844,KSR1
Fkbp6/chr5:135291703-135349991,Fkbp6,chr5,135291703,135349991,0.007904357,0.532738325,94244,7q11.23,8468,FKBP6
Fam82a1/chr17:79614899-79682152,Fam82a1,chr17,79614899,79682152,0.00790794,1.243492185,NA,NA,NA,NA
Piwil1/chr5:128736245-128755474,Piwil1,chr5,128736245,128755474,0.007926556,2.076925385,57749,12q24.33,9271,PIWIL1
Lix1/chr17:17402685-17459388,Lix1,chr17,17402685,17459388,0.007938994,1.241772337,66643,5q15,167410,LIX1
Tmtc2/chr10:105187663-105574479,Tmtc2,chr10,105187663,105574479,0.007949283,1.139637208,278279,12q21.31,160335,TMTC2
Tmem56/chr3:121202009-121263316,Tmem56,chr3,121202009,121263316,0.007970241,1.148945872,99887,1p21.3,148534,TMEM56
Zfp946/chr17:22424267-22456689,Zfp946,chr17,22424267,22456689,0.007972709,1.231167216,NA,NA,NA,NA
Trmt61a/chr12:111678104-111683902,Trmt61a,chr12,111678104,111683902,0.007975267,0.862915245,328162,14q32,115708,TRMT61A
B4galnt4/chr7:141061273-141072119,B4galnt4,chr7,141061273,141072119,0.007983499,0.909711104,330671,11p15.5,338707,B4GALNT4
Xpo1/chr11:23256040-23297597,Xpo1,chr11,23256040,23297597,0.008001007,1.120553068,103573,2p15,7514,XPO1
Adam11/chr11:102761438-102780262,Adam11,chr11,102761438,102780262,0.008033946,0.859188499,11488,17q21.3,4185,ADAM11
Tug1/chr11:3639793-3648808,Tug1,chr11,3639793,3648808,0.008034946,1.120886387,544752,22q12.2,55000,TUG1
Gps1/chr11:120784271-120789102,Gps1,chr11,120784271,120789102,0.00803604,0.896977884,209318,17q25.3,2873,GPS1
Dyrk1a/chr16:94570205-94695519,Dyrk1a,chr16,94570205,94695519,0.008076351,1.105388149,13548,21q22.13,1859,DYRK1A
Espnl/chr1:91322074-91348303,Espnl,chr1,91322074,91348303,0.008094891,1.93329045,227357,2q37.3,339768,ESPNL
Agpat2/chr2:26593586-26604210,Agpat2,chr2,26593586,26604210,0.008110457,1.448561492,67512,9q34.3,10555,AGPAT2
Hgf/chr5:16553549-16619439,Hgf,chr5,16553549,16619439,0.008161553,1.347610423,15234,7q21.1,3082,HGF
Fbxo32/chr15:58175878-58214892,Fbxo32,chr15,58175878,58214892,0.008171128,1.220894661,67731,8q24.13,114907,FBXO32
Prkrir/chr7:98703362-98718061,Prkrir,chr7,98703362,98718061,0.008178555,1.127371918,72981,11q13.5,5612,PRKRIR
Plcd3/chr11:103070295-103101658,Plcd3,chr11,103070295,103101658,0.008203487,0.86570524,72469,17q21.31,113026,PLCD3
Bcl2l1/chr2:152780667-152831682,Bcl2l1,chr2,152780667,152831682,0.008220075,0.891057227,12048,20q11.21,598,BCL2L1
6530418L21Rik/chr3:105704598-105720842,6530418L21Rik,chr3,105704598,105720842,0.008223341,0.868513931,NA,NA,NA,NA
Trove2/chr1:143750790-143777051,Trove2,chr1,143750790,143777051,0.008232934,1.214185426,20822,1q31,6738,TROVE2
Rplp2-ps1/chr12:75630924-75631749,Rplp2-ps1,chr12,75630924,75631749,0.008255541,1.339863209,NA,NA,NA,NA
Ift122/chr6:115853527-115926699,Ift122,chr6,115853527,115926699,0.008376499,0.898050205,81896,3q21,55764,IFT122
Rbpj/chr5:53555778-53657445,Rbpj,chr5,53555778,53657445,0.008407121,1.094680317,19664,4p15.2,3516,RBPJ
Tgfa/chr6:86195250-86275449,Tgfa,chr6,86195250,86275449,0.00842376,1.214179188,21802,2p13,7039,TGFA
Flad1/chr3:89402672-89411863,Flad1,chr3,89402672,89411863,0.008431905,0.902464009,319945,1q21.3,80308,FLAD1
Ints2/chr11:86210682-86257568,Ints2,chr11,86210682,86257568,0.00845673,1.140574389,70422,17q23.2,57508,INTS2
Creb3l1/chr2:91982327-92024170,Creb3l1,chr2,91982327,92024170,0.008461206,1.310083798,26427,11p11.2,90993,CREB3L1
N28178/chr4:42917250-42941607,N28178,chr4,42917250,42941607,0.008462124,0.935646024,230085,9p13.3,23349,KIAA1045
Cep290/chr10:100488288-100573655,Cep290,chr10,100488288,100573655,0.008492152,1.179121362,216274,12q21.32,80184,CEP290
Dmxl1/chr18:49832996-49965473,Dmxl1,chr18,49832996,49965473,0.008500012,1.157030229,240283,5q22,1657,DMXL1
Mpv17l/chr16:13940694-13949357,Mpv17l,chr16,13940694,13949357,0.008504299,1.108391462,93734,16p13.11,255027,MPV17L
2610101N10Rik/chr9:95456893-95511996,2610101N10Rik,chr9,95456893,95511996,0.008505931,1.091722824,NA,NA,NA,NA
Nrxn1/chr17:90033643-91092802,Nrxn1,chr17,90033643,91092802,0.008508377,1.165155469,18189,2p16.3,9378,NRXN1
Atrx/chrX:105797614-105929372,Atrx,chrX,105797614,105929372,0.008510286,1.118951809,22589,Xq21.1,546,ATRX
Smcr7l/chr15:80234079-80253371,Smcr7l,chr15,80234079,80253371,0.008523486,1.118408498,239555,22q13,54471,SMCR7L
Srp68/chr11:116245165-116274217,Srp68,chr11,116245165,116274217,0.00853701,0.931779008,217337,17q25.1,6730,SRP68
Fmr1/chrX:68678554-68717961,Fmr1,chrX,68678554,68717961,0.008545083,1.149659675,14265,Xq27.3,2332,FMR1
Cdh2/chr18:16588876-16809049,Cdh2,chr18,16588876,16809049,0.008564122,1.095819862,12558,18q11.2,1000,CDH2
Sp9/chr2:73271925-73275771,Sp9,chr2,73271925,73275771,0.008593512,1.340052051,381373,2q31.1,100131390,SP9
Pdk1/chr2:71873271-71903858,Pdk1,chr2,71873271,71903858,0.008596324,1.173837956,228026,2q31.1,5163,PDK1
Hpgd/chr8:56294551-56321046,Hpgd,chr8,56294551,56321046,0.008597496,0.651401118,15446,4q34-q35,3248,HPGD
Psmd3/chr11:98682553-98695978,Psmd3,chr11,98682553,98695978,0.008614628,0.925533863,22123,17q21.1,5709,PSMD3
Sertad2/chr11:20543252-20653023,Sertad2,chr11,20543252,20653023,0.008633639,1.172253741,58172,2p14,9792,SERTAD2
Myo16/chr8:10153922-10633950,Myo16,chr8,10153922,10633950,0.008640015,0.842601361,244281,13q33.3,23026,MYO16
Gabpa/chr16:84835123-84863778,Gabpa,chr16,84835123,84863778,0.008645636,1.162834427,14390,21q21.3,2551,GABPA
Rbm24/chr13:46418299-46431099,Rbm24,chr13,46418299,46431099,0.008696911,0.817283111,666794,6p22.3,221662,RBM24
Cwf19l2/chr9:3404084-3479236,Cwf19l2,chr9,3404084,3479236,0.008711396,1.144302538,244672,11q22.3,143884,CWF19L2
Cbfb/chr8:105170673-105217988,Cbfb,chr8,105170673,105217988,0.008717755,1.165559131,12400,16q22.1,865,CBFB
Sidt1/chr16:44240179-44332838,Sidt1,chr16,44240179,44332838,0.008723311,0.907721407,320007,3q13.2,54847,SIDT1
AI593442/chr9:52673041-52679429,AI593442,chr9,52673041,52679429,0.00872737,1.295732428,330941,11q22.3,399947,C11orf87
Gm6793/chr2:75659289-75665756,Gm6793,chr2,75659289,75665756,0.008753765,1.098741255,NA,NA,NA,NA
Iffo1/chr6:125145240-125161782,Iffo1,chr6,125145240,125161782,0.008754283,0.925357732,320678,12p13.3,25900,IFFO1
