geneInfo,gene,Chr,Start,Stop,pvalsReciprocal,naturalLogBeta_Reciprocal,Mouse.EntrezGene.ID,Human.Chr,Human.EntrezGene.ID,Human.Symbol
Bcl2/chr1:106538178-106714290,Bcl2,chr1,106538178,106714290,0.019892764,-0.108250433,12043,18q21.3,596,BCL2
Arhgap36/chrX:49470449-49500250,Arhgap36,chrX,49470449,49500250,0.02000491,-0.495569422,75404,Xq26.1,158763,ARHGAP36
Cd59a/chr2:104095800-104115351,Cd59a,chr2,104095800,104115351,0.020038065,-0.472764868,NA,NA,NA,NA
Pbx2/chr17:34592470-34597341,Pbx2,chr17,34592470,34597341,0.02004691,-0.046246257,18515,6p21.3,5089,PBX2
A530054K11Rik/chr13:67617000-67637753,A530054K11Rik,chr13,67617000,67637753,0.020076633,-0.112846512,212281,19,100287226,ZNF729
Jph2/chr2:163336241-163397993,Jph2,chr2,163336241,163397993,0.020085301,0.213934776,59091,20q13.12,57158,JPH2
Spon1/chr7:113765997-114043375,Spon1,chr7,113765997,114043375,0.020091438,-0.091392192,233744,11p15.2,10418,SPON1
Fut7/chr2:25423693-25426373,Fut7,chr2,25423693,25426373,0.020164975,0.237163101,14347,9q34.3,2529,FUT7
Lmbr1l/chr15:98903920-98918098,Lmbr1l,chr15,98903920,98918098,0.020194992,0.122887294,74775,12q13.12,55716,LMBR1L
Tmem41b/chr7:109972186-109986230,Tmem41b,chr7,109972186,109986230,0.020223701,-0.079035845,233724,11p15.4,440026,TMEM41B
C030037D09Rik/chr11:88718642-88728572,C030037D09Rik,chr11,88718642,88728572,0.020292717,0.457218105,NA,NA,NA,NA
Cacna1e/chr1:154392518-154725920,Cacna1e,chr1,154392518,154725920,0.020337088,-0.084682472,12290,1q25.3,777,CACNA1E
Map4k2/chr19:6341249-6353527,Map4k2,chr19,6341249,6353527,0.02043017,0.061917826,26412,11q13,5871,MAP4K2
Pdk4/chr6:5483350-5496278,Pdk4,chr6,5483350,5496278,0.0205236,0.2186659,27273,7q21.3,5166,PDK4
Adora2b/chr11:62248983-62266452,Adora2b,chr11,62248983,62266452,0.02055288,0.164558153,11541,17p12,136,ADORA2B
C1ql2/chr1:120340581-120343174,C1ql2,chr1,120340581,120343174,0.020603117,0.228077274,226359,2q14.2,165257,C1QL2
D4Wsu53e/chr4:134923624-134927370,D4Wsu53e,chr4,134923624,134927370,0.020636793,0.091450651,27981,1p36.13-p35.1,57035,C1orf63
Tmem176b/chr6:48833811-48841374,Tmem176b,chr6,48833811,48841374,0.020681513,0.111955454,65963,7q36.1,28959,TMEM176B
AW551984/chr9:39587395-39604124,AW551984,chr9,39587395,39604124,0.020712297,-0.170677533,NA,NA,NA,NA
Pcdha9/chr18:36997879-37187657,Pcdha9,chr18,36997879,37187657,0.020767205,-0.066963858,192161,5q31,56137,PCDHA12
Scarf1/chr11:75513540-75526580,Scarf1,chr11,75513540,75526580,0.020849031,0.196148328,380713,17p13.3,8578,SCARF1
Tmem38b/chr4:53826044-53862018,Tmem38b,chr4,53826044,53862018,0.02086804,0.09503174,52076,9q31.2,55151,TMEM38B
H2-Q10/chr17:35470088-35474563,H2-Q10,chr17,35470088,35474563,0.020886751,0.255989363,15007,6p21.3,3105,HLA-A
Kirrel2/chr7:30447765-30457515,Kirrel2,chr7,30447765,30457515,0.020947584,0.255205884,243911,19q13.12,84063,KIRREL2
Alkbh1/chr12:87428077-87443839,Alkbh1,chr12,87428077,87443839,0.021062349,0.090887523,211064,14q24.3,8846,ALKBH1
Rhou/chr8:123653928-123663880,Rhou,chr8,123653928,123663880,0.021091552,0.135208124,69581,1q42.11-q42.3,58480,RHOU
2810002D19Rik/chr2:94406706-94411680,2810002D19Rik,chr2,94406706,94411680,0.02112868,-0.351957275,NA,NA,NA,NA
Pcdha6/chr18:36967755-37187657,Pcdha6,chr18,36967755,37187657,0.021160252,-0.064336178,12937,5q31,56142,PCDHA6
Pcdha11/chr18:37010857-37187657,Pcdha11,chr18,37010857,37187657,0.02119581,-0.063526252,12942,5q31,56138,PCDHA11
Efcab7/chr4:99829499-99912783,Efcab7,chr4,99829499,99912783,0.021291667,-0.201236526,230500,1p31.3,84455,EFCAB7
Twist1/chr12:33957670-33959831,Twist1,chr12,33957670,33959831,0.021312964,-0.306390673,22160,7p21.2,7291,TWIST1
Ak5/chr3:152462814-152668140,Ak5,chr3,152462814,152668140,0.021385024,-0.082712446,229949,1p31,26289,AK5
1700110I01Rik/chr14:3262401-3783730,1700110I01Rik,chr14,3262401,3783730,0.021393042,0.227062919,NA,NA,NA,NA
Gm10432/chr12:100276608-100300908,Gm10432,chr12,100276608,100300908,0.021398894,0.154791874,NA,NA,NA,NA
St6galnac5/chr3:152820709-152982207,St6galnac5,chr3,152820709,152982207,0.021463784,-0.136836271,26938,1p31.1,81849,ST6GALNAC5
Ctdsp2/chr10:126978716-126999975,Ctdsp2,chr10,126978716,126999975,0.021478946,0.072124435,52468,12q14.1,10106,CTDSP2
Ankzf1/chr1:75192134-75199385,Ankzf1,chr1,75192134,75199385,0.021482575,0.085129157,52231,2q35,55139,ANKZF1
Nsun3/chr16:62734851-62786716,Nsun3,chr16,62734851,62786716,0.021501176,-0.121721395,106338,3q11.1,63899,NSUN3
2700081O15Rik/chr19:7417624-7425904,2700081O15Rik,chr19,7417624,7425904,0.021526287,0.06653895,108899,11q13,65998,C11orf95
Sag/chr1:87803679-87845157,Sag,chr1,87803679,87845157,0.021538933,0.208506796,20215,2q37.1,6295,SAG
Cdyl2/chr8:116568723-116732991,Cdyl2,chr8,116568723,116732991,0.02156345,-0.168914543,75796,16q23.2,124359,CDYL2
Csrp1/chr1:135729196-135752229,Csrp1,chr1,135729196,135752229,0.021701263,0.069253628,13007,1q32,1465,CSRP1
Tmem160/chr7:16452778-16455490,Tmem160,chr7,16452778,16455490,0.021938089,0.175340551,69094,19q13.32,54958,TMEM160
Acot4/chr12:84038378-84044723,Acot4,chr12,84038378,84044723,0.021980951,-0.19236881,171282,14q24.3,122970,ACOT4
Ablim1/chr19:57033263-57216032,Ablim1,chr19,57033263,57216032,0.022049117,-0.072609289,226251,10q25,3983,ABLIM1
Wdr62/chr7:30240137-30280421,Wdr62,chr7,30240137,30280421,0.022096815,0.138659233,233064,19q13.12,284403,WDR62
Slc35b4/chr6:34155878-34177054,Slc35b4,chr6,34155878,34177054,0.02213872,-0.097459376,58246,7q33,84912,SLC35B4
Zfp606/chr7:12478304-12496235,Zfp606,chr7,12478304,12496235,0.022146293,-0.085003427,67370,19q13.4,80095,ZNF606
Apitd1/chr4:149128348-149137600,Apitd1,chr4,149128348,149137600,0.02215798,-0.15581036,69928,1,378708,APITD1
Mllt3/chr4:87769924-88033407,Mllt3,chr4,87769924,88033407,0.022358609,-0.084541024,70122,9p22,4300,MLLT3
Nxph3/chr11:95509845-95514565,Nxph3,chr11,95509845,95514565,0.022442911,-0.098361782,104079,17q21.33,11248,NXPH3
Pde7b/chr10:20398003-20725068,Pde7b,chr10,20398003,20725068,0.022460898,-0.157507723,29863,6q23-q24,27115,PDE7B
D930020B18Rik/chr10:121641700-121693914,D930020B18Rik,chr10,121641700,121693914,0.022551956,-0.431147559,216393,12q14.2,115749,C12orf56
Mkrn3/chr7:62417592-62420139,Mkrn3,chr7,62417592,62420139,0.022679384,-0.145936422,22652,15q11-q13,7681,MKRN3
Smcr8/chr11:60777524-60788287,Smcr8,chr11,60777524,60788287,0.022683522,-0.056907181,237782,17p11.2,140775,SMCR8
Cep97/chr16:55899887-55934848,Cep97,chr16,55899887,55934848,0.022685465,0.143056776,74201,3q12.3,79598,CEP97
Pgap1/chr1:54472999-54557684,Pgap1,chr1,54472999,54557684,0.022701646,-0.092934286,241062,2q33.1,80055,PGAP1
Mctp2/chr7:72077829-72306595,Mctp2,chr7,72077829,72306595,0.022755652,-0.1563155,244049,15q26.2,55784,MCTP2
Itgb2/chr10:77530347-77565674,Itgb2,chr10,77530347,77565674,0.022833585,-0.146281624,16414,21q22.3,3689,ITGB2
Ccdc19/chr1:172521129-172545870,Ccdc19,chr1,172521129,172545870,0.022867821,0.246766551,71870,1q22,25790,CCDC19
Usp29/chr7:6730740-6967220,Usp29,chr7,6730740,6967220,0.022877503,-0.107851066,57775,19q13.43,57663,USP29
Pkmyt1/chr17:23726335-23736729,Pkmyt1,chr17,23726335,23736729,0.022904628,0.3061224,268930,16p13.3,9088,PKMYT1
Trpt1/chr19:6996130-6999046,Trpt1,chr19,6996130,6999046,0.022971082,0.098621746,107328,11q13.1,83707,TRPT1
Wdr31/chr4:62453733-62470872,Wdr31,chr4,62453733,62470872,0.023035916,-0.090637434,71354,9q32,114987,WDR31
St3gal4/chr9:35046578-35116810,St3gal4,chr9,35046578,35116810,0.023207279,0.080470466,20443,11q24.2,6484,ST3GAL4
Tarbp2/chr15:102518191-102523676,Tarbp2,chr15,102518191,102523676,0.023242085,0.074469756,21357,12q12-q13,6895,TARBP2
Pcdha5/chr18:36960439-37187657,Pcdha5,chr18,36960439,37187657,0.02329492,-0.063712364,12941,5q31,56143,PCDHA5
Pcdha10/chr18:37005319-37187657,Pcdha10,chr18,37005319,37187657,0.023322599,-0.063335161,12943,5q31,56139,PCDHA10
Glce/chr9:62057248-62070606,Glce,chr9,62057248,62070606,0.023348461,-0.098689779,93683,15q23,26035,GLCE
Syt6/chr3:103575280-103635179,Syt6,chr3,103575280,103635179,0.023370398,-0.161711891,54524,1p13.2,148281,SYT6
Dscaml1/chr9:45430292-45753713,Dscaml1,chr9,45430292,45753713,0.023409342,-0.122494747,114873,11q23,57453,DSCAML1
2900076A07Rik/chr7:81523549-81531498,2900076A07Rik,chr7,81523549,81531498,0.023480463,0.218988566,NA,NA,NA,NA
Phf13/chr4:151989630-151996179,Phf13,chr4,151989630,151996179,0.023482261,0.161869904,230936,1p36.31,148479,PHF13
Hddc3/chr7:80343136-80346097,Hddc3,chr7,80343136,80346097,0.023604286,0.564306174,NA,NA,NA,NA
Fbxo38/chr18:62504058-62548743,Fbxo38,chr18,62504058,62548743,0.023648796,-0.059779415,107035,5q32,81545,FBXO38
St8sia2/chr7:73939119-74013682,St8sia2,chr7,73939119,74013682,0.023698594,-0.22859639,20450,15q26,8128,ST8SIA2
Zan/chr5:137378636-137477064,Zan,chr5,137378636,137477064,0.023699543,0.414892914,22635,7q22,7455,ZAN
Map3k14/chr11:103219763-103267401,Map3k14,chr11,103219763,103267401,0.023751806,0.289536436,53859,17q21,9020,MAP3K14
Ssh2/chr11:77216424-77460219,Ssh2,chr11,77216424,77460219,0.023787638,-0.06280898,237860,17q11.2,85464,SSH2
Cc2d1b/chr4:108619955-108634122,Cc2d1b,chr4,108619955,108634122,0.023801573,0.074168599,319965,1p32.3,200014,CC2D1B
Ptgs1/chr2:36230425-36252269,Ptgs1,chr2,36230425,36252269,0.023839322,-0.1114946,19224,9q32-q33.3,5742,PTGS1
Smarcc1/chr9:110132023-110240178,Smarcc1,chr9,110132023,110240178,0.023846491,-0.052569156,20588,3p21.31,6599,SMARCC1
Tmem150c/chr5:100077872-100159808,Tmem150c,chr5,100077872,100159808,0.023862091,-0.078746222,231503,4,441027,TMEM150C
Vmn2r57/chr7:41399731-41448641,Vmn2r57,chr7,41399731,41448641,0.023863569,0.280304339,NA,NA,NA,NA
Xlr3b/chrX:73192178-73202930,Xlr3b,chrX,73192178,73202930,0.023910636,0.943013343,NA,NA,NA,NA
Pdcd6/chr13:74303120-74317326,Pdcd6,chr13,74303120,74317326,0.023995514,-0.131294094,18570,5p15.33,10016,PDCD6
Gm14023/chr2:129297369-129307826,Gm14023,chr2,129297369,129307826,0.024008865,0.190287753,NA,NA,NA,NA
Gm10471/chr5:26082171-26089264,Gm10471,chr5,26082171,26089264,0.024010911,0.440294568,NA,NA,NA,NA
Clvs1/chr4:9269316-9451691,Clvs1,chr4,9269316,9451691,0.02411457,-0.079592206,74438,8q12.3,157807,CLVS1
Pfkfb4/chr9:108991901-109032225,Pfkfb4,chr9,108991901,109032225,0.024159189,0.066725808,270198,3p22-p21,5210,PFKFB4
Surf4/chr2:26920040-26933511,Surf4,chr2,26920040,26933511,0.024161825,-0.052697858,20932,9q34.2,6836,SURF4
Mlxip/chr5:123394818-123457931,Mlxip,chr5,123394818,123457931,0.024202667,0.070314309,208104,12q24.31,22877,MLXIP
Iqgap2/chr13:95627176-95891922,Iqgap2,chr13,95627176,95891922,0.024216097,-0.173197265,544963,5q13.3,10788,IQGAP2
Nras/chr3:103058284-103067914,Nras,chr3,103058284,103067914,0.024239951,-0.077466403,18176,1p13.2,4893,NRAS
Gbf1/chr19:46152557-46286510,Gbf1,chr19,46152557,46286510,0.024245344,-0.057914526,107338,10q24,8729,GBF1
Gpt/chr15:76696763-76699675,Gpt,chr15,76696763,76699675,0.024371714,0.087671327,76282,8q24.3,2875,GPT
Serac1/chr17:6040570-6079739,Serac1,chr17,6040570,6079739,0.024392148,0.065910561,321007,6q25.3,84947,SERAC1
Trim7/chr11:48826137-48850195,Trim7,chr11,48826137,48850195,0.024454867,0.165987318,94089,5q35.3,81786,TRIM7
Eif2ak4/chr2:118388616-118475234,Eif2ak4,chr2,118388616,118475234,0.024469993,0.081265713,27103,15q15.1,440275,EIF2AK4
Mndal/chr1:173857219-173880187,Mndal,chr1,173857219,173880187,0.024522942,-0.304852194,NA,NA,NA,NA
Chrdl2/chr7:100006403-100034726,Chrdl2,chr7,100006403,100034726,0.024553535,0.528642287,69121,11q14,25884,CHRDL2
Cpeb1/chr7:81347025-81454758,Cpeb1,chr7,81347025,81454758,0.024562753,0.083745326,12877,15q25.2,64506,CPEB1
Phyh/chr2:4918995-4938743,Phyh,chr2,4918995,4938743,0.024608103,-0.086187748,16922,10p13,5264,PHYH
Ticam2/chr18:46558230-46574533,Ticam2,chr18,46558230,46574533,0.024692228,0.279328945,225471,5q23.1,353376,TICAM2
Mpeg1/chr19:12460778-12465285,Mpeg1,chr19,12460778,12465285,0.024715516,-0.414452152,17476,11q12.1,219972,MPEG1
Rp9/chr9:22448311-22468356,Rp9,chr9,22448311,22468356,0.024727374,0.038840961,55934,7p14.3,6100,RP9
Grrp1/chr4:134251109-134254106,Grrp1,chr4,134251109,134254106,0.024737634,0.298941056,72690,1p36.11,79927,FAM110D
Cxcl16/chr11:70454233-70459984,Cxcl16,chr11,70454233,70459984,0.024737801,0.225512468,66102,17p13,58191,CXCL16
Clec16a/chr16:10545338-10744878,Clec16a,chr16,10545338,10744878,0.024826016,-0.102856988,74374,16p13.13,23274,CLEC16A
Dnajc7/chr11:100582835-100620168,Dnajc7,chr11,100582835,100620168,0.024858138,-0.027153573,56354,17q11.2,7266,DNAJC7
Pik3ip1/chr11:3330730-3342971,Pik3ip1,chr11,3330730,3342971,0.024925997,0.094559444,216505,22q12.2,113791,PIK3IP1
Gm514/chr9:65361059-65380377,Gm514,chr9,65361059,65380377,0.024944683,0.075162847,208080,15q22.31,390595,UBAP1L
Pole/chr5:110286318-110337453,Pole,chr5,110286318,110337453,0.024955416,0.166213052,18973,12q24.3,5426,POLE
Fam65b/chr13:24614609-24733806,Fam65b,chr13,24614609,24733806,0.025071233,-0.081864404,193385,6p22.3-p21.32,9750,FAM65B
Ntsr2/chr12:16653469-16660236,Ntsr2,chr12,16653469,16660236,0.025138954,0.105336291,18217,2p25.1,23620,NTSR2
Wdr5b/chr16:36041189-36042974,Wdr5b,chr16,36041189,36042974,0.025150501,-0.081614131,69544,3q21.1,54554,WDR5B
Pdzd8/chr19:59296083-59345780,Pdzd8,chr19,59296083,59345780,0.025165955,-0.074391467,107368,10q26.12,118987,PDZD8
A330049N07Rik/chr10:72973302-73086705,A330049N07Rik,chr10,72973302,73086705,0.025178674,0.321585859,NA,NA,NA,NA
AI414108/chr9:27352684-27357543,AI414108,chr9,27352684,27357543,0.025213012,0.105258594,102623,11q25,283174,LOC283174
Dtx2/chr5:135994799-136032881,Dtx2,chr5,135994799,136032881,0.025340187,0.070035442,74198,7q11.23,113878,DTX2
Pcolce2/chr9:95637627-95695551,Pcolce2,chr9,95637627,95695551,0.025451104,0.152529289,76477,3q21-q24,26577,PCOLCE2
Rbm24/chr13:46418299-46431099,Rbm24,chr13,46418299,46431099,0.025459133,0.168460497,666794,6p22.3,221662,RBM24
Rps6ka6/chrX:111388191-111537945,Rps6ka6,chrX,111388191,111537945,0.02548858,-0.163905594,67071,Xq21,27330,RPS6KA6
Gm8909/chr17:36164443-36168537,Gm8909,chr17,36164443,36168537,0.025511601,0.205212533,NA,NA,NA,NA
Insm1/chr2:146221996-146225018,Insm1,chr2,146221996,146225018,0.02552551,0.19625563,53626,20p11.2,3642,INSM1
Dctn4/chr18:60526220-60558762,Dctn4,chr18,60526220,60558762,0.025570881,-0.054853086,67665,5q31-q32,51164,DCTN4
Agphd1/chr9:54917289-54949924,Agphd1,chr9,54917289,54949924,0.025595758,0.101010214,235386,15q25.1,123688,AGPHD1
Mks1/chr11:87853224-87863679,Mks1,chr11,87853224,87863679,0.025770531,0.137248824,380718,17q22,54903,MKS1
Stmn4/chr14:66344374-66361680,Stmn4,chr14,66344374,66361680,0.025782064,0.069329812,56471,8p21.2,81551,STMN4
Lpar1/chr4:58435251-58553491,Lpar1,chr4,58435251,58553491,0.025886897,-0.119873252,14745,9q31.3,1902,LPAR1
Lmna/chr3:88481148-88503332,Lmna,chr3,88481148,88503332,0.025991956,0.059870009,16905,1q22,4000,LMNA
Ehbp1/chr11:22005825-22286795,Ehbp1,chr11,22005825,22286795,0.026010852,-0.063227959,216565,2p15,23301,EHBP1
Crocc/chr4:141016636-141060545,Crocc,chr4,141016636,141060545,0.02605092,0.338528044,230872,1p36.13,9696,CROCC
Gm10190/chr17:80371856-80373542,Gm10190,chr17,80371856,80373542,0.026054957,-0.299178135,791338,2p22.3,375196,LOC375196
Ptprc/chr1:138062860-138175305,Ptprc,chr1,138062860,138175305,0.02613103,-0.217159059,19264,1q31-q32,5788,PTPRC
Mxi1/chr19:53310505-53375810,Mxi1,chr19,53310505,53375810,0.026178996,0.0721659,17859,10q24-q25,4601,MXI1
Cd55/chr1:130439029-130462740,Cd55,chr1,130439029,130462740,0.026333144,-0.147882158,13136,1q32,1604,CD55
Dnajb2/chr1:75236422-75245692,Dnajb2,chr1,75236422,75245692,0.026439913,0.040125721,56812,2q32-q34,3300,DNAJB2
4932443I19Rik/chr8:13705888-13743066,4932443I19Rik,chr8,13705888,13743066,0.026499628,0.400624529,NA,NA,NA,NA
A930004D18Rik/chr2:18025188-18037741,A930004D18Rik,chr2,18025188,18037741,0.026593854,0.134878648,77940,10p12.31,399726,C10orf114
Dlx1/chr2:71529444-71533980,Dlx1,chr2,71529444,71533980,0.026677478,0.086922292,13390,2q32,1745,DLX1
Bend4/chr5:67392146-67427799,Bend4,chr5,67392146,67427799,0.026691448,-0.117670786,666938,4p13,389206,BEND4
Armc4/chr18:7088232-7297901,Armc4,chr18,7088232,7297901,0.026879393,0.29550803,74934,10p12.1-p11.23,55130,ARMC4
Cyp4f17/chr17:32506461-32528894,Cyp4f17,chr17,32506461,32528894,0.026922412,0.218420815,NA,NA,NA,NA
Camsap1/chr2:25926837-25983282,Camsap1,chr2,25926837,25983282,0.026994612,-0.047057947,227634,9q34.3,157922,CAMSAP1
Il17rd/chr14:27039000-27107286,Il17rd,chr14,27039000,27107286,0.027058632,-0.139963763,171463,3p14.3,54756,IL17RD
Trmt11/chr10:30534224-30600749,Trmt11,chr10,30534224,30600749,0.027094755,0.123050224,73681,6q11.1-q22.33,60487,TRMT11
Frat2/chr19:41845975-41848132,Frat2,chr19,41845975,41848132,0.027168836,0.126009804,212398,10q24.1,23401,FRAT2
Rfwd2/chr1:159232325-159347580,Rfwd2,chr1,159232325,159347580,0.027178349,-0.069216288,26374,1q25.1-q25.2,64326,RFWD2
Xpr1/chr1:155275656-155417444,Xpr1,chr1,155275656,155417444,0.027199198,-0.0695629,19775,1q25.1,9213,XPR1
LOC100504703/chr10:127070480-127071101,LOC100504703,chr10,127070480,127071101,0.027214705,-0.296826781,NA,NA,NA,NA
Bend7/chr2:4717830-4802146,Bend7,chr2,4717830,4802146,0.027376292,-0.208270791,209645,10p13,222389,BEND7
Mgmt/chr7:136894610-137128188,Mgmt,chr7,136894610,137128188,0.027394344,-0.236542347,17314,10q26,4255,MGMT
1110008P14Rik/chr2:32379100-32381915,1110008P14Rik,chr2,32379100,32381915,0.027492341,0.077864037,73737,9q34.1,79095,C9orf16
Clvs2/chr10:33512333-33624600,Clvs2,chr10,33512333,33624600,0.027519608,-0.092310199,215890,6q22.31,134829,CLVS2
Usp54/chr14:20548911-20618354,Usp54,chr14,20548911,20618354,0.027570141,0.10362645,78787,10q22.2,159195,USP54
Adam19/chr11:46055986-46147342,Adam19,chr11,46055986,46147342,0.027615389,-0.127090696,11492,5q33.3,8728,ADAM19
Slco2a1/chr9:103008488-103087849,Slco2a1,chr9,103008488,103087849,0.02765868,-0.216236523,24059,3q21,6578,SLCO2A1
Slc14a2/chr18:78146143-78596950,Slc14a2,chr18,78146143,78596950,0.02770822,-0.356527393,27411,18q12.1-q21.1,8170,SLC14A2
Abhd14b/chr9:106448639-106452918,Abhd14b,chr9,106448639,106452918,0.02771901,0.126878293,76491,3p21.2,84836,ABHD14B
2010305A19Rik/chr4:108328151-108340718,2010305A19Rik,chr4,108328151,108340718,0.027799883,-0.125114018,NA,NA,NA,NA
Shisa5/chr9:109038626-109057766,Shisa5,chr9,109038626,109057766,0.02785958,0.075772086,66940,3p21.31,51246,SHISA5
Tox/chr4:6687385-6990723,Tox,chr4,6687385,6990723,0.027862498,0.105576538,252838,8q12.1,9760,TOX
Me1/chr9:86581362-86695914,Me1,chr9,86581362,86695914,0.027910734,-0.144867897,17436,6q12,4199,ME1
Susd5/chr9:114057353-114098733,Susd5,chr9,114057353,114098733,0.027929851,-0.114087055,382111,3p22.3,26032,SUSD5
Ptpn1/chr2:167932326-167979385,Ptpn1,chr2,167932326,167979385,0.027955632,0.108494998,19246,20q13.1-q13.2,5770,PTPN1
Pip5k1b/chr19:24294795-24555827,Pip5k1b,chr19,24294795,24555827,0.027965028,-0.096866387,18719,9q13,8395,PIP5K1B
Cyth1/chr11:118164165-118248592,Cyth1,chr11,118164165,118248592,0.028254854,0.073883711,19157,17q25,9267,CYTH1
Chchd8/chr7:100537099-100539812,Chchd8,chr7,100537099,100539812,0.028258642,0.313915902,NA,NA,NA,NA
Nmnat3/chr9:98296582-98411428,Nmnat3,chr9,98296582,98411428,0.028276657,0.278258688,74080,3q23,349565,NMNAT3
Pnkp/chr7:44857180-44862929,Pnkp,chr7,44857180,44862929,0.028295552,0.111859647,59047,19q13.3-q13.4,11284,PNKP
Fbxo2/chr4:148160667-148166417,Fbxo2,chr4,148160667,148166417,0.028309015,0.065640015,230904,1p36.22,26232,FBXO2
5031439G07Rik/chr15:84945719-84987971,5031439G07Rik,chr15,84945719,84987971,0.028319815,0.091094301,223739,22q13.31,23313,KIAA0930
Zfp91/chr19:12766938-12796123,Zfp91,chr19,12766938,12796123,0.028362592,-0.057551309,109910,11q12,80829,ZFP91
Fnip2/chr3:79455970-79567679,Fnip2,chr3,79455970,79567679,0.028578177,0.062739969,329679,4q32.1,57600,FNIP2
Ddc/chr11:11814100-11898144,Ddc,chr11,11814100,11898144,0.028582005,0.184050617,13195,7p12.2,1644,DDC
Neat1/chr19:5842301-5845478,Neat1,chr19,5842301,5845478,0.028627388,0.203320451,66961,11q13.1,283131,NEAT1
Thrsp/chr7:97412956-97417510,Thrsp,chr7,97412956,97417510,0.028737071,0.191943559,21835,11q14.1,7069,THRSP
Spef1/chr2:131170260-131174810,Spef1,chr2,131170260,131174810,0.028783052,0.07971881,70997,20pter-q11.23,25876,SPEF1
Ncoa6/chr2:155390655-155440783,Ncoa6,chr2,155390655,155440783,0.028808457,-0.08953397,56406,20q11,23054,NCOA6
Ccnjl/chr11:43528783-43586997,Ccnjl,chr11,43528783,43586997,0.028882135,-0.178508863,NA,NA,NA,NA
Mob3a/chr10:80685252-80701820,Mob3a,chr10,80685252,80701820,0.028896949,0.14442374,208228,19p13.3,126308,MOB3A
Rnf4/chr5:34336389-34353430,Rnf4,chr5,34336389,34353430,0.028920434,-0.049044977,19822,4p16.3,6047,RNF4
Cxcl12/chr6:117168534-117181368,Cxcl12,chr6,117168534,117181368,0.028966639,-0.15199091,20315,10q11.1,6387,CXCL12
Cpt1b/chr15:89416404-89425862,Cpt1b,chr15,89416404,89425862,0.02899923,0.241557098,12895,22q13.33,1375,CPT1B
Gm6614/chr6:141972195-142008745,Gm6614,chr6,141972195,142008745,0.029115952,0.179884218,NA,NA,NA,NA
Fam69c/chr18:84720241-84740436,Fam69c,chr18,84720241,84740436,0.029197296,0.167413246,240479,18q22.3,125704,FAM69C
Cox19/chr5:139337821-139345166,Cox19,chr5,139337821,139345166,0.029467576,0.056633773,68033,7p22.3,90639,COX19
Dmkn/chr7:30763755-30781066,Dmkn,chr7,30763755,30781066,0.029505895,-0.353989669,73712,19q13.12,93099,DMKN
Ier3/chr17:35821712-35822911,Ier3,chr17,35821712,35822911,0.029511242,-0.10665917,15937,6p21.3,8870,IER3
Eapp/chr12:54673466-54695865,Eapp,chr12,54673466,54695865,0.029622796,-0.060773899,66266,14q13.1,55837,EAPP
Cul9/chr17:46500604-46546388,Cul9,chr17,46500604,46546388,0.029778061,0.068927003,78309,6p21.1,23113,CUL9
Dnalc1/chr12:84114327-84143510,Dnalc1,chr12,84114327,84143510,0.029825542,-0.028786183,105000,14q24.3,83544,DNAL1
Rhobtb1/chr10:69208551-69291784,Rhobtb1,chr10,69208551,69291784,0.030059111,0.138540371,69288,10q21.2,9886,RHOBTB1
Zbed3/chr13:95325236-95337841,Zbed3,chr13,95325236,95337841,0.030072191,-0.062752174,72114,5q13.3,84327,ZBED3
Polrmt/chr10:79736124-79746581,Polrmt,chr10,79736124,79746581,0.030109677,0.050091253,216151,19p13.3,5442,POLRMT
5133401N09Rik/chr13:58157648-58164693,5133401N09Rik,chr13,58157648,58164693,0.030201235,0.083219989,NA,NA,NA,NA
Trim34b/chr7:104329470-104336617,Trim34b,chr7,104329470,104336617,0.030296537,0.293924521,434218,11p15,445372,TRIM6-TRIM34
Samd10/chr2:181595217-181599147,Samd10,chr2,181595217,181599147,0.030305573,-0.053336709,229011,20q13.33,140700,SAMD10
Plekhg1/chr10:3740376-3967302,Plekhg1,chr10,3740376,3967302,0.03037478,-0.134473648,213783,6q25.1,57480,PLEKHG1
Dyrk3/chr1:131128440-131138234,Dyrk3,chr1,131128440,131138234,0.030438112,0.265604901,226419,1q32.1,8444,DYRK3
Zfp593/chr4:134243305-134245591,Zfp593,chr4,134243305,134245591,0.030445319,0.1165916,68040,1p36.11,51042,ZNF593
Htr3a/chr9:48899212-48911099,Htr3a,chr9,48899212,48911099,0.030457163,-0.259815983,15561,11q23.1,3359,HTR3A
Hdac10/chr15:89123302-89128700,Hdac10,chr15,89123302,89128700,0.030497151,0.080218208,170787,22q13.31,83933,HDAC10
Fam5b/chr1:158245268-158356260,Fam5b,chr1,158245268,158356260,0.030577352,-0.066636961,240843,1q24,57795,FAM5B
Ssbp3/chr4:106911469-107049694,Ssbp3,chr4,106911469,107049694,0.030615684,-0.078146033,72475,1p32.3,23648,SSBP3
Plat/chr8:22757743-22782848,Plat,chr8,22757743,22782848,0.030618044,0.100773902,18791,8p12,5327,PLAT
Galnt6/chr15:100689914-100729376,Galnt6,chr15,100689914,100729376,0.030673279,0.093750994,207839,12q13,11226,GALNT6
4930422G04Rik/chr3:127553488-127618023,4930422G04Rik,chr3,127553488,127618023,0.030728239,0.236180213,71643,4q25,55345,C4orf21
