GeneInfo,GeneID,Chr,Start,Stop,permPval_Del,FoldChange
SPAG5/chr17:26904582-26926056,SPAG5,chr17,26904582,26926056,0.0128,0.745012227
IGFLR1/chr19:36230150-36233351,IGFLR1,chr19,36230150,36233351,0.0128,1.498555538
BAZ1B/chr7:72854727-72936615,BAZ1B,chr7,72854727,72936615,0.0128,0.855646792
DLEU2L/chr1:64014650-64016307,DLEU2L,chr1,64014650,64016307,0.0129,0.710120597
KCNJ10/chr1:160007256-160040051,KCNJ10,chr1,160007256,160040051,0.0129,0.595782707
C11orf82/chr11:82612736-82645699,C11orf82,chr11,82612736,82645699,0.0129,0.642841452
RIC8B/chr12:107168398-107283094,RIC8B,chr12,107168398,107283094,0.0129,0.839928302
DAPK3/chr19:3958451-3969826,DAPK3,chr19,3958451,3969826,0.013,1.221388226
RBBP4/chr1:33116748-33151812,RBBP4,chr1,33116748,33151812,0.0131,0.825910059
LRRC40/chr1:70610484-70671361,LRRC40,chr1,70610484,70671361,0.0131,0.778985457
CACYBP/chr1:174968570-174981163,CACYBP,chr1,174968570,174981163,0.0131,0.757959933
DYNC1LI2/chr16:66754798-66785525,DYNC1LI2,chr16,66754798,66785525,0.0131,0.84857996
LUC7L2/chr7:139025104-139108203,LUC7L2,chr7,139025104,139108203,0.013264998,0.885192759
SYNCRIP/chr6:86317501-86353043,SYNCRIP,chr6,86317501,86353043,0.0133,0.816730309
TRIP10/chr19:6739706-6751529,TRIP10,chr19,6739706,6751529,0.013385668,1.467481342
GIGYF2/chr2:233562014-233725289,GIGYF2,chr2,233562014,233725289,0.0134,0.84355902
UBXN1/chr11:62443971-62446527,UBXN1,chr11,62443971,62446527,0.013442791,1.212458992
HP1BP3/chr1:21069170-21113181,HP1BP3,chr1,21069170,21113181,0.0136,0.786657109
DOHH/chr19:3490818-3500938,DOHH,chr19,3490818,3500938,0.0137,1.126107607
PCNT/chr21:47744035-47865682,PCNT,chr21,47744035,47865682,0.0137,0.768617979
RBM28/chr7:127950435-127983962,RBM28,chr7,127950435,127983962,0.0137,0.832186084
COIL/chr17:55015560-55038411,COIL,chr17,55015560,55038411,0.013753639,0.848495442
MTRF1/chr13:41790515-41837713,MTRF1,chr13,41790515,41837713,0.0138,0.812628901
ARL17A/chr17:195720-44657088,ARL17A,chr17,195720,44657088,0.0138,0.62886323
XRCC3/chr14:104163953-104181823,XRCC3,chr14,104163953,104181823,0.0139,0.706446135
NOM1/chr7:156742416-156765876,NOM1,chr7,156742416,156765876,0.0139,0.848574051
CD40/chr20:44746905-44758384,CD40,chr20,44746905,44758384,0.013946281,1.425355938
MTA1/chr14:105886185-105937057,MTA1,chr14,105886185,105937057,0.014050582,0.857546143
YEATS2/chr3:183415605-183530413,YEATS2,chr3,183415605,183530413,0.0141,0.712450262
LOC731275/chr1:243219615-243265046,LOC731275,chr1,243219615,243265046,0.0142,0.67867659
KIF23/chr15:69706626-69740764,KIF23,chr15,69706626,69740764,0.0142,0.762705444
ARID5A/chr2:97202463-97218371,ARID5A,chr2,97202463,97218371,0.0142,1.345494266
BIVM/chr13:103451398-103493888,BIVM,chr13,103451398,103493888,0.014234875,0.778346083
VAMP2/chr17:8062464-8066293,VAMP2,chr17,8062464,8066293,0.014265622,1.279520004
MELK/chr9:36572858-36677680,MELK,chr9,36572858,36677680,0.014365767,0.732884655
DHFR/chr5:79922044-79950800,DHFR,chr5,79922044,79950800,0.014428858,0.667032038
OPTN/chr10:13142081-13180276,OPTN,chr10,13142081,13180276,0.0145,1.388032535
LOC100507032/chr3:129612713-129627755,LOC100507032,chr3,129612713,129627755,0.0145,0.641133246
NUP210/chr3:13357736-13461809,NUP210,chr3,13357736,13461809,0.014542172,0.762973308
CKB/chr14:103985994-103989196,CKB,chr14,103985994,103989196,0.014597018,2.370556304
LRRC37BP1/chr17:28903482-28964484,LRRC37BP1,chr17,28903482,28964484,0.014624307,0.842762216
CHEK2/chr22:29083730-29137822,CHEK2,chr22,29083730,29137822,0.0147,0.74695768
LOC100507462/chr6:139046347-139094816,LOC100507462,chr6,139046347,139094816,0.0147,0.53316441
TTK/chr6:80714321-80752244,TTK,chr6,80714321,80752244,0.01493441,0.719150882
SMARCC2/chr12:56555635-56583351,SMARCC2,chr12,56555635,56583351,0.01496585,0.803142334
SLC25A15/chr13:41363546-41386596,SLC25A15,chr13,41363546,41386596,0.0152,0.732883063
DDX46/chr5:134094460-134166812,DDX46,chr5,134094460,134166812,0.01520253,0.804377248
GIT1/chr17:27900486-27916610,GIT1,chr17,27900486,27916610,0.015235597,0.793412173
KIAA1009/chr6:84833959-84937335,KIAA1009,chr6,84833959,84937335,0.015248796,0.813065255
S100PBP/chr1:33283042-33324480,S100PBP,chr1,33283042,33324480,0.015308692,0.751835227
LOC100128881/chr16:89778263-89784573,LOC100128881,chr16,89778263,89784573,0.015401651,0.738974172
SCAI/chr9:127704887-127905838,SCAI,chr9,127704887,127905838,0.015404752,0.790465299
PARPBP/chr12:102513955-102591298,PARPBP,chr12,102513955,102591298,0.015409246,0.695200813
NASP/chr1:46049659-46084578,NASP,chr1,46049659,46084578,0.015506233,0.810099705
HNRNPA3/chr2:178077421-178088685,HNRNPA3,chr2,178077421,178088685,0.015553984,0.807352484
DBF4/chr7:87505543-87538856,DBF4,chr7,87505543,87538856,0.015598269,0.834082633
SUDS3/chr12:118814357-118855840,SUDS3,chr12,118814357,118855840,0.015599676,0.851403488
RMI2/chr16:11439310-11445617,RMI2,chr16,11439310,11445617,0.0156,0.697600913
ANLN/chr7:36429431-36493400,ANLN,chr7,36429431,36493400,0.0156,0.653388359
IFT122/chr3:129158967-129239191,IFT122,chr3,129158967,129239191,0.015621767,0.799900429
WDR92/chr2:68357280-68384678,WDR92,chr2,68357280,68384678,0.015761821,0.747220937
C1orf112/chr1:169764549-169822229,C1orf112,chr1,169764549,169822229,0.0158,0.721113888
PI4KA/chr22:21061978-21213100,PI4KA,chr22,21061978,21213100,0.0158,0.847961822
CEP152/chr15:49030134-49103343,CEP152,chr15,49030134,49103343,0.015962253,0.671640184
KIF18A/chr11:28042162-28129746,KIF18A,chr11,28042162,28129746,0.016018072,0.734902452
SKP2/chr5:36152144-36184142,SKP2,chr5,36152144,36184142,0.0161,0.76099084
SAMD1/chr19:14199228-14201232,SAMD1,chr19,14199228,14201232,0.0162,0.765006365
C14orf167/chr14:24407939-24424298,C14orf167,chr14,24407939,24424298,0.016206966,0.763322567
NADKD1/chr5:36192693-36242258,NADKD1,chr5,36192693,36242258,0.01621074,0.707477018
ZNF654/chr3:88188261-88193814,ZNF654,chr3,88188261,88193814,0.016313887,0.687624201
LINC00547/chr13:38109076-38125673,LINC00547,chr13,38109076,38125673,0.016352327,0.589130759
EME2/chr16:1823228-1826239,EME2,chr16,1823228,1826239,0.016391742,0.794487859
PHIP/chr6:79644135-79788011,PHIP,chr6,79644135,79788011,0.016411488,0.843569855
FANCG/chr9:35073834-35080013,FANCG,chr9,35073834,35080013,0.016411599,0.787681444
ALDH5A1/chr6:24495196-24537435,ALDH5A1,chr6,24495196,24537435,0.016427532,0.642026373
EXOSC2/chr9:133569157-133580452,EXOSC2,chr9,133569157,133580452,0.016483516,0.867289059
NACA2/chr17:59667793-59668563,NACA2,chr17,59667793,59668563,0.016485194,0.522217018
TRIM59/chr3:160153290-160167626,TRIM59,chr3,160153290,160167626,0.0165,0.753373963
RPGRIP1L/chr16:53633817-53737771,RPGRIP1L,chr16,53633817,53737771,0.016576875,0.680523724
LOC100133315/chr11:71576554-71639493,LOC100133315,chr11,71576554,71639493,0.016614325,0.817084058
UBAP2L/chr1:154192654-154243329,UBAP2L,chr1,154192654,154243329,0.016670055,0.856397974
CSTF3/chr11:33106129-33183037,CSTF3,chr11,33106129,33183037,0.016698521,0.813888422
TRIM36/chr5:114460458-114516243,TRIM36,chr5,114460458,114516243,0.016783361,2.030987138
SNX27/chr1:151584661-151671559,SNX27,chr1,151584661,151671559,0.016985138,0.811551958
RBM27/chr5:145583162-145668784,RBM27,chr5,145583162,145668784,0.017050644,0.814876337
UBR7/chr14:93673400-93695561,UBR7,chr14,93673400,93695561,0.017079946,0.809097925
PCYOX1L/chr5:148737569-148749221,PCYOX1L,chr5,148737569,148749221,0.017133642,0.78294482
VDAC2/chr10:76969911-76991207,VDAC2,chr10,76969911,76991207,0.017169136,1.156825207
ADAM22/chr7:87563565-87832204,ADAM22,chr7,87563565,87832204,0.017185276,0.649664497
HELLS/chr10:96305573-96361856,HELLS,chr10,96305573,96361856,0.017211704,0.727353482
DNAJB4/chr1:78470635-78482995,DNAJB4,chr1,78470635,78482995,0.017274667,0.723072481
C9orf82/chr9:26840682-26892826,C9orf82,chr9,26840682,26892826,0.017297517,0.803990573
XPO7/chr8:21777179-21864096,XPO7,chr8,21777179,21864096,0.017303533,0.801651821
FCER1G/chr1:161185086-161189038,FCER1G,chr1,161185086,161189038,0.017426545,2.147131001
HMGN2/chr1:26798901-26803133,HMGN2,chr1,26798901,26803133,0.017450607,0.75554466
ZNF525/chr19:53868967-53889841,ZNF525,chr19,53868967,53889841,0.017476962,0.733229657
C7orf49/chr7:134850531-134855578,C7orf49,chr7,134850531,134855578,0.017531269,0.855754222
ZNF628/chr19:55987698-55995854,ZNF628,chr19,55987698,55995854,0.017588451,1.337301314
SKA1/chr18:47901391-47920538,SKA1,chr18,47901391,47920538,0.017608142,0.72313236
PLK4/chr4:128802015-128820377,PLK4,chr4,128802015,128820377,0.017680264,0.723493534
CEP192/chr18:12991360-13125051,CEP192,chr18,12991360,13125051,0.017684887,0.766920207
CKAP2/chr13:53029494-53050763,CKAP2,chr13,53029494,53050763,0.017706237,0.746031375
NUFIP1/chr13:45513383-45563613,NUFIP1,chr13,45513383,45563613,0.017715148,0.876735007
TPX2/chr20:30326903-30389603,TPX2,chr20,30326903,30389603,0.017732346,0.792563617
RNASEK-C17ORF49/chr17:6915735-6920843,RNASEK-C17ORF49,chr17,6915735,6920843,0.017750279,1.186535132
FAM101B/chr17:289770-295731,FAM101B,chr17,289770,295731,0.017797888,1.767088467
ALG6/chr1:63833260-63904233,ALG6,chr1,63833260,63904233,0.017947678,0.819490986
RNASEK/chr17:6915735-6917852,RNASEK,chr17,6915735,6917852,0.018015171,1.272282293
CX3CL1/chr16:57406413-57418956,CX3CL1,chr16,57406413,57418956,0.018090557,2.509977778
MRPS25/chr3:15090018-15106816,MRPS25,chr3,15090018,15106816,0.01816868,0.808282166
ARSK/chr5:94890824-94940806,ARSK,chr5,94890824,94940806,0.018225758,0.738380967
DEGS1/chr1:224370909-224381142,DEGS1,chr1,224370909,224381142,0.018505192,0.843349409
1/2-SBSRNA4/chr4:110351118-110354973,1/2-SBSRNA4,chr4,110351118,110354973,0.0185146,0.649937998
PRRT2/chr16:29823408-29827202,PRRT2,chr16,29823408,29827202,0.018525977,0.346485442
R3HCC1/chr8:23145611-23153792,R3HCC1,chr8,23145611,23153792,0.018582806,1.174740586
KIF11/chr10:94352824-94415152,KIF11,chr10,94352824,94415152,0.018664979,0.741914923
CLDN15/chr7:100875372-100882101,CLDN15,chr7,100875372,100882101,0.018742443,0.806917966
MTBP/chr8:121457665-121535875,MTBP,chr8,121457665,121535875,0.018785222,0.758021991
SNTB2/chr16:69221049-69342955,SNTB2,chr16,69221049,69342955,0.01879503,0.8234279
HAUS5/chr19:36103645-36116251,HAUS5,chr19,36103645,36116251,0.01898473,0.790761795
GIT2/chr12:110367606-110434194,GIT2,chr12,110367606,110434194,0.019050729,0.84713916
LOC388499/chr19:7943516-7945117,LOC388499,chr19,7943516,7945117,0.019154758,0.673184266
DNA2/chr10:70173820-70231730,DNA2,chr10,70173820,70231730,0.019182652,0.698519847
FAR1/chr11:13690205-13753893,FAR1,chr11,13690205,13753893,0.019350875,0.805961124
TPI1P3/chr6:116359893-116361107,TPI1P3,chr6,116359893,116361107,0.019412382,0.669788725
HEATR5B/chr2:37208152-37311485,HEATR5B,chr2,37208152,37311485,0.019628647,0.792184829
SLC25A45/chr11:65142662-65150142,SLC25A45,chr11,65142662,65150142,0.019784545,0.72280496
DHX33/chr17:5344231-5372380,DHX33,chr17,5344231,5372380,0.01982139,0.816767778
SPTBN2/chr11:66452719-66488870,SPTBN2,chr11,66452719,66488870,0.019938812,0.351370139
SPDYE6/chr7:101986191-101996889,SPDYE6,chr7,101986191,101996889,0.02,0.626326136
PAICS/chr4:57301914-57327534,PAICS,chr4,57301914,57327534,0.020033204,0.777472919
LOC440173/chr9:89623365-89657041,LOC440173,chr9,89623365,89657041,0.020082056,0.665472428
KIAA1143/chr3:44790235-44803173,KIAA1143,chr3,44790235,44803173,0.020153034,0.823476018
USP21/chr1:161129253-161135516,USP21,chr1,161129253,161135516,0.020178169,0.83932694
C1orf27/chr1:186344889-186390503,C1orf27,chr1,186344889,186390503,0.020198639,0.823974021
CILP2/chr19:19649073-19657468,CILP2,chr19,19649073,19657468,0.02021978,3.00634753
PWWP2A/chr5:159502891-159546452,PWWP2A,chr5,159502891,159546452,0.020257438,0.844960217
ADIPOQ/chr3:186560462-186576252,ADIPOQ,chr3,186560462,186576252,0.020428016,0.584557039
RBM14/chr11:66384052-66397397,RBM14,chr11,66384052,66397397,0.020441807,0.781997633
METTL17/chr14:21457964-21465194,METTL17,chr14,21457964,21465194,0.020443861,0.856182849
EIF5AL1/chr10:81272356-81276192,EIF5AL1,chr10,81272356,81276192,0.02045097,0.732936888
FAM48A/chr13:37583450-37633850,FAM48A,chr13,37583450,37633850,0.020587923,0.832459788
UBA6/chr4:68481478-68566889,UBA6,chr4,68481478,68566889,0.020634921,0.771004297
RNF13/chr3:149530474-149679925,RNF13,chr3,149530474,149679925,0.020639289,0.80034161
NDC80/chr18:2571509-2616634,NDC80,chr18,2571509,2616634,0.020646417,0.766962943
C22orf32/chr22:42475694-42480288,C22orf32,chr22,42475694,42480288,0.020734852,1.237680794
CIT/chr12:120123594-120315095,CIT,chr12,120123594,120315095,0.020750111,0.742315895
TCOF1/chr5:149737201-149779871,TCOF1,chr5,149737201,149779871,0.020764912,0.757095432
GPATCH3/chr1:27216978-27226962,GPATCH3,chr1,27216978,27226962,0.02096137,1.170309625
TBC1D9B/chr5:179289070-179334856,TBC1D9B,chr5,179289070,179334856,0.020980541,0.84499997
ETAA1/chr2:67624441-67637533,ETAA1,chr2,67624441,67637533,0.020995417,0.798218523
USP33/chr1:78161673-78225537,USP33,chr1,78161673,78225537,0.02102727,0.830161534
LOC387646/chr10:27534781-27541235,LOC387646,chr10,27534781,27541235,0.021084337,0.647036599
UBAP1/chr9:34179002-34252521,UBAP1,chr9,34179002,34252521,0.021107043,1.128761345
MRE11A/chr11:94150468-94227040,MRE11A,chr11,94150468,94227040,0.021119789,0.746468499
SGOL2/chr2:201390864-201448818,SGOL2,chr2,201390864,201448818,0.021166404,0.663495073
TMED1/chr19:10943113-10946983,TMED1,chr19,10943113,10946983,0.02118148,1.273144399
CTF1/chr16:30907927-30914881,CTF1,chr16,30907927,30914881,0.021230736,1.750673244
BOLA2/chr16:29464913-30205627,BOLA2,chr16,29464913,30205627,0.021278906,0.739683792
LRRCC1/chr8:86019322-86058314,LRRCC1,chr8,86019322,86058314,0.021278942,0.688657595
TMEM198B/chr12:56223391-56230030,TMEM198B,chr12,56223391,56230030,0.021329312,0.710349544
CDC45/chr22:19467413-19508135,CDC45,chr22,19467413,19508135,0.021427802,0.704729491
COMMD5/chr8:146075550-146078932,COMMD5,chr8,146075550,146078932,0.021565919,1.196341099
RAD51AP1/chr12:4647949-4669213,RAD51AP1,chr12,4647949,4669213,0.021602258,0.727238505
WDR41/chr5:76728068-76788332,WDR41,chr5,76728068,76788332,0.021612085,0.784049404
ARHGAP11B/chr15:30918878-30931013,ARHGAP11B,chr15,30918878,30931013,0.021614468,0.744077261
CCP110/chr16:19535178-19564728,CCP110,chr16,19535178,19564728,0.021639344,0.717474786
HAUS1/chr18:43684297-43708299,HAUS1,chr18,43684297,43708299,0.021716649,0.844327597
HAUS3/chr4:2230095-2243860,HAUS3,chr4,2230095,2243860,0.021741494,0.811396523
UNK/chr17:73780919-73821886,UNK,chr17,73780919,73821886,0.021749353,0.887311335
TMEM143/chr19:48835615-48867186,TMEM143,chr19,48835615,48867186,0.021871877,0.720243931
BANP/chr16:87985037-88110924,BANP,chr16,87985037,88110924,0.022023019,0.839585429
IPO9/chr1:201798287-201853422,IPO9,chr1,201798287,201853422,0.022050466,0.86567273
HMGN1/chr21:40714240-40721047,HMGN1,chr21,40714240,40721047,0.022084507,0.848810987
TIA1/chr2:70436575-70475779,TIA1,chr2,70436575,70475779,0.022205123,0.773937027
PPP6R3/chr11:68228185-68382801,PPP6R3,chr11,68228185,68382801,0.022240055,0.884117913
LOC340544/chrX:102942211-102947484,LOC340544,chrX,102942211,102947484,0.022294421,0.692733806
TIMELESS/chr12:56810156-56843200,TIMELESS,chr12,56810156,56843200,0.022323462,0.737809664
MEN1/chr11:64570985-64578766,MEN1,chr11,64570985,64578766,0.022340065,0.855717512
ING2/chr4:184426219-184432249,ING2,chr4,184426219,184432249,0.022352253,0.730917012
SETD4/chr21:37406838-37432819,SETD4,chr21,37406838,37432819,0.022356164,0.854270609
MAMDC4/chr9:139746818-139755251,MAMDC4,chr9,139746818,139755251,0.022428195,0.699035341
ADAM1/chr12:112336866-112339706,ADAM1,chr12,112336866,112339706,0.022429694,0.66912407
BOLA2B/chr16:29464913-30205627,BOLA2B,chr16,29464913,30205627,0.022468216,0.739683792
PIEZO1/chr16:88781745-88851372,PIEZO1,chr16,88781745,88851372,0.02247191,0.779277201
PIK3R6/chr17:8706054-8770994,PIK3R6,chr17,8706054,8770994,0.022606533,0.706516627
KAT6B/chr10:76586170-76792380,KAT6B,chr10,76586170,76792380,0.022714302,0.806906106
ANKRD32/chr5:93954390-94031573,ANKRD32,chr5,93954390,94031573,0.02273721,0.691814064
HJURP/chr2:234745485-234763212,HJURP,chr2,234745485,234763212,0.022756151,0.750652904
HSP90AB2P/chr4:13335036-13339925,HSP90AB2P,chr4,13335036,13339925,0.022842927,0.779172428
LRRC14/chr8:145743362-145750559,LRRC14,chr8,145743362,145750559,0.022906884,0.861390784
LIN54/chr4:83845755-83934040,LIN54,chr4,83845755,83934040,0.022977023,0.75963144
FOXRED1/chr11:126138934-126148027,FOXRED1,chr11,126138934,126148027,0.023128777,0.774630725
VPS8/chr3:184529930-184770402,VPS8,chr3,184529930,184770402,0.023184453,0.834701323
USP28/chr11:113668596-113746256,USP28,chr11,113668596,113746256,0.023226688,0.743198533
PPP6R1/chr19:55741146-55770038,PPP6R1,chr19,55741146,55770038,0.023287828,0.850668328
OSBPL7/chr17:45884732-45899147,OSBPL7,chr17,45884732,45899147,0.023309485,0.783974113
RANBP1/chr22:20105023-20114704,RANBP1,chr22,20105023,20114704,0.0233523,0.792833832
MSH4/chr1:76262555-76378923,MSH4,chr1,76262555,76378923,0.023385301,0.502722708
UBE2O/chr17:74385612-74449288,UBE2O,chr17,74385612,74449288,0.023441163,0.865836849
RBM25/chr14:73525220-73588076,RBM25,chr14,73525220,73588076,0.023441218,0.820092103
CLASP1/chr2:122095351-122407052,CLASP1,chr2,122095351,122407052,0.023490695,0.815323299
LOC100527964/chr1:180238797-180243816,LOC100527964,chr1,180238797,180243816,0.023530817,0.644429787
NAP1L4/chr11:2965659-3013607,NAP1L4,chr11,2965659,3013607,0.023648649,0.899776227
COPS7B/chr2:232651161-232673434,COPS7B,chr2,232651161,232673434,0.023770683,0.903700548
MARK4/chr19:45754515-45808541,MARK4,chr19,45754515,45808541,0.023786982,1.215024564
PTPRA/chr20:2844840-3019315,PTPRA,chr20,2844840,3019315,0.023864959,0.882436435
ATAD5/chr17:29159022-29222295,ATAD5,chr17,29159022,29222295,0.023876077,0.696108671
C20orf4/chr20:34824446-34844853,C20orf4,chr20,34824446,34844853,0.023930814,1.112022183
CFB/chr6:3199308-31919861,CFB,chr6,3199308,31919861,0.023972603,1.371619185
MCM3/chr6:52128811-52149582,MCM3,chr6,52128811,52149582,0.024078979,0.753573176
KLHDC10/chr7:129710348-129775560,KLHDC10,chr7,129710348,129775560,0.024082569,0.869968139
TBX6/chr16:30097114-30103205,TBX6,chr16,30097114,30103205,0.024264706,0.423622725
MC2R/chr18:13882042-13915535,MC2R,chr18,13882042,13915535,0.024277457,0.705900922
SRRM2/chr16:2802329-2821413,SRRM2,chr16,2802329,2821413,0.024281765,0.817766256
SLTM/chr15:59171243-59225852,SLTM,chr15,59171243,59225852,0.024390244,0.833820501
ZNF37A/chr10:38383263-38412278,ZNF37A,chr10,38383263,38412278,0.024399082,0.761165714
IPO4/chr14:24649424-24658124,IPO4,chr14,24649424,24658124,0.024545901,0.758682262
EFCAB7/chr1:63989012-64038364,EFCAB7,chr1,63989012,64038364,0.024662577,0.81913534
SREK1/chr5:65440084-65476714,SREK1,chr5,65440084,65476714,0.024676851,0.84905593
FAM208A/chr3:56654159-56717135,FAM208A,chr3,56654159,56717135,0.024718284,0.757717698
UHRF1/chr19:4909509-4962165,UHRF1,chr19,4909509,4962165,0.024781516,0.691125072
TSSK3/chr1:32827861-32829924,TSSK3,chr1,32827861,32829924,0.024793388,1.780879763
PTCD3/chr2:86333304-86369280,PTCD3,chr2,86333304,86369280,0.024972986,0.824189157
TMEM9/chr1:201103899-201123632,TMEM9,chr1,201103899,201123632,0.024996891,1.335047924
CCDC91/chr12:28410132-28703099,CCDC91,chr12,28410132,28703099,0.025029797,0.856005003
PPIP5K2/chr5:102465256-102538909,PPIP5K2,chr5,102465256,102538909,0.025087868,0.766193926
TRIP13/chr5:892968-918164,TRIP13,chr5,892968,918164,0.025114155,0.712689328
QPRT/chr16:29690440-29709314,QPRT,chr16,29690440,29709314,0.025194036,0.552344305
DDX42/chr17:61851566-61896677,DDX42,chr17,61851566,61896677,0.025238498,0.901454214
SMN1/chr5:69345349-70248838,SMN1,chr5,69345349,70248838,0.025297981,0.737943654
C5orf43/chr5:60453535-60458302,C5orf43,chr5,60453535,60458302,0.02529893,0.86398443
SCRN3/chr2:175260456-175294303,SCRN3,chr2,175260456,175294303,0.025373866,0.813530353
FASTKD1/chr2:170386262-170430424,FASTKD1,chr2,170386262,170430424,0.025503188,0.790098079
MKI67/chr10:129894924-129924468,MKI67,chr10,129894924,129924468,0.025546094,0.761486121
ASPM/chr1:197053256-197115824,ASPM,chr1,197053256,197115824,0.025618375,0.704134361
CBX5/chr12:54624730-54673915,CBX5,chr12,54624730,54673915,0.025669782,0.809638668
IFRD2/chr3:50325162-50330026,IFRD2,chr3,50325162,50330026,0.025703794,0.826695735
KAT2A/chr17:40265128-40273382,KAT2A,chr17,40265128,40273382,0.025751073,0.755679931
SZT2/chr1:43855555-43919918,SZT2,chr1,43855555,43919918,0.025777668,0.844233143
SPTSSA/chr14:34902143-34931468,SPTSSA,chr14,34902143,34931468,0.025779524,0.809380126
TAF1A/chr1:222731243-222763275,TAF1A,chr1,222731243,222763275,0.025781542,0.79086833
DTL/chr1:212208918-212278187,DTL,chr1,212208918,212278187,0.025915209,0.709430456
FUBP3/chr9:133454959-133513739,FUBP3,chr9,133454959,133513739,0.026061897,0.820228804
PHF6/chrX:133507341-133562822,PHF6,chrX,133507341,133562822,0.026072649,0.74486956
AMMECR1/chrX:109437413-109683461,AMMECR1,chrX,109437413,109683461,0.026088063,0.706321843
NBEAL2/chr3:47021172-47051194,NBEAL2,chr3,47021172,47051194,0.026096682,0.756329186
BDH1/chr3:197236653-197300194,BDH1,chr3,197236653,197300194,0.026119403,0.791819014
MSH3/chr5:79950293-80172634,MSH3,chr5,79950293,80172634,0.026412233,0.832933161
LOC646214/chr15:21932513-21940739,LOC646214,chr15,21932513,21940739,0.026552029,0.777504658
TAGLN2/chr1:159887902-159895284,TAGLN2,chr1,159887902,159895284,0.026556659,1.191532061
TARDBP/chr1:11072678-11085549,TARDBP,chr1,11072678,11085549,0.026649746,0.855843962
CPT1B/chr22:51007289-51017096,CPT1B,chr22,51007289,51017096,0.026663215,0.657404869
MLL2/chr12:49412757-49449107,MLL2,chr12,49412757,49449107,0.026710098,0.831949021
MLL/chr11:118307204-118397539,MLL,chr11,118307204,118397539,0.026760197,0.775167707
RNF123/chr3:49726949-49758962,RNF123,chr3,49726949,49758962,0.026806229,0.861908906
LRTOMT/chr11:71791376-71821828,LRTOMT,chr11,71791376,71821828,0.02688172,0.83512438
LOC338739/chr11:33183202-33213142,LOC338739,chr11,33183202,33213142,0.026957638,0.7621048
LRRC45/chr17:79981279-79989027,LRRC45,chr17,79981279,79989027,0.026968024,0.751452865
SLC9A3R2/chr16:2076868-2089027,SLC9A3R2,chr16,2076868,2089027,0.027069853,2.297108258
POLG2/chr17:62473901-62493184,POLG2,chr17,62473901,62493184,0.027166882,0.806896935
CENPK/chr5:64813592-64858995,CENPK,chr5,64813592,64858995,0.027212647,0.698730929
LOC100170939/chr5:69423288-69521622,LOC100170939,chr5,69423288,69521622,0.027281155,0.674920803
LIMS1/chr2:109150810-109303702,LIMS1,chr2,109150810,109303702,0.027490509,0.746761719
HEATR1/chr1:236712304-236767841,HEATR1,chr1,236712304,236767841,0.027519329,0.809901238
TUG1/chr22:31365633-31375380,TUG1,chr22,31365633,31375380,0.027556969,0.81561171
FKBP15/chr9:115927799-115983641,FKBP15,chr9,115927799,115983641,0.027608983,0.798427249
ZNF280C/chrX:129336672-129402922,ZNF280C,chrX,129336672,129402922,0.027667984,0.814298178
RN45S/chrUn_gl000220:105423-118780,RN45S,chrUn_gl000220,105423,118780,0.027704485,1.886745271
CHD9/chr16:53088944-53361414,CHD9,chr16,53088944,53361414,0.027737419,0.822293608
POLA2/chr11:65029431-65065088,POLA2,chr11,65029431,65065088,0.027777778,0.770318313
ATAD2/chr8:124332090-124408705,ATAD2,chr8,124332090,124408705,0.027830062,0.721811527
ZCCHC8/chr12:122956145-122985543,ZCCHC8,chr12,122956145,122985543,0.027920151,0.858861344
LOC100507547/chr6:3381592-32122142,LOC100507547,chr6,3381592,32122142,0.02796644,1.721455478
PGBD1/chr6:28249313-28270326,PGBD1,chr6,28249313,28270326,0.028201322,1.363403458
ADD3/chr10:111765725-111895323,ADD3,chr10,111765725,111895323,0.028203062,0.682654849
C15orf41/chr15:36871811-37102449,C15orf41,chr15,36871811,37102449,0.028443722,0.753668207
STXBP4/chr17:53046125-53241449,STXBP4,chr17,53046125,53241449,0.028480575,0.739448855
MCM10/chr10:13203553-13253104,MCM10,chr10,13203553,13253104,0.028552005,0.698765922
ELAVL1/chr19:8023456-8070529,ELAVL1,chr19,8023456,8070529,0.028571429,0.833113293
CHRM4/chr11:46406639-46408107,CHRM4,chr11,46406639,46408107,0.028649386,1.83039927
C16orf54/chr16:29753785-29757340,C16orf54,chr16,29753785,29757340,0.028754886,0.453954246
IPO8/chr12:30781914-30848929,IPO8,chr12,30781914,30848929,0.028901734,0.826007672
HCG25/chr6:4449531-33222667,HCG25,chr6,4449531,33222667,0.02892562,0.662091064
DIP2A/chr21:47878861-47989926,DIP2A,chr21,47878861,47989926,0.02901354,0.727726454
SCFD2/chr4:53739150-54232242,SCFD2,chr4,53739150,54232242,0.029370629,0.792547479
PPP1R12B/chr1:202317829-202557697,PPP1R12B,chr1,202317829,202557697,0.029390681,0.761414559
SETD5/chr3:9439402-9519838,SETD5,chr3,9439402,9519838,0.029415885,0.816219652
ATP5S/chr14:50779046-50792946,ATP5S,chr14,50779046,50792946,0.029512404,1.197496784
MND1/chr4:154265800-154336247,MND1,chr4,154265800,154336247,0.029535865,0.728740515
RALGAPA1/chr14:36007557-36278432,RALGAPA1,chr14,36007557,36278432,0.029581631,0.821442847
CENPI/chrX:100354797-100417978,CENPI,chrX,100354797,100417978,0.029602481,0.667671957
