geneID.day11,log2FC.day11,FDR.day11,geneID.day31,log2FC.day31,FDR.day31
HOXD1,-1.55,9.70E-04,5S_rRNA.83,-2.49,1.22E-05
PAH,-1.87,9.71E-04,DCLK3,2.38,1.23E-05
CTC-498M16.2,1.44,9.71E-04,GOLGA7B,1.83,1.24E-05
TGFB1,-1.04,9.71E-04,SLC22A3,-2.08,1.24E-05
AC007563.5,-0.94,9.91E-04,CTHRC1,-1.77,1.26E-05
PLA2G2A,-1.92,9.95E-04,RASSF6,-2.46,1.27E-05
DIO3,1.01,9.95E-04,PAK7,1.59,1.28E-05
RP11-619L12.4,1.98,9.95E-04,OVOL1,-2.09,1.28E-05
ELAVL4,0.94,9.98E-04,FAM3B,-2.80,1.30E-05
MAP2,1.11,1.02E-03,AC004455.1,2.48,1.33E-05
FAM198B,-0.93,1.02E-03,C15orf48,-2.60,1.35E-05
PTGER3,1.69,1.05E-03,BEND4,1.78,1.38E-05
RASSF2,1.03,1.07E-03,STEAP4,-2.47,1.39E-05
C20orf85,-1.86,1.07E-03,TMEM196,1.96,1.39E-05
PNMA2,0.89,1.07E-03,TMPRSS4,-2.54,1.49E-05
CDHR4,-1.84,1.09E-03,FAIM2,1.51,1.49E-05
BHLHE22,1.77,1.09E-03,TMEM132B,1.36,1.52E-05
SNAP91,1.08,1.14E-03,TTBK1,1.42,1.55E-05
C6orf176,-0.87,1.18E-03,AL133367.2,-2.50,1.62E-05
TNNT3,-1.73,1.19E-03,CD9,-1.45,1.68E-05
MAF,0.98,1.19E-03,FMOD,-1.43,1.69E-05
HOXB4,-1.76,1.21E-03,IGSF21,1.40,1.77E-05
AC026703.1,-1.08,1.21E-03,NKAIN2,1.87,1.79E-05
ZAP70,-1.77,1.23E-03,DLL1,1.47,1.79E-05
HOXC9,-1.66,1.24E-03,AGAP2,1.40,1.79E-05
AC010931.2,1.73,1.25E-03,ACCN2,1.35,1.81E-05
S100A10,-0.89,1.28E-03,RP11-125O18.1,2.41,1.81E-05
THBD,-1.68,1.31E-03,KIRREL3,1.36,1.81E-05
RP11-875H7.5,-2.04,1.31E-03,VAMP8,-1.99,1.84E-05
FERMT1,-1.77,1.36E-03,RP11-733O18.1,2.60,1.85E-05
CLDN4,-1.20,1.37E-03,FSTL5,1.38,1.86E-05
VEPH1,0.98,1.37E-03,NPAS3,1.44,1.92E-05
EEF1A2,0.86,1.39E-03,RP11-120I21.2,-1.45,2.00E-05
HOTAIRM1,-1.34,1.39E-03,B3GNT7,-1.74,2.05E-05
SFRP1,1.02,1.39E-03,SPP1,-1.69,2.05E-05
PCSK1N,1.07,1.40E-03,AL589765.1,1.45,2.14E-05
RAB25,-1.77,1.43E-03,RIIAD1,1.45,2.14E-05
LRRTM4,-0.94,1.47E-03,TREM1,-2.60,2.20E-05
GLI1,-1.90,1.50E-03,GRIN2B,2.12,2.28E-05
ARNT2,0.86,1.50E-03,LLGL2,-1.39,2.28E-05
TGFBI,-0.94,1.50E-03,UNCX,1.94,2.34E-05
AC004383.4,-1.64,1.50E-03,RP11-695J4.2,-2.70,2.35E-05
GATA2,-1.40,1.51E-03,ARHGAP27,-1.59,2.35E-05
NTM,0.92,1.51E-03,MEGF10,1.40,2.35E-05
KIAA0408,0.87,1.51E-03,ZG16,-3.46,2.43E-05
CCBE1,-1.29,1.53E-03,RGS8,2.71,2.45E-05
DOK4,-0.89,1.55E-03,REN,-1.79,2.45E-05
SCN2A,1.69,1.63E-03,NRGN,2.01,2.45E-05
MSX2,-0.90,1.64E-03,TMEM176A,-1.63,2.50E-05
AC064853.4,-1.82,1.66E-03,CDH3,-1.39,2.59E-05
TOX3,0.87,1.69E-03,CAMK2B,1.51,2.60E-05
CLDN7,-1.43,1.69E-03,TFPI,-1.41,2.61E-05
GPR141,-1.98,1.75E-03,TGM2,-1.47,2.72E-05
MACC1,-1.81,1.75E-03,TMEM82,-2.12,2.95E-05
SYT1,0.84,1.75E-03,RP3-525N10.2,2.34,2.97E-05
CTD-3074O7.2,-1.64,1.81E-03,AMICA1,-2.77,2.99E-05
RORB,1.66,1.82E-03,ZNF536,1.42,2.99E-05
RP1-170O19.16,-1.76,1.82E-03,AGTR2,-2.42,3.01E-05
WNT7A,1.67,1.86E-03,RP11-627G23.1,1.64,3.24E-05
IFLTD1,-1.69,1.87E-03,PLAC8,-2.42,3.25E-05
IL18R1,-1.75,1.88E-03,ASGR2,-2.62,3.32E-05
HOXA1,-1.80,1.88E-03,VSTM2B,1.99,3.34E-05
PLAC1,-1.61,1.88E-03,SHISA7,1.47,3.34E-05
C7orf57,-1.67,1.91E-03,FAM49A,1.36,3.34E-05
B3GAT1,0.84,1.92E-03,SDC4,-1.41,3.36E-05
THNSL2,-1.65,1.95E-03,CDH20,1.52,3.49E-05
TMSL3,0.86,1.96E-03,MIR9-2,2.40,3.50E-05
APOC1,-1.78,1.99E-03,DTX3L,-1.89,3.60E-05
KCNJ16,-1.73,2.01E-03,CTC-498M16.2,2.00,3.65E-05
RP1-170O19.17,-2.00,2.05E-03,SCG5,1.32,3.68E-05
CHRM2,-1.77,2.11E-03,SPTBN4,1.35,3.69E-05
HOXB5,-1.83,2.13E-03,ADAM18,-2.31,3.69E-05
TSPAN7,0.96,2.15E-03,KCNA6,1.44,3.71E-05
PAPPA2,-1.22,2.16E-03,CP,-1.29,3.73E-05
PRSS8,-1.30,2.16E-03,AC000111.1,-2.96,3.73E-05
SYTL5,-1.74,2.17E-03,CCDC64B,-2.44,3.75E-05
RP13-530H6.2,-1.12,2.17E-03,SOX21,1.89,3.80E-05
RP11-477B16.5,1.27,2.20E-03,RP11-85O21.4,2.07,3.90E-05
AC005062.2,-1.61,2.21E-03,CLIC5,-2.31,4.04E-05
HOXA3,-1.49,2.22E-03,GALNT8,1.37,4.10E-05
AC005009.2,1.63,2.22E-03,AP006216.12,-1.43,4.19E-05
SLC32A1,1.82,2.24E-03,TNNT2,-2.54,4.28E-05
HOXA5,-1.62,2.24E-03,HTRA3,-1.31,4.31E-05
CDH4,0.83,2.24E-03,AC003991.3,-2.33,4.34E-05
CUX2,0.85,2.26E-03,BAI3,1.35,4.37E-05
HPN,-1.46,2.37E-03,SLC35D2,-1.67,4.40E-05
SCN3B,1.02,2.38E-03,SOX5,1.28,4.42E-05
AC021677.2,1.44,2.38E-03,FAM83F,-2.33,4.55E-05
ANKRD13B,0.86,2.38E-03,SYT1,1.46,4.55E-05
PRSS12,-1.20,2.38E-03,PSD2,1.40,4.55E-05
WNT4,0.98,2.39E-03,TMEM35,1.39,4.75E-05
PTGR1,-0.83,2.56E-03,AC011474.1,2.22,4.83E-05
HES5,1.00,2.65E-03,DSG3,-2.35,4.83E-05
XYLT1,0.86,2.71E-03,SHH,-1.93,4.93E-05
CEBPA,-1.38,2.72E-03,ATP8A2,1.37,4.96E-05
SORBS2,0.82,2.72E-03,SPHKAP,2.50,4.96E-05
VAT1L,0.86,2.72E-03,PKIA,1.47,5.00E-05
AC010729.1,0.98,2.74E-03,UGT2A3,-2.59,5.06E-05
AC093819.1,1.74,2.74E-03,AC004906.3,-2.23,5.11E-05
TTBK1,0.89,2.76E-03,ELAVL3,1.60,5.14E-05
HOXD3,-1.39,2.81E-03,LRG1,-2.36,5.14E-05
ETV1,0.81,2.90E-03,CTA-134P22.2,1.35,5.15E-05
PIK3R3,0.82,2.94E-03,SLC7A2,-1.38,5.15E-05
AC092143.1,0.87,2.94E-03,ANKRD13B,1.29,5.16E-05
HPCAL4,1.43,2.98E-03,KCNJ9,2.08,5.27E-05
RP11-114H21.2,1.54,3.00E-03,GAD1,1.49,5.29E-05
RARB,-1.14,3.04E-03,GPRIN1,1.33,5.78E-05
GRHL2,-1.59,3.04E-03,STMN4,1.38,5.84E-05
SLC19A3,-1.64,3.08E-03,ALDH1A1,-1.39,5.84E-05
ESR2,0.91,3.14E-03,LCN15,-2.70,5.92E-05
RP11-433J22.2,-1.43,3.14E-03,RP11-98D18.1,1.41,5.92E-05
RP4-710M3.2,1.47,3.14E-03,B3GAT2,1.33,5.92E-05
PDYN,1.67,3.14E-03,ETS2,-1.30,5.96E-05
LPL,-1.14,3.14E-03,APOC3,-3.52,5.96E-05
RP11-316C12.2,1.60,3.15E-03,TCN1,-2.39,6.08E-05
WDR72,-1.43,3.19E-03,TMTC1,1.26,6.18E-05
SLC24A2,-1.51,3.20E-03,DNER,1.55,6.23E-05
DCT,0.90,3.29E-03,RP11-710F7.2,-2.24,6.46E-05
TKTL1,1.63,3.29E-03,HOXC6,-1.57,6.58E-05
TRIM38,-1.62,3.42E-03,NPPB,-2.23,6.60E-05
TJP2,-0.90,3.45E-03,MMP17,1.29,6.66E-05
AP006216.12,-0.82,3.45E-03,CNGA3,1.72,6.68E-05
RP4-684O24.5,1.64,3.46E-03,MYT1,1.35,6.70E-05
AC116562.3,-1.58,3.48E-03,GJA5,-2.18,6.72E-05
AGAP2,0.85,3.48E-03,RP11-530I17.1,-1.29,6.80E-05
CYSLTR2,-1.66,3.49E-03,RP11-1220K2.2,-2.42,6.80E-05
CR1L,-2.02,3.56E-03,MFAP4,-1.36,7.00E-05
EMX2,0.91,3.56E-03,GRID1,1.74,7.32E-05
NRCAM,0.80,3.56E-03,FGL1,-2.25,7.46E-05
VASH2,-0.86,3.57E-03,MT1E,-2.74,7.47E-05
RP11-728F11.4,0.80,3.57E-03,AC104650.1,-1.87,7.79E-05
RNF165,0.82,3.59E-03,OAS3,-2.32,7.81E-05
RP11-678P16.1,1.65,3.61E-03,ARX,1.49,7.86E-05
TMEM35,1.13,3.61E-03,RP11-657O9.1,2.23,7.87E-05
ALS2CR10,-1.44,3.62E-03,RP1-151B14.6,-1.35,7.96E-05
GPRC5C,-0.90,3.64E-03,EPAS1,-1.56,8.15E-05
CTD-2536K9.1,-1.74,3.64E-03,TGFB1,-1.25,8.26E-05
CRB1,1.12,3.68E-03,THNSL2,-2.05,8.30E-05
C12orf68,0.96,3.68E-03,PHGR1,-2.92,8.37E-05
TNFAIP3,-1.08,3.72E-03,MARVELD2,-1.63,8.37E-05
ZSCAN10,-1.74,3.79E-03,MMP28,-1.80,8.42E-05
SLC18A1,-1.46,3.83E-03,TRIM55,-2.79,8.42E-05
SLC40A1,-1.31,3.87E-03,TOX2,1.67,8.63E-05
COL6A2,-1.00,3.89E-03,BHLHE40,-1.31,8.71E-05
PCDH10,-0.83,3.90E-03,DLGAP3,1.52,8.73E-05
AC004080.12,-1.70,3.95E-03,PNKD,-1.32,8.79E-05
RCSD1,-1.75,3.95E-03,RP11-35N6.1,1.41,8.79E-05
SCTR,-1.62,3.95E-03,GABRA5,2.00,8.83E-05
C9orf135,-1.62,3.95E-03,ELF1,-1.24,8.92E-05
CDC20B,-0.85,3.99E-03,JPH2,-2.22,8.92E-05
ST8SIA2,0.81,4.01E-03,NR1H4,-2.93,9.10E-05
GNAO1,0.82,4.06E-03,RP11-459F3.6,1.96,9.15E-05
NECAP1,-0.92,4.11E-03,SEZ6L,1.44,9.72E-05
RNASET2,-0.92,4.11E-03,TMEM92,-2.27,9.79E-05
ALS2CL,-1.25,4.12E-03,SLC30A2,-2.23,9.83E-05
RP11-90L20.3,0.98,4.14E-03,RP11-707A18.1,2.22,9.96E-05
C6orf174,0.82,4.14E-03,CCDC69,-1.64,1.00E-04
KIF5A,0.81,4.19E-03,MPPED2,1.26,1.00E-04
MKRN3,1.07,4.19E-03,FAT3,1.28,1.01E-04
RP3-399L15.3,-0.82,4.19E-03,SCN3B,1.40,1.01E-04
RP3-403A15.5,0.82,4.19E-03,RGS7BP,1.98,1.01E-04
NRXN2,0.81,4.24E-03,CGN,-1.24,1.03E-04
BACH2,0.79,4.24E-03,PLA2G4F,-2.23,1.03E-04
RP11-12M5.3,-1.46,4.34E-03,RP11-234O6.2,1.42,1.07E-04
LPAR6,-1.26,4.40E-03,GP1BB,1.24,1.08E-04
TFCP2L1,-1.58,4.40E-03,AC012531.1,-1.44,1.08E-04
SPINK5,-1.36,4.44E-03,RUNDC3A,1.30,1.10E-04
BEX1,0.82,4.44E-03,AC000111.6,-2.80,1.10E-04
RP11-619L12.3,1.70,4.44E-03,AGR3,-1.94,1.10E-04
SYP,0.88,4.44E-03,CMYA5,-2.00,1.12E-04
PTPRO,1.16,4.51E-03,GNAO1,1.41,1.13E-04
FAM123A,1.11,4.54E-03,CELF3,1.43,1.14E-04
AMH,0.85,4.54E-03,TMEM125,-2.25,1.16E-04
TEKT4,-1.62,4.56E-03,DPYSL5,1.50,1.18E-04
BAI3,1.08,4.57E-03,PKP2,-1.33,1.20E-04
IGF1,-1.67,4.59E-03,CRB1,1.42,1.21E-04
AC005394.1,-1.69,4.60E-03,C19orf33,-2.18,1.21E-04
DMKN,-1.05,4.60E-03,AC007271.3,-1.29,1.21E-04
RP11-681L8.1,-1.58,4.60E-03,DSG2,-1.42,1.21E-04
AC100791.3,1.32,4.61E-03,HEPACAM2,-2.12,1.22E-04
NAV1,0.97,4.61E-03,ENPEP,-1.68,1.23E-04
ETS1,-0.77,4.71E-03,ITGA2,-1.25,1.23E-04
PLVAP,-1.62,4.85E-03,IL1R1,-1.28,1.23E-04
SYNE2,0.93,4.86E-03,PTPRO,1.40,1.24E-04
NPR3,-1.06,4.93E-03,CASP10,-2.12,1.27E-04
RP11-32K4.2,0.81,4.98E-03,CTD-3107M8.4,-1.62,1.28E-04
RP11-766N7.4,1.48,5.00E-03,DNAJC5G,2.29,1.30E-04
KLF2,-1.71,5.04E-03,VWA5B2,1.75,1.32E-04
RAB8B,0.79,5.07E-03,CTC-358I24.1,1.22,1.32E-04
SH3D21,-0.81,5.15E-03,SLITRK1,1.75,1.32E-04
DCDC2,-1.57,5.16E-03,PTPRN2,1.26,1.32E-04
ID4,0.84,5.21E-03,VSTM2A,2.32,1.32E-04
CBLC,-1.96,5.25E-03,HOXD10,-1.93,1.36E-04
SCN1A,1.40,5.25E-03,CADM3,1.37,1.40E-04
KCNQ3,0.97,5.25E-03,STAC2,1.67,1.41E-04
FAM190A,0.79,5.27E-03,AC005062.2,-1.79,1.43E-04
TMEM154,-1.50,5.36E-03,SKAP2,-1.22,1.47E-04
VTCN1,-1.76,5.42E-03,CELF2,1.35,1.50E-04
RP11-657K20.2,1.40,5.52E-03,C2orf80,2.50,1.51E-04
HHEX,-1.47,5.61E-03,MIR483,-1.60,1.56E-04
FAM113B,-1.61,5.69E-03,BCL11A,1.23,1.60E-04
THSD4,0.90,5.69E-03,RBM47,-1.28,1.60E-04
AC007271.3,-1.60,5.69E-03,CTD-2316B1.1,2.19,1.65E-04
PAK7,1.21,5.69E-03,LEF1,1.28,1.69E-04
SEMA6A,-0.87,5.69E-03,AC132217.4,-1.56,1.69E-04
FAM131B,0.78,5.69E-03,C1orf95,1.42,1.70E-04
EVX1,-1.65,5.87E-03,RP11-889I17.1,-1.57,1.71E-04
RP11-46C20.1,-0.80,5.92E-03,C1orf187,1.37,1.73E-04
ENPP1,-1.23,5.94E-03,BACH2,1.26,1.75E-04
MAGEB17,-2.09,5.94E-03,ABP1,-2.35,1.75E-04
COL19A1,-1.43,6.24E-03,PITX2,-1.55,1.76E-04
RP11-268F1.2,-1.64,6.29E-03,RAB3A,1.27,1.78E-04
CELF2,0.78,6.31E-03,SOX2OT,1.38,1.78E-04
IRX3,-1.10,6.40E-03,PARP14,-1.37,1.83E-04
GJA5,-1.54,6.48E-03,HSPB8,-1.31,1.84E-04
RAC2,-1.62,6.48E-03,HHLA2,-2.39,1.87E-04
SOX7,-1.59,6.48E-03,TMOD2,1.29,1.91E-04
AC007879.1,-1.56,6.67E-03,LIPH,-1.70,1.93E-04
TRIM24,0.85,6.67E-03,CTC-338M12.1,2.01,1.93E-04
NNAT,-0.91,6.72E-03,ATF3,-1.26,1.94E-04
PERP,-0.84,6.72E-03,SRRM4,1.25,1.95E-04
ELAVL2,0.81,6.73E-03,RP11-351J23.1,2.18,1.96E-04
TNFRSF1B,-1.59,6.76E-03,RFX6,-2.30,1.96E-04
AC091078.2,1.03,6.78E-03,SLIT1,1.58,2.06E-04
GATA5,-1.47,6.87E-03,CELF5,1.27,2.07E-04
ZNF90,-0.84,7.14E-03,ETV1,1.22,2.07E-04
SLC39A2,-1.70,7.19E-03,CASP4,-2.01,2.09E-04
BHLHE40,-1.07,7.20E-03,CTD-3212A4.1,2.11,2.10E-04
GGT5,-1.44,7.21E-03,BIRC3,-2.10,2.11E-04
RP3-468K18.5,-0.77,7.39E-03,S100A10,-1.28,2.12E-04
SCNN1A,-1.25,7.42E-03,DUSP5,-1.55,2.16E-04
DCLK2,0.80,7.49E-03,B3GNT3,-2.26,2.18E-04
DSC2,-0.76,7.56E-03,FRY,1.22,2.20E-04
GSTT1,-1.55,7.58E-03,CIDEC,-3.12,2.20E-04
AC005330.1,1.45,7.62E-03,AL139316.1,-1.36,2.22E-04
PIM2,-1.11,7.63E-03,RP11-678P16.1,2.15,2.22E-04
PMEL,-0.85,7.75E-03,WNT6,-2.15,2.22E-04
TUBA1A,0.93,7.77E-03,PAX6,1.29,2.23E-04
RP11-21L19.1,-1.05,7.78E-03,EML6,1.44,2.23E-04
BRSK2,0.75,7.82E-03,SVEP1,-1.36,2.30E-04
RP11-427M20.1,-1.33,7.94E-03,REEP1,1.23,2.30E-04
OVOL1,-1.56,8.00E-03,MLC1,1.95,2.38E-04
IL1R1,-1.50,8.00E-03,KRT23,-2.27,2.41E-04
COL3A1,-1.05,8.00E-03,RP11-265B8.4,-2.09,2.41E-04
KIAA2022,1.27,8.00E-03,KDR,-1.30,2.44E-04
F2,-1.45,8.07E-03,RP11-558N14.1,1.26,2.47E-04
TRIM67,1.40,8.09E-03,TFF3,-2.18,2.48E-04
GNG3,1.06,8.09E-03,SLC4A8,1.19,2.50E-04
CTA-250D10.19,1.40,8.09E-03,IYD,-2.67,2.54E-04
RTN1,0.79,8.12E-03,AC103702.1,-2.05,2.63E-04
C2orf65,-1.46,8.13E-03,TSPAN7,1.21,2.67E-04
PHACTR2,-0.75,8.18E-03,ARAP2,-2.05,2.71E-04
FXYD6,0.77,8.22E-03,GPR141,-2.07,2.71E-04
SPATA18,-1.13,8.24E-03,RP1-63G5.5,1.20,2.82E-04
GRIA2,0.99,8.41E-03,C16orf45,1.19,2.89E-04
DAQB-335A13.8,-1.50,8.44E-03,C1orf172,-2.13,2.98E-04
ISM2,-1.28,8.48E-03,RP13-895J2.2,1.95,2.98E-04
GUSBP4,1.42,8.48E-03,GS1-18A18.1,2.36,2.98E-04
RP11-35N6.1,1.21,8.48E-03,AC064853.4,-2.05,3.00E-04
RP11-357H14.12,-0.93,8.49E-03,OLFM1,1.33,3.01E-04
HS6ST1,0.76,8.49E-03,FAM5B,1.51,3.03E-04
CELF4,0.90,8.52E-03,LRRTM3,1.85,3.14E-04
SOX2,0.80,8.52E-03,INHA,-1.27,3.16E-04
PRR15,-1.71,8.52E-03,SPINT2,-1.35,3.17E-04
TMOD2,0.77,8.56E-03,CSPG5,1.55,3.17E-04
ALPK3,-0.93,8.58E-03,UBE2QL1,1.37,3.17E-04
GPC4,0.79,8.60E-03,INHBA,-1.34,3.20E-04
INHBB,1.45,8.62E-03,RP4-781B1.2,1.20,3.21E-04
RP11-806K15.1,1.53,8.62E-03,GBP4,-2.08,3.21E-04
PPP1R3B,-0.86,8.72E-03,NMNAT2,1.28,3.24E-04
STMN2,0.87,8.86E-03,CLRN3,-2.43,3.26E-04
UPP1,-0.90,8.93E-03,PRKCG,1.20,3.26E-04
EFR3B,0.73,8.98E-03,AC005027.3,-1.33,3.26E-04
IRF6,-1.68,9.11E-03,C6orf132,-1.80,3.40E-04
Z83844.1,-0.89,9.18E-03,CTSE,-2.24,3.44E-04
RP11-550I24.2,1.18,9.18E-03,STOX1,1.40,3.44E-04
RP11-734I18.1,-1.56,9.18E-03,ADAMTS1,-1.28,3.44E-04
TRANK1,-1.11,9.25E-03,RCAN2,1.23,3.44E-04
RP5-963E22.4,1.37,9.29E-03,PPP1R16B,1.67,3.49E-04
RP11-54A4.2,-0.96,9.33E-03,CHMP4C,-2.03,3.52E-04
ASCL1,0.94,9.47E-03,FA2H,-2.22,3.54E-04
DPYSL4,0.75,9.65E-03,3-Mar,1.27,3.58E-04
FEZ1,0.73,9.91E-03,NPTXR,1.18,3.66E-04
EFNB1,0.73,9.91E-03,ARHGAP36,2.02,3.70E-04
FOXO1,-0.93,9.93E-03,PRDM13,2.03,3.73E-04
TRIM2,0.79,1.01E-02,AC011497.1,-1.19,3.76E-04
C13orf30,-1.54,1.01E-02,APOBEC3D,-1.28,3.78E-04
SEZ6L,0.74,1.01E-02,ABCG2,-2.10,3.78E-04
UGT3A1,-1.46,1.02E-02,HABP2,-2.22,3.82E-04
RP11-728F11.6,0.76,1.03E-02,UNC5A,1.40,3.86E-04
RP11-3B12.2,-1.65,1.04E-02,SLC2A3,-1.49,3.88E-04
DCN,-0.77,1.04E-02,HSPB7,-1.89,3.88E-04
AC087393.1,1.34,1.04E-02,DIRAS1,1.16,4.00E-04
STMN3,0.78,1.04E-02,IL1RAPL1,1.74,4.01E-04
KIAA1462,-0.90,1.08E-02,FAM131B,1.17,4.04E-04
WDR63,-1.06,1.08E-02,BSN,1.24,4.08E-04
PKD1L2,-1.35,1.10E-02,AC007319.1,-1.23,4.08E-04
NCAM1,0.83,1.10E-02,FAM46A,-1.15,4.20E-04
ARMC3,-0.90,1.10E-02,NOVA2,1.24,4.22E-04
RP5-1024C24.1,1.51,1.11E-02,IL18R1,-1.77,4.23E-04
RP11-565P22.6,1.01,1.13E-02,CUX2,1.19,4.35E-04
MCTP2,-1.55,1.14E-02,AC011944.1,2.04,4.37E-04
ADRA1B,1.50,1.15E-02,NPTX1,1.24,4.42E-04
ATG9B,-1.20,1.15E-02,STX1B,1.17,4.43E-04
1-Dec,-1.42,1.15E-02,AC007785.1,1.95,4.44E-04
AC010973.1,-1.20,1.15E-02,KIAA0408,1.23,4.46E-04
ART4,-1.37,1.16E-02,FAM198B,-1.17,4.48E-04
EFNB2,0.82,1.16E-02,MKRN3,1.59,4.50E-04
AC010082.1,1.47,1.16E-02,PIWIL4,-1.28,4.57E-04
INSM1,0.77,1.17E-02,ZMAT4,1.50,4.58E-04
LRRC63,-1.43,1.19E-02,CEBPA,-1.28,4.63E-04
PAM,0.78,1.19E-02,ST8SIA2,1.22,4.63E-04
RP11-624M8.1,-1.65,1.19E-02,NFASC,1.36,4.65E-04
GPR126,-0.78,1.19E-02,KIF21B,1.40,4.65E-04
AC093415.2,-0.82,1.19E-02,ANO9,-1.61,4.65E-04
LRRC32,-1.10,1.19E-02,CBLC,-1.93,4.83E-04
C1orf88,-1.02,1.23E-02,TMPRSS11E,-2.32,4.85E-04
CSF3R,-1.51,1.24E-02,LRRC16B,1.24,4.85E-04
RP11-174G6.1,-1.50,1.25E-02,PLCXD2,1.19,4.92E-04
MCOLN3,-1.58,1.26E-02,GABRA4,1.97,4.92E-04
MLPH,-1.47,1.26E-02,MAL2,-1.18,4.92E-04
CADM3,0.72,1.27E-02,CYP19A1,-1.96,4.93E-04
ST6GALNAC5,0.84,1.27E-02,ACTL6B,1.56,4.96E-04
LRRN1,0.76,1.27E-02,CACNA1B,1.25,5.06E-04
COL23A1,-0.81,1.29E-02,RP11-4K16.2,-1.18,5.12E-04
MRS2,-0.74,1.30E-02,SIGLEC1,1.98,5.14E-04
MAN2A1,-0.72,1.30E-02,CACNG8,1.12,5.27E-04
UNCX,1.03,1.31E-02,FEZF1,1.26,5.27E-04
HOXA4,-1.59,1.31E-02,NR3C1,-1.14,5.28E-04
AP001189.4,-1.11,1.31E-02,HOXB7,-1.22,5.33E-04
ABAT,0.76,1.32E-02,AC005009.2,1.91,5.34E-04
RP11-839D17.2,0.86,1.33E-02,SAT1,-1.26,5.35E-04
NOVA2,0.78,1.33E-02,SPATA13,1.14,5.35E-04
AC009495.4,-1.28,1.33E-02,PAX2,2.00,5.48E-04
ANXA3,-1.02,1.34E-02,C21orf81,-2.63,5.49E-04
RBPMS,-0.74,1.34E-02,NRCAM,1.24,5.49E-04
HES2,-1.56,1.36E-02,DENND2D,-1.83,5.70E-04
RP1-163G9.1,0.72,1.36E-02,ELFN2,1.15,5.71E-04
TOX2,1.06,1.37E-02,snoU13.46,-1.82,5.74E-04
ARX,0.73,1.38E-02,ITGB5,-1.20,5.74E-04
FOXA1,-1.45,1.38E-02,DNAJC15,-1.44,5.78E-04
GDF7,-0.94,1.38E-02,SLC16A5,-1.30,5.79E-04
ETV2,-1.53,1.39E-02,OCLN,-1.49,5.79E-04
COL6A1,-0.88,1.40E-02,RP11-30J20.1,2.11,5.81E-04
SLC15A4,1.06,1.42E-02,RP5-842K24.2,-1.15,5.91E-04
GPRIN1,0.83,1.42E-02,TUBB4,1.20,5.94E-04
AC020907.3,-1.42,1.43E-02,FABP7,1.18,6.03E-04
PLXNC1,0.76,1.43E-02,FRMD5,1.16,6.03E-04
FRY,0.85,1.43E-02,WNT7A,2.04,6.04E-04
SLC4A10,0.78,1.44E-02,RP3-434O14.8,-1.86,6.08E-04
CYB5R2,-1.28,1.44E-02,FAM70A,1.25,6.11E-04
VAX1,1.22,1.48E-02,RP3-468K18.5,-1.12,6.19E-04
AP001092.4,1.14,1.48E-02,RBPMS,-1.12,6.37E-04
PDLIM1,-0.88,1.49E-02,AC135352.2,1.14,6.49E-04
DCLK1,0.73,1.52E-02,NCAM1,1.44,6.57E-04
FAM118A,-0.72,1.53E-02,GPR139,2.03,6.57E-04
TM4SF1,-1.48,1.53E-02,RHCG,1.78,6.59E-04
C11orf9,-0.73,1.54E-02,CYP8B1,-2.19,6.62E-04
BSN,0.75,1.54E-02,RP11-677M14.2-001,1.92,6.70E-04
PMP22,-0.76,1.56E-02,PLIN2,-1.13,6.70E-04
TUBB3,0.84,1.58E-02,RASSF2,1.15,6.85E-04
LUM,-0.73,1.59E-02,FAM19A5,1.12,6.95E-04
RP11-18N21.2,-1.30,1.60E-02,PON3,-2.07,6.95E-04
DUSP4,0.70,1.61E-02,TTYH1,1.21,6.95E-04
SLCO2B1,-1.48,1.61E-02,LY6E,-1.21,7.07E-04
GNRH2,-1.39,1.62E-02,SOX17,-2.35,7.15E-04
AC011357.1,0.83,1.62E-02,RASGRP2,1.60,7.23E-04
HEY2,-1.17,1.63E-02,TRIM7,1.80,7.44E-04
TPD52,-0.74,1.64E-02,GPR128,-1.55,7.71E-04
B4GALNT1,1.09,1.64E-02,NEU1,-1.10,7.71E-04
TTYH1,0.74,1.64E-02,TMEM176B,-1.36,7.82E-04
PLBD1,-1.35,1.64E-02,SYTL1,-1.29,7.86E-04
RP11-68L18.1,-1.33,1.67E-02,COL12A1,-1.44,7.86E-04
TSPAN11,0.70,1.69E-02,RP11-178A10.1,-2.09,7.91E-04
NPC1L1,-1.25,1.70E-02,CNTN4,1.55,7.93E-04
C12orf53,0.74,1.70E-02,RIMS4,1.15,7.94E-04
PIM1,-0.93,1.70E-02,GNAZ,1.12,7.94E-04
MAP6,0.80,1.71E-02,CHRNA4,1.21,8.15E-04
GFRA1,0.70,1.72E-02,CAPG,-1.32,8.22E-04
JAM2,0.90,1.72E-02,C21orf105,-1.50,8.22E-04
AC073479.1,1.46,1.73E-02,CACNA1E,1.12,8.22E-04
TTC9B,1.44,1.73E-02,DOK5,1.09,8.24E-04
IGSF9,0.70,1.75E-02,GPR26,1.90,8.25E-04
MATN1,-1.31,1.75E-02,RP11-688I9.4,1.92,8.27E-04
TEKT1,-1.33,1.75E-02,PRKAR2B,1.14,8.29E-04
RP11-162G9.1,-1.17,1.76E-02,EFR3B,1.12,8.49E-04
ZNF483,-0.69,1.77E-02,NFKBIA,-1.21,8.53E-04
