Symbol,GeneName,ProbeName,RefSeq,FC,RP rank
PAG1,phosphoprotein associated with glycosphingolipid microdomains 1,A_32_P61684,NM_018440,1.23,377
ENC1,ectodermal-neural cortex (with BTB-like domain),A_23_P213424,NM_003633,0.79,378
PTPN13,"protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)",A_23_P18493,NM_080685,NA,379
PLEKHF2,"pleckstrin homology domain containing, family F (with FYVE domain) member 2",A_23_P20275,NM_024613,1.24,380
X57818,,A_24_P173566,b,0.79,381
BX956036,,A_32_P69333,b,0.78,382
LOC200030,hypothetical protein LOC200030,A_32_P83465,NM_183372,1.22,383
KCNMB1,"potassium large conductance calcium-activated channel, subfamily M, beta member 1",A_23_P19142,NM_004137,1.21,384
BEXL1,brain expressed X-linked-like 1,A_24_P40551,b,1.23,385
RBMS1,"RNA binding motif, single stranded interacting protein 1",A_23_P36496,NM_016836,0.79,386
EYA2,eyes absent homolog 2 (Drosophila),A_23_P319859,NM_172113,1.25,387
KIAA0415,KIAA0415 protein,A_23_P134637,b,0.78,388
RUNX1,runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene),A_24_P34155,b,NA,389
ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),A_23_P36753,NM_000690,0.78,390
TMEPAI,"transmembrane, prostate androgen induced RNA",A_24_P413126,NM_020182,1.24,391
ZNF239,zinc finger protein 239,A_23_P86731,NM_005674,1.21,392
ZNF462,zinc finger protein 462,A_23_P60499,NM_021224,0.80,393
TNFRSF8,"tumor necrosis factor receptor superfamily, member 8",A_23_P500614,NM_001243,1.23,394
ACTN3,"actinin, alpha 3",A_23_P138881,NM_001104,0.80,395
LARP6,"La ribonucleoprotein domain family, member 6",A_23_P117782,NM_018357,1.23,396
GMPR,guanosine monophosphate reductase,A_24_P277657,NM_006877,0.79,397
THC2269190,,A_32_P2883,hc,1.22,398
ENST00000328419,,A_24_P204374,ns,0.80,399
G1P2,"interferon, alpha-inducible protein (clone IFI-15K)",A_23_P819,NM_005101,0.79,400
ALPK1,alpha-kinase 1,A_23_P133133,NM_025144,1.22,401
CYP1B1,"cytochrome P450, family 1, subfamily B, polypeptide 1",A_23_P209625,NM_000104,1.23,402
IGKC,immunoglobulin kappa constant,A_32_P148122,b,0.79,403
NCF4,"neutrophil cytosolic factor 4, 40kDa",A_23_P109508,NM_000631,0.81,404
CR936830,,A_24_P161293,b,1.22,405
FLJ10980,hypothetical protein FLJ10980,A_24_P357576,NM_019600,0.80,406
MCTP1,multiple C2-domains with two transmembrane regions 1,A_24_P212481,NM_024717,0.79,407
CR603982,,A_32_P146635,b,1.23,408
AK027250,,A_24_P921897,b,0.77,409
ENST00000322032,,A_24_P169873,ns,0.74,410
PLAG1,pleiomorphic adenoma gene 1,A_23_P411723,NM_002655,1.23,411
ELL3,elongation factor RNA polymerase II-like 3,A_23_P3237,NM_025165,1.23,412
KIAA1450,KIAA1450 protein,A_23_P400580,b,0.77,413
HRASLS2,HRAS-like suppressor 2,A_24_P364263,NM_017878,1.22,414
WFDC2,WAP four-disulfide core domain 2,A_23_P218675,NM_080733,0.79,415
ENST00000319234,,A_23_P41476,ns,1.23,416
C1orf54,chromosome 1 open reading frame 54,A_23_P74778,NM_024579,1.20,417
IQCG,IQ motif containing G,A_23_P300070,NM_032263,1.23,418
ENST00000323595,,A_24_P384604,ns,0.83,419
MGC35033,hypothetical protein MGC35033,A_23_P405878,NM_152319,1.25,420
KCNMB2,"potassium large conductance calcium-activated channel, subfamily M, beta member 2",A_23_P158675,NM_181361,1.23,421
LRRC16,leucine rich repeat containing 16,A_23_P19369,NM_017640,NA,422
HIST1H1C,"histone 1, H1c",A_23_P122443,NM_005319,0.79,423
LOC283767,FLJ40198 protein,A_24_P50972,b,1.21,424
LRP4,low density lipoprotein receptor-related protein 4,A_24_P403561,NM_002334,1.24,425
GLUL,glutamate-ammonia ligase (glutamine synthase),A_24_P53976,NM_002065,1.23,426
AK025909,,A_24_P645914,b,0.80,427
ENST00000331696,,A_32_P148118,ns,0.83,428
AK125899,,A_32_P89352,b,0.77,429
HLA-DOA,"major histocompatibility complex, class II, DO alpha",A_32_P356316,NM_002119,1.22,430
APOC1,apolipoprotein C-I,A_24_P109214,NM_001645,1.22,431
CCT6B,"chaperonin containing TCP1, subunit 6B (zeta 2)",A_23_P4082,NM_006584,1.21,432
BX110985,,A_32_P132194,b,0.82,433
ARGBP2,Arg/Abl-interacting protein ArgBP2,A_23_P121795,NM_021069,0.80,434
ChGn,"chondroitin beta1,4 N-acetylgalactosaminyltransferase",A_23_P134835,NM_018371,NA,435
A_24_P413286,,A_24_P413286,0,0.80,436
CGREF1,cell growth regulator with EF-hand domain 1,A_23_P403445,NM_006569,1.20,437
A_24_P101072,,A_24_P101072,0,1.21,438
BX116367,,A_32_P15081,b,1.19,439
MT1B,metallothionein 1B (functional),A_23_P37983,NM_005947,0.79,440
RASSF6,Ras association (RalGDS/AF-6) domain family 6,A_23_P302404,NM_201431,NA,441
AK027294,,A_24_P372189,b,0.79,442
HIST1H2AD,"histone 1, H2ad",A_23_P428184,NM_021065,0.80,443
THC2435579,,A_24_P686247,hc,1.22,444
APPL,"adaptor protein containing pH domain, PTB domain and leucine zipper motif 1",A_23_P166663,NM_012096,1.21,445
ENST00000333579,,A_32_P159192,ns,0.82,446
TSPYL5,TSPY-like 5,A_23_P417951,NM_033512,1.22,447
A_23_P72252,,A_23_P72252,0,0.82,448
HRES1,HTLV-1 related endogenous sequence,A_24_P418176,NM_001007238,0.79,449
MYO6,myosin VI,A_24_P283225,NM_004999,0.77,450
ACADSB,"acyl-Coenzyme A dehydrogenase, short/branched chain",A_32_P31945,NM_001609,1.20,451
ENST00000283657,,A_32_P157927,ns,0.85,452
CDC42BPA,CDC42 binding protein kinase alpha (DMPK-like),A_23_P256190,NM_014826,0.77,453
NP102468,,A_24_P16004,hc,0.84,454
AF035035,,A_24_P93523,b,0.81,455
ADM,adrenomedullin,A_23_P127948,NM_001124,1.22,456
TSGA2,testis specific A2 homolog (mouse),A_23_P102950,NM_080860,1.19,457
DPP4,"dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)",A_24_P97104,NM_001935,0.79,458
SORT1,sortilin 1,A_24_P325520,NM_002959,0.80,459
LAX1,lymphocyte transmembrane adaptor 1,A_23_P438,NM_017773,0.79,460
PERP,"PERP, TP53 apoptosis effector",A_23_P214950,NM_022121,1.23,461
ENST00000307507,,A_32_P82189,ns,1.22,462
LOC124220,similar to common salivary protein 1,A_23_P118203,NM_145252,1.20,463
THC2437881,,A_24_P555510,hc,1.21,464
IL7R,interleukin 7 receptor,A_23_P404494,NM_002185,1.24,465
FCRL5,Fc receptor-like 5,A_23_P201211,NM_031281,0.76,466
LOC401233,similar to HIV TAT specific factor 1; cofactor required for Tat activation of HIV-1 transcription,A_32_P135890,NM_001013680,0.82,467
RAB31,"RAB31, member RAS oncogene family",A_23_P141688,NM_006868,1.23,468
AY998685,,A_23_P96191,b,0.85,469
AF038174,,A_24_P915196,b,1.21,470
TEP1,telomerase-associated protein 1,A_24_P201973,NM_007110,0.83,471
CSF1R,"colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog",A_23_P110791,NM_005211,1.21,472
IGKV1-5,immunoglobulin kappa variable 1-5,A_32_P722809,b,0.83,473
HIST1H4J,"histone 1, H4j",A_23_P30805,NM_021968,0.92,474
MHC2TA,MHC class II transactivator,A_32_P209960,NM_000246,1.21,475
ENST00000328043,,A_24_P135841,ns,0.80,476
HOOK1,hook homolog 1 (Drosophila),A_23_P114879,NM_015888,0.79,477
MAN2A1,"mannosidase, alpha, class 2A, member 1",A_23_P18931,NM_002372,0.80,478
ATP2A3,"ATPase, Ca++ transporting, ubiquitous",A_23_P207632,NM_174953,0.81,479
ATP8B2,"ATPase, Class I, type 8B, member 2",A_32_P185229,NM_020452,0.81,480
PRKCB1,"protein kinase C, beta 1",A_23_P206585,NM_002738,1.21,481
F13A1,"coagulation factor XIII, A1 polypeptide",A_32_P140139,NM_000129,0.78,482
ID2,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein",A_32_P69368,NM_002166,0.80,483
AJ399872,,A_24_P484904,b,0.83,484
DACT1,"dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)",A_23_P65518,NM_016651,0.77,485
CETP,"cholesteryl ester transfer protein, plasma",A_23_P49376,NM_000078,1.22,486
ENC1,ectodermal-neural cortex (with BTB-like domain),A_24_P69095,NM_003633,0.81,487
PLEKHA1,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1",A_23_P115792,NM_001001974,1.23,488
PPIC,peptidylprolyl isomerase C (cyclophilin C),A_23_P422724,NM_000943,0.80,489
HIST1H2BD,"histone 1, H2bd",A_24_P146211,NM_021063,0.81,490
HIST2H2AA,"histone 2, H2aa",A_23_P103981,NM_003516,0.80,491
LAMP3,lysosomal-associated membrane protein 3,A_23_P29773,NM_014398,1.22,492
ELL3,elongation factor RNA polymerase II-like 3,A_24_P47988,NM_025165,1.21,493
CHST12,carbohydrate (chondroitin 4) sulfotransferase 12,A_23_P310421,NM_018641,0.81,494
DYRK3,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3,A_23_P12282,NM_001004023,1.21,495
ENST00000333604,,A_24_P316059,ns,1.22,496
CDKN2D,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",A_23_P89941,NM_001800,1.20,497
BE004814,,A_32_P226525,b,1.19,498
SYNE2,"spectrin repeat containing, nuclear envelope 2",A_23_P128887,NM_182910,0.81,499
IGKC,immunoglobulin kappa constant,A_24_P272146,b,0.84,500
HIST1H4K,"histone 1, H4k",A_23_P30813,NM_003541,0.92,501
MYO6,myosin VI,A_23_P255952,NM_004999,0.78,502
LZTFL1,leucine zipper transcription factor-like 1,A_23_P41049,NM_020347,1.20,503
DJ328E19.C1.1,hypothetical protein DJ328E19.C1.1,A_24_P16541,NM_015383,1.20,504
UGT2B11,"UDP glucuronosyltransferase 2 family, polypeptide B11",A_23_P212968,NM_001073,0.81,505
OGFRL1,opioid growth factor receptor-like 1,A_23_P7791,NM_024576,0.77,506
HIST1H2BF,"histone 1, H2bf",A_23_P42178,NM_003522,0.81,507
IL13,interleukin 13,A_23_P251031,NM_002188,1.18,508
FLJ22662,hypothetical protein FLJ22662,A_23_P87709,NM_024829,0.81,509
BC017937,,A_24_P477549,b,NA,510
ENST00000307507,,A_32_P68533,ns,1.21,511
GAA,"glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)",A_23_P153026,NM_000152,1.22,512
AEBP1,AE binding protein 1,A_23_P157299,NM_001129,NA,513
CK819477,,A_32_P49854,b,0.81,514
CAPN1,"calpain 1, (mu/I) large subunit",A_23_P138835,NM_005186,0.83,515
SDC1,syndecan 1,A_23_P16944,NM_001006946,0.83,516
THC2429043,,A_23_P159435,hc,0.79,517
A_24_P686243,,A_24_P686243,0,1.21,518
PAQR8,progestin and adipoQ receptor family member VIII,A_23_P214281,NM_133367,1.21,519
IRS1,insulin receptor substrate 1,A_24_P225679,NM_005544,NA,520
MYO1B,myosin IB,A_23_P361049,NM_012223,0.77,521
IGF1,insulin-like growth factor 1 (somatomedin C),A_23_P13907,NM_000618,1.21,522
THC2428956,,A_24_P169713,hc,0.83,523
EPB41L5,erythrocyte membrane protein band 4.1 like 5,A_24_P944640,NM_020909,0.79,524
THC2375716,,A_23_P129856,hc,1.21,525
FLJ31978,hypothetical protein FLJ31978,A_32_P19294,NM_144669,1.19,526
MCTP2,multiple C2-domains with two transmembrane regions 2,A_23_P65789,b,0.78,527
A_23_P44053,,A_23_P44053,0,0.84,528
CD96,CD96 antigen,A_32_P7502,NM_198196,0.80,529
THC2298931,,A_32_P137826,hc,0.80,530
HIST1H2BE,"histone 1, H2be",A_23_P30776,NM_003523,0.81,531
CKLFSF3,chemokine-like factor super family 3,A_23_P88865,NM_144601,1.23,532
DNAJC18,"DnaJ (Hsp40) homolog, subfamily C, member 18",A_32_P149251,NM_152686,1.20,533
MGC27165,hypothetical protein MGC27165,A_24_P889462,b,0.79,534
HIST1H2BH,"histone 1, H2bh",A_23_P366216,NM_003524,0.81,535
AK026078,,A_24_P133171,b,0.82,536
TGFB1,"transforming growth factor, beta 1 (Camurati-Engelmann disease)",A_24_P79054,NM_000660,0.82,537
ENST00000288548,,A_23_P209360,ns,1.22,538
FLJ14167,hypothetical protein FLJ14167,A_24_P339429,b,NA,539
BC047362,,A_24_P915692,b,NA,540
MLSTD1,male sterility domain containing 1,A_23_P150903,NM_018099,0.81,541
HIST1H2BL,"histone 1, H2bl",A_23_P8013,NM_003519,0.81,542
IGKC,immunoglobulin kappa constant,A_23_P361654,b,0.83,543
FLJ23577,KPL2 protein,A_23_P382081,NM_144722,0.81,544
AF343666,,A_24_P395415,b,1.02,545
ZNF505,zinc finger protein 505,A_23_P135826,b,1.20,546
HIST1H2AJ,"histone 1, H2aj",A_23_P168014,NM_021066,0.82,547
ADARB1,"adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)",A_23_P211207,NM_015833,NA,548
FLJ39553,hypothetical protein FLJ39553,A_23_P333029,NM_173549,0.77,549
THC2306274,,A_32_P215143,hc,0.83,550
RUNX1,runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene),A_24_P96403,NM_001001890,1.20,551
SLCO2B1,"solute carrier organic anion transporter family, member 2B1",A_23_P150768,NM_007256,0.79,552
UBD,ubiquitin D,A_23_P81898,NM_006398,1.12,553
THC2377375,,A_32_P34703,hc,1.18,554
TOM1L1,target of myb1-like 1 (chicken),A_23_P118493,NM_005486,0.79,555
PLEKHA4,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4",A_24_P408047,NM_020904,1.20,556
ADAMTS12,"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 12",A_32_P103220,NM_030955,1.19,557
AF035034,,A_24_P15550,b,0.84,558
HIST2H2BE,"histone 2, H2be",A_24_P156911,NM_003528,0.81,559
CRIM1,cysteine rich transmembrane BMP regulator 1 (chordin-like),A_24_P11575,NM_016441,0.80,560
HRASLS3,HRAS-like suppressor 3,A_23_P116414,NM_007069,1.19,561
RGS2,"regulator of G-protein signalling 2, 24kDa",A_23_P114947,NM_002923,0.82,562
FCRL5,Fc receptor-like 5,A_24_P376848,NM_031281,0.80,563
P2RX7,"purinergic receptor P2X, ligand-gated ion channel, 7",A_23_P25354,NM_002562,0.81,564
AK023696,,A_24_P661593,b,1.19,565
ZNF143,zinc finger protein 143 (clone pHZ-1),A_32_P224094,b,1.20,566
THC2376817,,A_32_P172578,hc,0.79,567
IPO9,importin 9,A_24_P912136,b,NA,568
BCL2A1,BCL2-related protein A1,A_23_P152002,NM_004049,1.20,569
BX095305,,A_32_P158019,b,1.21,570
NDFIP1,Nedd4 family interacting protein 1,A_24_P209109,NM_030571,0.83,571
LOC339483,hypothetical protein LOC339483,A_24_P160413,NM_178546,0.81,572
PTPRK,"protein tyrosine phosphatase, receptor type, K",A_32_P99100,NM_002844,0.79,573
CR598503,,A_24_P79631,b,1.20,574
PSPH,phosphoserine phosphatase,A_32_P78816,NM_004577,1.18,575
FLJ35767,FLJ35767 protein,A_23_P375165,NM_207459,0.80,576
A_24_P490109,,A_24_P490109,0,0.85,577
BMP2K,BMP2 inducible kinase,A_23_P213126,b,0.82,578
DDX43,DEAD (Asp-Glu-Ala-Asp) box polypeptide 43,A_23_P156445,NM_018665,1.09,579
NEXN,nexilin (F actin binding protein),A_23_P200001,NM_144573,1.19,580
BIRC3,baculoviral IAP repeat-containing 3,A_23_P98350,NM_001165,1.19,581
SMO,smoothened homolog (Drosophila),A_23_P70818,NM_005631,1.20,582
NAPSA,napsin A aspartic peptidase,A_32_P107029,NM_004851,1.21,583
FLJ32942,hypothetical protein FLJ32942,A_23_P47950,NM_144594,0.88,584
AK3L1,adenylate kinase 3-like 1,A_24_P789425,b,1.20,585
G43562,,A_23_P30900,b,0.85,586
ZNF505,zinc finger protein 505,A_23_P124585,b,1.20,587
SLAMF1,signaling lymphocytic activation molecule family member 1,A_23_P62647,NM_003037,1.19,588
HIST1H2AJ,"histone 1, H2aj",A_24_P394510,NM_021066,0.82,589
BASP1,"brain abundant, membrane attached signal protein 1",A_23_P213385,NM_006317,1.21,590
HIST2H2AB,"histone 2, H2ab",A_24_P68631,NM_175065,0.82,591
PRKD3,protein kinase D3,A_24_P165656,NM_005813,1.20,592
SYTL3,synaptotagmin-like 3,A_24_P291826,NM_001009991,0.82,593
LOC201229,hypothetical protein LOC201229,A_23_P392126,b,1.20,594
CR621132,,A_24_P234701,b,0.82,595
NEUROG2,neurogenin 2,A_32_P438767,NM_024019,1.15,596
Rgr,Ral-GDS related protein Rgr,A_23_P306941,NM_153615,1.20,597
PRICKLE1,prickle-like 1 (Drosophila),A_23_P408285,NM_153026,0.82,598
HIST1H2BK,"histone 1, H2bk",A_23_P145238,NM_080593,0.82,599
RGC32,response gene to complement 32,A_23_P204937,NM_014059,1.19,600
GPR30,G protein-coupled receptor 30,A_23_P8640,NM_001505,1.16,601
NEXN,nexilin (F actin binding protein),A_24_P409971,NM_144573,1.17,602
BX091993,,A_32_P170879,b,1.18,603
HIST3H2A,"histone 3, H2a",A_23_P149301,NM_033445,0.82,604
A_24_P289854,,A_24_P289854,0,0.86,605
GPR155,G protein-coupled receptor 155,A_23_P335958,NM_152529,0.82,606
C10orf10,chromosome 10 open reading frame 10,A_24_P329795,NM_007021,1.19,607
LOC284739,hypothetical protein LOC284739,A_24_P535483,NM_207349,0.84,608
TXNDC5,thioredoxin domain containing 5,A_23_P168229,NM_022085,0.82,609
NAP5,Nck-associated protein 5,A_23_P360079,b,0.81,610
NDFIP1,Nedd4 family interacting protein 1,A_23_P81241,NM_030571,0.82,611
HIST1H2BN,"histone 1, H2bn",A_23_P402081,NM_003520,0.82,612
BC080552,,A_32_P59302,b,1.19,613
A_23_P158868,,A_23_P158868,0,0.81,614
FLJ25323,FLJ25323 protein,A_32_P133767,NM_198521,0.80,615
IGHD,immunoglobulin heavy constant delta,A_24_P324838,b,0.81,616
LIN7A,lin-7 homolog A (C. elegans),A_23_P99253,NM_004664,0.82,617
ATP4A,"ATPase, H+/K+ exchanging, alpha polypeptide",A_23_P430728,NM_000704,1.20,618
THC2432207,,A_32_P9057,hc,NA,619
SPECC1,spectrin domain with coiled-coils 1,A_23_P38567,NM_152904,1.20,620
CLDN14,claudin 14,A_23_P91512,NM_144492,1.19,621
SNTB1,"syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)",A_23_P95029,NM_021021,0.79,622
HIST1H4F,"histone 1, H4f",A_23_P359540,NM_003540,0.89,623
LAG3,lymphocyte-activation gene 3,A_23_P116942,NM_002286,0.80,624
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_24_P772103,b,NA,625
SPP1,"secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)",A_23_P7313,NM_000582,0.81,626
HIST1H2BB,"histone 1, H2bb",A_23_P111054,NM_021062,0.82,627
EFHA2,"EF-hand domain family, member A2",A_32_P202502,NM_181723,1.18,628
BENE,BENE protein,A_24_P80204,NM_005434,NA,629
ZNF505,zinc finger protein 505,A_23_P158885,b,1.19,630
THC2280735,,A_32_P203728,hc,1.19,631
RBPMS2,RNA binding protein with multiple splicing 2,A_23_P100056,NM_194272,NA,632
NAPSA,napsin A aspartic peptidase,A_23_P90130,NM_004851,1.21,633
HIST2H4,"histone 2, H4",A_23_P436281,NM_003548,0.90,634
HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2",A_23_P42302,NM_020056,1.01,635
AK124192,,A_32_P154731,b,1.16,636
ENST00000334436,,A_32_P154473,ns,NA,637
GPR40,G protein-coupled receptor 40,A_23_P39356,NM_005303,0.81,638
AF007192,,A_24_P630109,b,1.15,639
AF035040,,A_24_P110618,b,NA,640
FLJ23861,hypothetical protein FLJ23861,A_24_P32342,NM_152519,0.82,641
EHMT1,euchromatic histone-lysine N-methyltransferase 1,A_23_P20894,NM_024757,NA,642
A_24_P575267,,A_24_P575267,0,0.82,643
CST5,cystatin D,A_23_P170453,NM_001900,0.83,644
HIST1H2BO,"histone 1, H2bo",A_23_P59069,NM_003527,0.82,645
H2BFS,"H2B histone family, member S",A_23_P40470,NM_017445,0.82,646
LRIG3,leucine-rich repeats and immunoglobulin-like domains 3,A_23_P47885,NM_153377,1.15,647
HIST1H2BG,"histone 1, H2bg",A_23_P167997,NM_003518,0.82,648
NT5E,"5'-nucleotidase, ecto (CD73)",A_24_P354715,NM_002526,0.82,649
GPT2,glutamic pyruvate transaminase (alanine aminotransferase) 2,A_23_P37892,NM_133443,0.82,650
HIST1H2BM,"histone 1, H2bm",A_24_P3783,NM_003521,0.82,651
Cep70,p10-binding protein,A_23_P21473,NM_024491,0.80,652
SKIL,SKI-like,A_23_P351215,NM_005414,0.82,653
ACAS2,acetyl-Coenzyme A synthetase 2 (ADP forming),A_24_P156295,NM_018677,1.19,654
ENST00000356177,,A_23_P8004,ns,0.83,655
KIAA0408,KIAA0408,A_23_P215048,NM_014702,0.81,656
ENST00000361286,,A_24_P315862,ns,0.82,657
ITM2B,integral membrane protein 2B,A_24_P381604,NM_021999,0.80,658
TCF2,"transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor",A_23_P409287,NM_000458,0.80,659
RRM2,ribonucleotide reductase M2 polypeptide,A_24_P225616,NM_001034,0.82,660
ASB9,ankyrin repeat and SOCS box-containing 9,A_23_P125643,NM_024087,NA,661
A_23_P84791,,A_23_P84791,0,0.85,662
THC2374873,,A_32_P225472,hc,NA,663
CLEC2D,"C-type lectin superfamily 2, member D",A_24_P241183,NM_013269,0.83,664
A_24_P631625,,A_24_P631625,0,0.84,665
LDOC1L,"leucine zipper, down-regulated in cancer 1-like",A_23_P132365,NM_032287,1.19,666
CITED2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",A_23_P214969,NM_006079,0.83,667
HIST1H2BC,"histone 1, H2bc",A_23_P93180,NM_003526,0.82,668
SYTL3,synaptotagmin-like 3,A_23_P168188,NM_001009991,0.82,669
HIST3H2BB,"histone 3, H2bb",A_23_P332992,NM_175055,0.82,670
MGC26690,hypothetical protein MGC26690,A_23_P423482,NM_152450,1.18,671
POMC,proopiomelanocortin (adrenocorticotropin/ beta-lipotropin/ alpha-melanocyte stimulating hormone/ beta-melanocyte stimulating hormone/ beta-endorphin),A_23_P5875,NM_000939,0.80,672
SHRM,shroom,A_23_P58117,NM_020859,1.16,673
BX089701,,A_32_P137382,b,1.18,674
HIST1H2AE,"histone 1, H2ae",A_23_P59045,NM_021052,0.82,675
ENST00000314088,,A_23_P167983,ns,0.82,676
MKL2,MKL/myocardin-like 2,A_24_P375205,b,1.10,677
PXK,PX domain containing serine/threonine kinase,A_32_P115606,b,1.20,678
CKLFSF7,chemokine-like factor super family 7,A_23_P256413,NM_138410,1.19,679
CD28,CD28 antigen (Tp44),A_23_P91095,NM_006139,1.12,680
SCML1,sex comb on midleg-like 1 (Drosophila),A_24_P162319,NM_006746,NA,681
RAD52B,RAD52 homolog B (S. cerevisiae),A_23_P141447,NM_145654,1.18,682
C1orf106,chromosome 1 open reading frame 106,A_23_P1043,NM_018265,0.81,683
ZNF229,zinc finger protein 229,A_23_P130509,NM_014518,NA,684
AA303143,,A_32_P106864,b,1.09,685
ENST00000324691,,A_24_P212834,ns,0.83,686
SNN,stannin,A_23_P152160,NM_003498,1.19,687
JDP2,jun dimerization protein 2,A_32_P17484,b,1.19,688
BC084557,,A_23_P335190,b,0.82,689
THC2321023,,A_32_P30075,hc,0.84,690
HIST1H3B,"histone 1, H3b",A_23_P93258,NM_003537,0.83,691
KCNMA1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1",A_24_P156490,NM_002247,1.20,692
FZD2,frizzled homolog 2 (Drosophila),A_23_P141362,NM_001466,0.83,693
HIST1H4D,"histone 1, H4d",A_23_P395374,NM_003539,1.17,694
SMA5,SMA5,A_23_P121869,NM_021036,0.83,695
TGFBR2,"transforming growth factor, beta receptor II (70/80kDa)",A_23_P211957,NM_001024847,0.83,696
LMO7,LIM domain 7,A_24_P301146,NM_005358,1.20,697
KLHL6,kelch-like 6 (Drosophila),A_23_P212655,NM_130446,1.19,698
CRTAP,cartilage associated protein,A_24_P140171,NM_006371,NA,699
HIST1H2AK,"histone 1, H2ak",A_24_P217848,NM_003510,0.83,700
U21012,,A_24_P358321,b,0.82,701
MEST,mesoderm specific transcript homolog (mouse),A_23_P156970,NM_002402,1.15,702
PLAC8,placenta-specific 8,A_24_P183128,NM_016619,0.80,703
DAAM1,dishevelled associated activator of morphogenesis 1,A_23_P54116,NM_014992,0.82,704
A_23_P159163,,A_23_P159163,0,0.85,705
PARD6G,par-6 partitioning defective 6 homolog gamma (C. elegans),A_24_P74070,NM_032510,0.81,706
BC018626,,A_32_P132748,b,0.84,707
AK026984,,A_32_P72758,b,0.78,708
HIST2H2AC,"histone 2, H2ac",A_24_P8721,NM_003517,0.83,709
ABAT,4-aminobutyrate aminotransferase,A_23_P152505,NM_020686,1.20,710
LOC554248,hypothetical LOC554248,A_32_P219963,b,1.18,711
ITGA1,"integrin, alpha 1",A_23_P256334,NM_181501,NA,712
TRIM7,tripartite motif-containing 7,A_23_P30315,NM_033342,1.17,713
A_23_P251002,,A_23_P251002,0,0.83,714
CYP7B1,"cytochrome P450, family 7, subfamily B, polypeptide 1",A_23_P169092,NM_004820,0.81,715
TUBB6,"tubulin, beta 6",A_23_P254271,NM_032525,0.80,716
CLYBL,citrate lyase beta like,A_23_P376591,NM_206808,1.18,717
TOM1L1,target of myb1-like 1 (chicken),A_24_P196658,NM_005486,0.82,718
SCD5,stearoyl-CoA desaturase 5,A_24_P385134,b,0.83,719
FLJ34870,FLJ34870 protein,A_24_P298224,NM_207481,NA,720
AK3L1,adenylate kinase 3-like 1,A_32_P108655,NM_001005353,1.19,721
MYADM,myeloid-associated differentiation marker,A_23_P27584,NM_001020818,1.17,722
QPCT,glutaminyl-peptide cyclotransferase (glutaminyl cyclase),A_24_P71468,NM_012413,1.17,723
THC2401724,,A_32_P183442,hc,1.18,724
FLNA,"filamin A, alpha (actin binding protein 280)",A_23_P96568,NM_001456,0.85,725
TBL1Y,transducin (beta)-like 1Y-linked,A_23_P114466,NM_033284,0.83,726
RBMS3,"RNA binding motif, single stranded interacting protein",A_32_P228618,NM_001003793,NA,727
CD1C,"CD1C antigen, c polypeptide",A_23_P51767,NM_001765,1.17,728
HIST1H2AM,"histone 1, H2am",A_24_P86389,NM_003514,0.83,729
CGNL1,cingulin-like 1,A_23_P163306,NM_032866,0.82,730
SLC16A3,"solute carrier family 16 (monocarboxylic acid transporters), member 3",A_23_P158725,NM_004207,1.17,731
ASRGL1,asparaginase like 1,A_23_P379864,b,0.83,732
ZAP70,zeta-chain (TCR) associated protein kinase 70kDa,A_23_P39682,NM_001079,0.83,733
FOXC1,forkhead box C1,A_23_P390504,NM_001453,1.19,734
AY062331,,A_24_P639701,b,0.88,735
RAPGEF5,Rap guanine nucleotide exchange factor (GEF) 5,A_23_P215505,b,NA,736
IVL,involucrin,A_23_P353524,NM_005547,1.18,737
BU540282,,A_32_P57013,b,1.17,738
NFIL3,"nuclear factor, interleukin 3 regulated",A_23_P32253,NM_005384,1.16,739
ANXA1,annexin A1,A_23_P94501,NM_000700,1.16,740
R01145,,A_32_P175557,b,1.17,741
PLXNB2,plexin B2,A_24_P70888,b,0.83,742
LOC151963,similar to BcDNA:GH11415 gene product,A_32_P117464,NM_178496,1.19,743
