symbol,GeneName,ProbeName,RefSeq,FC,RP rank
RRM2,ribonucleotide reductase M2 polypeptide,A_24_P225616,NM_001034,0.8061,375
FAM49A,"family with sequence similarity 49, member A",A_23_P21560,NM_030797,1.2547,376
RAB31,"RAB31, member RAS oncogene family",A_24_P236799,NM_006868,1.2379,377
AK131023,,A_24_P467073,b,NA,378
PTPRK,"protein tyrosine phosphatase, receptor type, K",A_32_P99100,NM_002844,0.7586,379
UBE3A,"ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)",A_24_P207150,NM_130839,1.2076,380
GRPR,gastrin-releasing peptide receptor,A_24_P357266,NM_005314,0.7783,381
MT1E,metallothionein 1E (functional),A_23_P206724,NM_175617,0.7691,382
TXNDC5,thioredoxin domain containing 5,A_23_P168229,NM_022085,0.8059,383
TLL2,tolloid-like 2,A_23_P404778,NM_012465,1.2513,384
TCF2,"transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor",A_23_P409287,NM_000458,0.7592,385
ZNF114,zinc finger protein 114,A_23_P368779,NM_153608,0.7863,386
GEM,GTP binding protein overexpressed in skeletal muscle,A_23_P257043,NM_005261,1.2398,387
MGC45806,hypothetical protein MGC45806,A_23_P434919,NM_152304,0.7673,388
AK023660,,A_32_P217261,b,1.1666,389
MLC1,megalencephalic leukoencephalopathy with subcortical cysts 1,A_23_P211680,NM_015166,0.7887,390
ENST00000333579,,A_32_P159192,ns,0.8284,391
THC2411433,,A_24_P820302,hc,0.7844,392
LGALS2,"lectin, galactoside-binding, soluble, 2 (galectin 2)",A_23_P120902,NM_006498,NA,393
CSRP2,cysteine and glycine-rich protein 2,A_23_P44724,NM_001321,0.762,394
AF279782,,A_24_P506857,b,1.2254,395
A_23_P256973,,A_23_P256973,0,0.8006,396
TGFBI,"transforming growth factor, beta-induced, 68kDa",A_23_P156327,NM_000358,0.7942,397
HSPC159,HSPC159 protein,A_23_P430818,NM_014181,1.2379,398
PRICKLE1,prickle-like 1 (Drosophila),A_23_P408285,NM_153026,0.8062,399
EBI2,Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor),A_23_P25566,NM_004951,1.2602,400
AF103312,,A_24_P604784,b,0.814,401
IVL,involucrin,A_23_P353524,NM_005547,1.2466,402
ARGBP2,Arg/Abl-interacting protein ArgBP2,A_23_P121795,NM_021069,0.7875,403
SLC12A7,"solute carrier family 12 (potassium/chloride transporters), member 7",A_23_P61688,NM_006598,0.758,404
ST3GAL6,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",A_23_P250800,NM_006100,1.2337,405
LAMP3,lysosomal-associated membrane protein 3,A_23_P29773,NM_014398,1.251,406
MGC13057,hypothetical protein MGC13057,A_23_P17130,NM_032321,0.7683,407
A_24_P934971,,A_24_P934971,0,0.8095,408
RIMS2,regulating synaptic membrane exocytosis 2,A_23_P147786,NM_014677,0.8208,409
CETP,"cholesteryl ester transfer protein, plasma",A_23_P49376,NM_000078,1.1895,410
AEBP1,AE binding protein 1,A_23_P157299,NM_001129,0.7962,411
IL2RA,"interleukin 2 receptor, alpha",A_23_P127288,NM_000417,1.199,412
CCR2,chemokine (C-C motif) receptor 2,A_24_P11825,NM_000647,NA,413
CCL20,chemokine (C-C motif) ligand 20,A_23_P17065,NM_004591,NA,414
RIC3,RIC3 protein,A_23_P75915,b,1.2281,415
THC2375716,,A_23_P129856,hc,1.2188,416
LOC90693,"alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase-like",A_24_P354954,NM_138771,1.2214,417
CCR7,chemokine (C-C motif) receptor 7,A_23_P343398,NM_001838,1.2312,418
LOC157860,hypothetical protein LOC157860,A_24_P751220,b,0.8139,419
SNN,stannin,A_24_P30923,NM_003498,1.2131,420
SLC23A2,"solute carrier family 23 (nucleobase transporters), member 2",A_24_P254278,NM_203327,1.2215,421
INADL,InaD-like (Drosophila),A_23_P321034,b,NA,422
STEAP1,six transmembrane epithelial antigen of the prostate 1,A_24_P406334,NM_012449,0.7682,423
KIAA2022,KIAA2022 protein,A_32_P169505,NM_001008537,1.231,424
THC2437757,,A_32_P158181,hc,NA,425
MEIS2,"Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)",A_23_P88602,NM_170677,1.1913,426
A_32_P121226,,A_32_P121226,0,1.2076,427
HRASLS2,HRAS-like suppressor 2,A_23_P105012,NM_017878,1.2144,428
KIAA1913,KIAA1913,A_23_P391906,b,1.2078,429
GABRA3,"gamma-aminobutyric acid (GABA) A receptor, alpha 3",A_23_P125618,NM_000808,0.7941,430
LOXL3,lysyl oxidase-like 3,A_24_P88763,NM_032603,1.1887,431
TEP1,telomerase-associated protein 1,A_24_P201973,NM_007110,0.8162,432
SOCS2,suppressor of cytokine signaling 2,A_23_P128215,NM_003877,1.1854,433
SYTL3,synaptotagmin-like 3,A_24_P291826,NM_001009991,0.8132,434
TP73L,tumor protein p73-like,A_23_P327380,NM_003722,1.2198,435
M87790,,A_23_P43979,b,0.7765,436
BSPRY,B-box and SPRY domain containing,A_23_P71946,NM_017688,0.7959,437
AK125899,,A_32_P89352,b,0.78,438
GBP4,guanylate binding protein 4,A_23_P103496,NM_052941,1.2177,439
IPO9,importin 9,A_24_P912136,b,NA,440
CR595522,,A_24_P879740,b,NA,441
FAM46C,"family with sequence similarity 46, member C",A_23_P137751,NM_017709,NA,442
SYNE2,"spectrin repeat containing, nuclear envelope 2",A_24_P307759,NM_015180,0.8061,443
LOC442746,similar to immune associated nucleotide 4 like 1; immunity associated protein 3,A_24_P92624,b,1.222,444
ENST00000283694,,A_24_P177844,ns,1.2029,445
LAPTM4B,lysosomal associated protein transmembrane 4 beta,A_24_P180680,NM_018407,0.8193,446
ENST00000328043,,A_24_P135841,ns,0.8108,447
KIAA0870,KIAA0870 protein,A_32_P175301,NM_014957,1.2207,448
FLJ35767,FLJ35767 protein,A_23_P375165,NM_207459,0.7974,449
A_24_P780319,,A_24_P780319,0,0.8114,450
KIAA1946,KIAA1946,A_23_P371966,b,1.2133,451
FAM82A,"family with sequence similarity 82, member A",A_24_P131392,NM_144713,1.207,452
A_32_P331700,,A_32_P331700,0,1.2043,453
A_24_P221285,,A_24_P221285,0,0.8149,454
AK096196,,A_24_P324054,b,0.7971,455
THC2374505,,A_24_P38316,hc,NA,456
CRYM,"crystallin, mu",A_23_P77731,NM_001888,0.7936,457
WFDC2,WAP four-disulfide core domain 2,A_23_P218675,NM_080733,0.7975,458
FLJ36492,hypothetical protein FLJ36492,A_32_P216369,NM_182568,1.1625,459
GIMAP4,"GTPase, IMAP family member 4",A_24_P209455,NM_018326,NA,460
KIAA0125,KIAA0125,A_24_P95723,NM_014792,NA,461
CD709370,,A_23_P170830,b,0.7741,462
SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",A_23_P252764,NM_139045,1.2239,463
AREG,amphiregulin (schwannoma-derived growth factor),A_23_P259071,NM_001657,0.8052,464
AA665072,,A_32_P177685,b,1.2068,465
CFLAR,CASP8 and FADD-like apoptosis regulator,A_23_P209394,b,1.2047,466
NID67,putative small membrane protein NID67,A_23_P414273,NM_032947,1.2085,467
LOC339483,hypothetical protein LOC339483,A_24_P160413,NM_178546,0.7958,468
AK123972,,A_32_P32413,b,1.2285,469
ALDH1L2,"aldehyde dehydrogenase 1 family, member L2",A_32_P117016,b,0.8135,470
OTUD1,OTU domain containing 1,A_24_P374834,b,0.8142,471
CLDN23,claudin 23,A_23_P134854,NM_194284,0.8214,472
CR936791,,A_32_P84242,b,1.198,473
DFNA5,"deafness, autosomal dominant 5",A_23_P82449,NM_004403,1.2144,474
ABAT,4-aminobutyrate aminotransferase,A_23_P152505,NM_020686,1.247,475
GBP3,guanylate binding protein 3,A_23_P51487,NM_018284,0.8315,476
SYNE2,"spectrin repeat containing, nuclear envelope 2",A_23_P140277,NM_015180,0.8077,477
JDP2,jun dimerization protein 2,A_32_P17484,b,1.2035,478
PDZK3,PDZ domain containing 3,A_23_P7402,NM_178140,0.8057,479
FCRL5,Fc receptor-like 5,A_24_P376848,NM_031281,0.8027,480
ZNF143,zinc finger protein 143 (clone pHZ-1),A_32_P224094,b,1.1945,481
SNN,stannin,A_23_P152160,NM_003498,1.2078,482
CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",A_23_P206359,NM_004360,1.2225,483
TOM1L1,target of myb1-like 1 (chicken),A_23_P118493,NM_005486,0.8022,484
U21012,,A_24_P358321,b,0.8175,485
MGC27165,hypothetical protein MGC27165,A_24_P889462,b,0.8354,486
GIMAP6,"GTPase, IMAP family member 6",A_23_P145631,NM_024711,1.2153,487
EPS8,epidermal growth factor receptor pathway substrate 8,A_23_P136347,NM_004447,0.7705,488
FABP3,"fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)",A_24_P62783,NM_004102,0.7988,489
STC2,stanniocalcin 2,A_23_P416395,NM_003714,NA,490
N28017,,A_32_P95894,b,1.1982,491
AF275804,,A_32_P104063,b,NA,492
RAB6IP1,RAB6 interacting protein 1,A_23_P321201,NM_015213,1.2172,493
EFHA2,"EF-hand domain family, member A2",A_32_P202502,NM_181723,1.1389,494
LMO2,LIM domain only 2 (rhombotin-like 1),A_23_P53126,NM_005574,1.2058,495
ADORA2B,adenosine A2b receptor,A_23_P55477,NM_000676,0.8069,496
HLA-DOA,"major histocompatibility complex, class II, DO alpha",A_32_P356316,NM_002119,1.1849,497
MYO1F,myosin IF,A_23_P142447,NM_012335,1.2005,498
BX648070,,A_23_P210060,b,NA,499
CSTA,cystatin A (stefin A),A_23_P170233,NM_005213,1.2077,500
CR936791,,A_23_P423074,b,1.2001,501
PLA2G4C,"phospholipase A2, group IVC (cytosolic, calcium-independent)",A_23_P50508,NM_003706,1.2128,502
LOC90693,"alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase-like",A_23_P168587,NM_138771,1.1983,503
A_32_P94521,,A_32_P94521,0,1.2083,504
MHC2TA,MHC class II transactivator,A_32_P209960,NM_000246,1.1943,505
LOC284804,hypothetical protein LOC284804,A_24_P101800,b,1.2481,506
BX115350,,A_32_P228886,b,NA,507
PRKCB1,"protein kinase C, beta 1",A_23_P206585,NM_002738,1.2054,508
FLJ33674,hypothetical protein FLJ33674,A_23_P80626,NM_207351,1.2056,509
BC084557,,A_23_P335190,b,0.7903,510
CD38,CD38 antigen (p45),A_23_P167328,NM_001775,0.8129,511
PARD6G,par-6 partitioning defective 6 homolog gamma (C. elegans),A_24_P74070,NM_032510,0.762,512
ARHGAP25,Rho GTPase activating protein 25,A_23_P142974,NM_001007231,0.8057,513
TMOD1,tropomodulin 1,A_23_P112289,NM_003275,1.2053,514
MCTP2,multiple C2-domains with two transmembrane regions 2,A_23_P65789,b,NA,515
PSMA8,"proteasome (prosome, macropain) subunit, alpha type, 8",A_23_P367995,NM_144662,NA,516
C3orf14,chromosome 3 open reading frame 14,A_23_P29655,NM_020685,0.7459,517
LOC91614,novel 58.3 KDA protein,A_23_P385126,NM_139160,0.7813,518
IGH@,immunoglobulin heavy locus,A_32_P200144,b,0.8005,519
MCTP1,multiple C2-domains with two transmembrane regions 1,A_23_P133293,b,0.8025,520
TPBG,trophoblast glycoprotein,A_23_P59261,NM_006670,1.2142,521
ALPK2,alpha-kinase 2,A_23_P15876,NM_052947,1.2197,522
BG546536,,A_23_P80583,b,NA,523
IL16,interleukin 16 (lymphocyte chemoattractant factor),A_23_P61057,NM_004513,1.2016,524
MGC17839,hypothetical protein MGC17839,A_23_P329890,NM_174926,1.2032,525
EPHB1,EPH receptor B1,A_23_P166993,NM_004441,0.8029,526
THC2308165,,A_32_P46171,hc,1.1615,527
C21orf81,chromosome 21 open reading frame 81,A_23_P392529,NM_153750,1.1479,528
RASGEF1A,"RasGEF domain family, member 1A",A_23_P391344,NM_145313,0.8369,529
NDFIP1,Nedd4 family interacting protein 1,A_24_P209109,NM_030571,0.8276,530
RAB32,"RAB32, member RAS oncogene family",A_23_P42375,NM_006834,1.2035,531
TRAF1,TNF receptor-associated factor 1,A_24_P89891,NM_005658,1.2126,532
AF035020,,A_24_P50738,b,1.1969,533
JDP2,jun dimerization protein 2,A_23_P117582,NM_130469,1.1989,534
CCL4,chemokine (C-C motif) ligand 4,A_23_P207564,NM_002984,0.8028,535
CD44,CD44 antigen (homing function and Indian blood group system),A_23_P24870,NM_000610,1.2068,536
SLCO2B1,"solute carrier organic anion transporter family, member 2B1",A_23_P150768,NM_007256,0.7587,537
STAR,steroidogenic acute regulator,A_23_P8981,NM_000349,1.1874,538
C21orf42,chromosome 21 open reading frame 42,A_23_P132057,NM_058184,1.1944,539
MED18,"mediator of RNA polymerase II transcription, subunit 18 homolog (yeast)",A_23_P138105,NM_017638,0.8108,540
THC2293989,,A_32_P111751,hc,0.8089,541
UBE3A,"ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)",A_24_P381803,NM_130839,1.183,542
RAMP1,receptor (calcitonin) activity modifying protein 1,A_23_P50946,NM_005855,0.8229,543
AK024516,,A_32_P218806,b,1.1821,544
GMPR,guanosine monophosphate reductase,A_24_P277657,NM_006877,0.8068,545
ATP8B2,"ATPase, Class I, type 8B, member 2",A_32_P185229,NM_020452,0.8113,546
CYP2J2,"cytochrome P450, family 2, subfamily J, polypeptide 2",A_23_P103486,NM_000775,0.7925,547
XBP1,X-box binding protein 1,A_23_P120845,NM_005080,0.8248,548
GPR155,G protein-coupled receptor 155,A_23_P335958,NM_152529,0.8285,549
LOC283174,hypothetical protein LOC283174,A_24_P904484,NM_001001873,1.2038,550
BEXL1,brain expressed X-linked-like 1,A_24_P40551,b,0.8087,551
ITM2B,integral membrane protein 2B,A_24_P381604,NM_021999,0.8062,552
MUC13,"mucin 13, epithelial transmembrane",A_23_P155236,NM_033049,0.8297,553
TNN,tenascin N,A_32_P480177,NM_022093,0.8244,554
RRM2,ribonucleotide reductase M2 polypeptide,A_24_P234196,NM_001034,0.8263,555
SSTR2,somatostatin receptor 2,A_23_P318800,NM_001050,1.2003,556
CD24,CD24 antigen (small cell lung carcinoma cluster 4 antigen),A_23_P85250,NM_013230,0.7838,557
A_23_P21393,,A_23_P21393,0,1.1841,558
CPM,carboxypeptidase M,A_23_P162668,NM_001874,NA,559
RNF157,ring finger protein 157,A_32_P57810,NM_052916,0.8009,560
AQP3,aquaporin 3,A_23_P112481,NM_004925,0.8179,561
C1orf61,chromosome 1 open reading frame 61,A_32_P138032,NM_006365,1.1987,562
CNN1,"calponin 1, basic, smooth muscle",A_23_P125233,NM_001299,1.197,563
AK026647,,A_24_P835500,b,1.1811,564
S100A13,S100 calcium binding protein A13,A_23_P372874,NM_005979,1.1959,565
SNX9,sorting nexin 9,A_23_P214789,NM_016224,0.83,566
NEXN,nexilin (F actin binding protein),A_23_P200001,NM_144573,1.2058,567
BAIAP2L1,BAI1-associated protein 2-like 1,A_23_P168470,NM_018842,NA,568
KIAA0649,KIAA0649,A_23_P146497,NM_014811,0.8165,569
RAB31,"RAB31, member RAS oncogene family",A_23_P141688,NM_006868,1.1832,570
XBP1,X-box binding protein 1,A_24_P100228,NM_005080,0.8402,571
COL16A1,"collagen, type XVI, alpha 1",A_23_P160318,NM_001856,NA,572
DKFZp434C0328,hypothetical protein DKFZp434C0328,A_23_P253012,NM_017577,1.213,573
SPINT2,"serine protease inhibitor, Kunitz type, 2",A_23_P27795,NM_021102,1.1738,574
MSRB3,methionine sulfoxide reductase B3,A_24_P273726,NM_198080,1.2305,575
AF038174,,A_24_P915196,b,1.1833,576
AY062331,,A_24_P639701,b,0.8965,577
ANKRD29,ankyrin repeat domain 29,A_23_P412577,NM_173505,0.8002,578
PRKACB,"protein kinase, cAMP-dependent, catalytic, beta",A_24_P62708,NM_002731,0.8078,579
IRF5,interferon regulatory factor 5,A_24_P363609,NM_002200,0.8814,580
TNFRSF21,"tumor necrosis factor receptor superfamily, member 21",A_23_P30666,NM_014452,0.8032,581
SLAC2-B,SLAC2-B,A_23_P403335,NM_015065,1.1896,582
AGRP,agouti related protein homolog (mouse),A_23_P502320,NM_001138,0.8298,583
UST,uronyl-2-sulfotransferase,A_23_P314145,NM_005715,1.1699,584
LOC400566,hypothetical gene supported by AK128660,A_24_P624439,NM_001013672,0.8274,585
ACTN3,"actinin, alpha 3",A_23_P138881,NM_001104,0.839,586
KIAA0415,KIAA0415 protein,A_23_P134637,b,0.8357,587
KALRN,"kalirin, RhoGEF kinase",A_24_P410797,b,NA,588
SPRY2,sprouty homolog 2 (Drosophila),A_23_P128698,NM_005842,0.8086,589
FLT1,fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor),A_24_P42755,NM_002019,0.8293,590
BG423475,,A_32_P93584,b,0.7818,591
IL13RA1,"interleukin 13 receptor, alpha 1",A_23_P137196,NM_001560,1.2014,592
LOC90693,"alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase-like",A_23_P168592,NM_138771,1.1816,593
BX956036,,A_32_P69333,b,0.8324,594
CD9,CD9 antigen (p24),A_23_P76364,NM_001769,0.8051,595
C20orf23,chromosome 20 open reading frame 23,A_24_P59361,NM_024704,0.8322,596
Cep70,p10-binding protein,A_23_P21473,NM_024491,0.8158,597
AL832942,,A_24_P324630,b,1.1882,598
BC032451,,A_24_P677559,b,0.8927,599
FLRT3,fibronectin leucine rich transmembrane protein 3,A_23_P166109,NM_198391,0.8136,600
ANKRD18A,ankyrin repeat domain 18A,A_32_P101490,b,NA,601
CLYBL,citrate lyase beta like,A_23_P376591,NM_206808,1.1923,602
MT1F,metallothionein 1F (functional),A_23_P15174,NM_005949,0.8215,603
A_24_P917810,,A_24_P917810,0,0.8217,604
DLL3,delta-like 3 (Drosophila),A_24_P57047,NM_203486,1.1992,605
PRG1,"proteoglycan 1, secretory granule",A_23_P86653,NM_002727,1.1958,606
A_24_P212997,,A_24_P212997,0,1.1542,607
CCR2,chemokine (C-C motif) receptor 2,A_23_P212354,NM_000647,NA,608
RBMS1,"RNA binding motif, single stranded interacting protein 1",A_23_P36496,NM_016836,0.8311,609
LILRB3,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3",A_32_P70158,NM_006864,1.1778,610
SLC41A1,"solute carrier family 41, member 1",A_24_P122732,NM_173854,1.1436,611
KIAA1913,KIAA1913,A_32_P40288,NM_052913,1.1756,612
DDAH2,dimethylarginine dimethylaminohydrolase 2,A_23_P19482,NM_013974,0.8196,613
PACAP,proapoptotic caspase adaptor protein,A_23_P84596,NM_016459,0.8402,614
LOC201229,hypothetical protein LOC201229,A_23_P392126,b,1.1993,615
RASL10B,"RAS-like, family 10, member B",A_24_P322229,NM_033315,0.844,616
LAPTM4B,lysosomal associated protein transmembrane 4 beta,A_24_P414999,NM_018407,0.853,617
ENST00000361266,,A_24_P92174,ns,0.8064,618
RAGE,renal tumor antigen,A_23_P76731,NM_014226,1.1642,619
RAPGEF2,Rap guanine nucleotide exchange factor (GEF) 2,A_23_P133095,b,0.8301,620
HRES1,HTLV-1 related endogenous sequence,A_24_P418176,NM_001007238,0.836,621
THC2278542,,A_24_P602871,hc,0.8119,622
KIAA1324L,KIAA1324-like,A_23_P320242,NM_152748,1.0878,623
NPNT,likely ortholog of mouse nephronectin,A_23_P253896,NM_198278,1.2084,624
ITSN1,intersectin 1 (SH3 domain protein),A_23_P252962,NM_001001132,1.1938,625
SLC16A6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",A_23_P152791,NM_004694,0.8366,626
BLK,B lymphoid tyrosine kinase,A_23_P31725,NM_001715,1.1883,627
WWOX,WW domain containing oxidoreductase,A_24_P116606,NM_130791,0.8422,628
IL18R1,interleukin 18 receptor 1,A_24_P208567,NM_003855,1.2175,629
FLJ39873,hypothetical protein FLJ39873,A_23_P80528,NM_173799,1.2024,630
F13A1,"coagulation factor XIII, A1 polypeptide",A_32_P140139,NM_000129,0.8353,631
AL109708,,A_24_P823096,b,1.2171,632
ARNTL2,aryl hydrocarbon receptor nuclear translocator-like 2,A_23_P76145,b,0.8287,633
FGR,Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,A_23_P103932,NM_005248,1.188,634
FEZ1,fasciculation and elongation protein zeta 1 (zygin I),A_24_P201552,NM_005103,1.1824,635
OCLN,occludin,A_24_P102053,NM_002538,NA,636
MT2A,metallothionein 2A,A_23_P106844,NM_005953,0.8178,637
C1orf106,chromosome 1 open reading frame 106,A_23_P1043,NM_018265,0.786,638
C22orf9,chromosome 22 open reading frame 9,A_24_P944751,NM_015264,0.8475,639
MYRIP,myosin VIIA and Rab interacting protein,A_23_P326760,NM_015460,0.8361,640
TNFRSF11B,"tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)",A_24_P192485,NM_002546,1.069,641
BG028463,,A_32_P226768,b,1.1962,642
NAP5,Nck-associated protein 5,A_23_P360079,b,0.8239,643
THC2336549,,A_24_P707530,hc,1.0287,644
FLJ23554,hypothetical protein FLJ23554,A_23_P83751,NM_024806,1.1762,645
AF035022,,A_32_P190951,b,1.1708,646
MT1X,metallothionein 1X,A_23_P303242,NM_005952,0.8206,647
MT1H,metallothionein 1H,A_23_P414343,NM_005951,0.8209,648
EBI3,Epstein-Barr virus induced gene 3,A_23_P119478,NM_005755,1.197,649
LOC400572,hypothetical LOC400572,A_32_P53524,b,1.2228,650
ENST00000252134,,A_24_P366082,ns,1.1914,651
HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",A_24_P196827,NM_002122,1.0792,652
MOXD1,"monooxygenase, DBH-like 1",A_23_P31064,NM_015529,1.146,653
GPR125,G protein-coupled receptor 125,A_23_P158925,NM_145290,0.8046,654
ANKRD25,ankyrin repeat domain 25,A_24_P324787,NM_015493,0.8451,655
JAM2,junctional adhesion molecule 2,A_23_P120667,NM_021219,1.1183,656
BIC,BIC transcript,A_32_P108156,NR_001458,1.1723,657
THC2400529,,A_24_P918875,hc,1.167,658
HIST2H3C,"histone 2, H3c",A_23_P435029,b,0.8399,659
SLC16A10,"solute carrier family 16 (monocarboxylic acid transporters), member 10",A_24_P98047,NM_018593,1.1651,660
C1orf96,chromosome 1 open reading frame 96,A_32_P83776,NM_145257,0.833,661
HIST1H1A,"histone 1, H1a",A_23_P70448,NM_005325,0.8443,662
MT1X,metallothionein 1X,A_24_P125096,NM_005952,0.8238,663
TM7SF1,transmembrane 7 superfamily member 1 (upregulated in kidney),A_23_P46149,NM_003272,1.1795,664
THC2382759,,A_32_P177829,hc,0.8263,665
GALNT3,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3),A_24_P114249,NM_004482,NA,666
BCL2A1,BCL2-related protein A1,A_23_P152002,NM_004049,1.176,667
A_24_P554882,,A_24_P554882,0,NA,668
AW901755,,A_23_P213527,b,1.2095,669
ZNF629,zinc finger protein 629,A_23_P163816,b,0.8205,670
ENST00000253720,,A_23_P90125,ns,1.1805,671
CDYL2,"chromodomain protein, Y-like 2",A_23_P371865,NM_152342,NA,672
CYP3A4,"cytochrome P450, family 3, subfamily A, polypeptide 4",A_24_P389251,NM_017460,NA,673
CD96,CD96 antigen,A_32_P7502,NM_198196,0.8252,674
DKFZP586A0522,DKFZP586A0522 protein,A_24_P941773,b,0.8459,675
CCND2,cyclin D2,A_24_P270235,NM_001759,0.8397,676
MT2A,metallothionein 2A,A_24_P361896,NM_005953,0.8264,677
FLJ42342,hypothetical gene supported by AK124333,A_32_P132860,b,1.1862,678
A_23_P57836,,A_23_P57836,0,1.1771,679
BCL2L10,BCL2-like 10 (apoptosis facilitator),A_23_P163209,NM_020396,1.1701,680
ENST00000338843,,A_23_P202540,ns,1.1751,681
CNKSR3,CNKSR family member 3,A_23_P134085,NM_173515,NA,682
SPIRE1,spire homolog 1 (Drosophila),A_23_P135878,NM_020148,1.1567,683
ENST00000334574,,A_23_P65901,ns,NA,684
AF088004,,A_24_P880000,b,0.7942,685
CIB4,calcium and integrin binding family member 4,A_23_P56913,NM_001029881,NA,686
BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein),A_24_P402588,NM_138553,0.8092,687
FRMD6,FERM domain containing 6,A_24_P330303,NM_152330,NA,688
DYRK3,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3,A_23_P12282,NM_001004023,1.1765,689
KIAA1463,KIAA1463 protein,A_24_P68162,NM_173602,0.8757,690
PCNXL3,pecanex-like 3 (Drosophila),A_24_P333123,b,1.1811,691
LOC390535,"golgi autoantigen, golgin family member",A_32_P103669,NM_001012423,1.17,692
OSR2,odd-skipped related 2 (Drosophila),A_23_P71570,NM_053001,0.8199,693
C6orf32,chromosome 6 open reading frame 32,A_24_P941359,b,1.1612,694
HLA-DPB2,"major histocompatibility complex, class II, DP beta 2 (pseudogene)",A_32_P505730,b,1.1608,695
BLVRA,biliverdin reductase A,A_23_P71148,NM_000712,1.1819,696
MMP7,"matrix metalloproteinase 7 (matrilysin, uterine)",A_23_P52761,NM_002423,0.9498,697
THC2269190,,A_32_P2883,hc,1.1484,698
CLEC2D,"C-type lectin superfamily 2, member D",A_23_P204689,NM_001004419,0.8477,699
MKL2,MKL/myocardin-like 2,A_24_P375205,b,0.851,700
SNX24,sorting nexing 24,A_23_P19095,NM_014035,0.8311,701
ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",A_23_P379789,NM_013305,0.8348,702
MHC2TA,MHC class II transactivator,A_23_P353478,NM_000246,1.1635,703
PLA1A,phospholipase A1 member A,A_24_P294408,NM_015900,0.8271,704
LDOC1L,"leucine zipper, down-regulated in cancer 1-like",A_23_P132365,NM_032287,1.1402,705
BC017937,,A_24_P350708,b,0.8377,706
ENST00000245185,,A_23_P252413,ns,0.8228,707
TCL1A,T-cell leukemia/lymphoma 1A,A_23_P357717,NM_021966,0.8141,708
THC2281463,,A_24_P634530,hc,1.1754,709
SCIN,scinderin,A_23_P157136,NM_033128,NA,710
CDC42BPA,CDC42 binding protein kinase alpha (DMPK-like),A_23_P256190,NM_014826,0.8028,711
CPNE2,copine II,A_23_P37988,NM_152727,1.183,712
BC021677,,A_32_P210038,b,1.165,713
LOC440234,similar to hypothetical protein,A_32_P42236,b,1.1817,714
BG547557,,A_23_P384355,b,0.814,715
THC2372144,,A_24_P399220,hc,0.8204,716
AF086536,,A_24_P915361,b,1.1647,717
FCER2,"Fc fragment of IgE, low affinity II, receptor for (CD23A)",A_23_P164773,NM_002002,1.1605,718
APOL6,"apolipoprotein L, 6",A_24_P941167,b,0.8609,719
RASGRP1,RAS guanyl releasing protein 1 (calcium and DAG-regulated),A_23_P124642,NM_005739,1.0893,720
ANXA2P1,annexin A2 pseudogene 1,A_24_P204244,NR_001562,0.8541,721
IFIT1,interferon-induced protein with tetratricopeptide repeats 1,A_23_P52266,NM_001548,0.8344,722
SLAMF1,signaling lymphocytic activation molecule family member 1,A_23_P62647,NM_003037,1.1663,723
BX415272,,A_32_P44047,b,1.1503,724
BCAT1,"branched chain aminotransferase 1, cytosolic",A_24_P52921,NM_005504,1.1824,725
TAGAP,T-cell activation GTPase activating protein,A_24_P354724,NM_054114,NA,726
KCNJ15,"potassium inwardly-rectifying channel, subfamily J, member 15",A_23_P17655,NM_170736,NA,727
A_32_P233713,,A_32_P233713,0,0.8521,728
CRTAM,class-I MHC-restricted T cell associated molecule,A_23_P305092,NM_019604,NA,729
NEUROG2,neurogenin 2,A_32_P438767,NM_024019,1.1152,730
LOC441428,hypothetical gene supported by BX641014,A_32_P66934,b,1.1785,731
KIAA0980,KIAA0980 protein,A_23_P143374,NM_025176,NA,732
