Symbol,GeneName,ProbeName,RefSeq,SAM rank
TOMM70A,translocase of outer mitochondrial membrane 70 homolog A (yeast),A_23_P144264,NM_014820,1352
PHB2,prohibitin 2,A_23_P151106,NM_007273,1353
GPR34,G protein-coupled receptor 34,A_23_P11201,NM_005300,1354
CR621132,,A_24_P234701,b,1355
AHSG,alpha-2-HS-glycoprotein,A_23_P155514,NM_001622,1356
AF086126,,A_32_P97506,b,1357
THC2374771,,A_32_P223551,hc,1358
CLPX,ClpX caseinolytic protease X homolog (E. coli),A_23_P140511,NM_006660,1359
BC015835,,A_32_P123990,b,1360
FLJ35700,hypothetical protein FLJ35700,A_23_P342165,b,1361
NEDD4,"neural precursor cell expressed, developmentally down-regulated 4",A_32_P160883,NM_006154,1362
TIFA,TRAF-interacting protein with a forkhead-associated domain,A_24_P350686,NM_052864,1363
NDFIP1,Nedd4 family interacting protein 1,A_24_P209113,NM_030571,1364
KIAA1799,KIAA1799 protein,A_24_P118608,NM_032437,1365
FLJ13910,hypothetical protein FLJ13910,A_23_P257753,NM_022780,1366
A_24_P828054,,A_24_P828054,,1367
TUBB2,"tubulin, beta, 2",A_32_P187327,NM_006088,1368
MTCBP-1,membrane-type 1 matrix metalloproteinase cytoplasmic tail binding protein-1,A_32_P52911,NM_018269,1369
EIF4A1,"eukaryotic translation initiation factor 4A, isoform 1",A_32_P149432,NM_001416,1370
ENST00000296015,,A_24_P910854,ns,1371
KLHL3,kelch-like 3 (Drosophila),A_23_P133543,NM_017415,1372
IGLV6-57,immunoglobulin lambda variable 6-57,A_24_P170584,b,1373
STAP2,signal-transducing adaptor protein-2,A_23_P382188,NM_001013841,1374
NAPSA,napsin A aspartic peptidase,A_23_P90130,NM_004851,1375
ENST00000242558,,A_24_P57889,ns,1376
FTH1,"ferritin, heavy polypeptide 1",A_32_P820503,NM_002032,1377
FARSLB,"phenylalanine-tRNA synthetase-like, beta subunit",A_23_P165346,NM_005687,1378
RPS4X,"ribosomal protein S4, X-linked",A_23_P125519,NM_001007,1379
AF272377,,A_24_P922909,b,1380
EEF1A1,eukaryotic translation elongation factor 1 alpha 1,A_24_P763243,NM_001402,1381
BMP2K,BMP2 inducible kinase,A_24_P86240,NM_198892,1382
GLIS1,GLIS family zinc finger 1,A_23_P316612,NM_147193,1383
TCIRG1,"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein a isoform 3",A_23_P75369,NM_006019,1384
COBRA1,cofactor of BRCA1,A_23_P148150,NM_015456,1385
FTH1,"ferritin, heavy polypeptide 1",A_24_P58337,NM_002032,1386
A_24_P272735,,A_24_P272735,,1387
ACAD8,"acyl-Coenzyme A dehydrogenase family, member 8",A_24_P4678,NM_014384,1388
ATP5L,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g",A_23_P75622,NM_006476,1389
NRG2,neuregulin 2,A_23_P213699,NM_013982,1390
AF055023,,A_24_P917026,b,1391
GPR68,G protein-coupled receptor 68,A_24_P931443,b,1392
ZNF563,zinc finger protein 563,A_23_P107881,NM_145276,1393
ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",A_23_P202269,NM_020987,1394
LOC157697,hypothetical protein LOC157697,A_32_P26969,NM_207332,1395
MYT1,myelin transcription factor 1,A_23_P210835,NM_004535,1396
TCFL5,transcription factor-like 5 (basic helix-loop-helix),A_24_P325015,b,1397
CD96,CD96 antigen,A_32_P7502,NM_198196,1398
TMCO1,transmembrane and coiled-coil domains 1,A_24_P276583,NM_019026,1399
RPL15,ribosomal protein L15,A_24_P257359,NM_002948,1400
COL13A1,"collagen, type XIII, alpha 1",A_24_P90005,NM_005203,1401
ACTR1A,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)",A_24_P278367,NM_005736,1402
SUI1,putative translation initiation factor,A_32_P53049,NM_005801,1403
CDC40,cell division cycle 40 homolog (yeast),A_23_P351314,NM_015891,1404
C7orf24,chromosome 7 open reading frame 24,A_23_P42695,NM_024051,1405
RER1,RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae),A_23_P85392,NM_007033,1406
PLAGL1,pleiomorphic adenoma gene-like 1,A_23_P8175,NM_006718,1407
A_24_P110201,,A_24_P110201,,1408
GlyBP,"glycine-, glutamate-, thienylcyclohexylpiperidine-binding protein",A_23_P200043,NM_014704,1409
RDHE2,epidermal retinal dehydrogenase 2,A_24_P317708,NM_138969,1410
ENST00000308118,,A_24_P41149,ns,1411
KIAA1893,G protein-regulated inducer of neurite outgrowth 1,A_24_P160466,NM_052899,1412
GPT2,glutamic pyruvate transaminase (alanine aminotransferase) 2,A_23_P37892,NM_133443,1413
A_32_P6841,,A_32_P6841,,1414
SLC33A1,"solute carrier family 33 (acetyl-CoA transporter), member 1",A_23_P144188,NM_004733,1415
MTX2,metaxin 2,A_23_P120335,NM_001006635,1416
FNDC3B,fibronectin type III domain containing 3B,A_23_P253434,NM_022763,1417
SLAC2-B,SLAC2-B,A_23_P403335,NM_015065,1418
POU2AF1,"POU domain, class 2, associating factor 1",A_23_P312920,NM_006235,1419
ENTPD7,ectonucleoside triphosphate diphosphohydrolase 7,A_23_P86623,NM_020354,1420
C10orf137,chromosome 10 open reading frame 137,A_24_P372553,NM_015608,1421
ENST00000332968,,A_24_P213354,ns,1422
IGF2R,insulin-like growth factor 2 receptor,A_23_P334021,NM_000876,1423
WBSCR18,Williams Beuren syndrome chromosome region 18,A_23_P157170,NM_032317,1424
SPPL2B,signal peptide peptidase-like 2B,A_32_P161447,NM_152988,1425
ALG3,"asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase)",A_23_P7005,NM_001006940,1426
FER,fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94),A_23_P124570,NM_005246,1427
CETP,"cholesteryl ester transfer protein, plasma",A_23_P49376,NM_000078,1428
BAG3,BCL2-associated athanogene 3,A_23_P52552,NM_004281,1429
NEK6,NIMA (never in mitosis gene a)-related kinase 6,A_23_P216920,NM_014397,1430
ADAM19,a disintegrin and metalloproteinase domain 19 (meltrin beta),A_23_P81369,NM_023038,1431
TAF12,"TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa",A_23_P63178,NM_005644,1432
TMLHE,"trimethyllysine hydroxylase, epsilon",A_23_P62335,NM_018196,1433
MLSTD2,male sterility domain containing 2,A_24_P278460,NM_032228,1434
FLJ22795,hypothetical protein FLJ22795,A_23_P129103,NM_025084,1435
HRB,HIV-1 Rev binding protein,A_23_P169529,NM_004504,1436
C15orf21,chromosome 15 open reading frame 21,A_23_P423419,NM_001005266,1437
AK021933,,A_23_P31550,b,1438
A_24_P324488,,A_24_P324488,,1439
CSGlcA-T,chondroitin sulfate glucuronyltransferase,A_32_P54442,NM_019015,1440
BC012876,,A_24_P318990,b,1441
ZMYND11,"zinc finger, MYND domain containing 11",A_24_P201323,NM_006624,1442
LONP,peroxisomal lon protease,A_24_P1773,NM_031490,1443
SCOTIN,scotin,A_23_P212475,NM_016479,1444
CDV1,"carnitine deficiency-associated, expressed in ventricle 1",A_23_P48130,NM_031473,1445
FOLR2,folate receptor 2 (fetal),A_23_P47709,NM_000803,1446
CRTAP,cartilage associated protein,A_24_P140171,NM_006371,1447
THC2283809,,A_32_P165363,hc,1448
BC030084,,A_24_P385012,b,1449
SYT9,synaptotagmin IX,A_24_P343736,NM_175733,1450
NME2P1,"non-metastatic cells 2, protein (NM23B) expressed in, pseudogene 1",A_23_P398005,NR_001577,1451
RKHD3,ring finger and KH domain containing 3,A_23_P163440,NM_032246,1452
KIAA1608,KIAA1608,A_23_P43557,NM_024820,1453
FAM11A,"family with sequence similarity 11, member A",A_32_P4814,NM_032508,1454
MALAT1,metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA),A_24_P497244,b,1455
TFCP2,transcription factor CP2,A_23_P347528,NM_005653,1456
TMEM16F,transmembrane protein 16F,A_23_P389118,NM_001025356,1457
FLJ22028,hypothetical protein FLJ22028,A_23_P151043,NM_024854,1458
IRX5,iroquois homeobox protein 5,A_24_P48057,NM_005853,1459
LOC400055,similar to 60S ribosomal protein L26,A_32_P22539,XM_374987,1460
FLJ34512,hypothetical protein FLJ34512,A_23_P354864,NM_173476,1461
KIAA1729,KIAA1729 protein,A_32_P171747,b,1462
CRIM1,cysteine rich transmembrane BMP regulator 1 (chordin-like),A_24_P11575,NM_016441,1463
LRP5,low density lipoprotein receptor-related protein 5,A_23_P1505,NM_002335,1464
MT1K,metallothionein 1K,A_23_P66241,NM_176870,1465
WDR33,WD repeat domain 33,A_23_P414420,NM_018383,1466
VPS13A,vacuolar protein sorting 13A (yeast),A_23_P9472,NM_033305,1467
MGC10993,hypothetical protein MGC10993,A_23_P5339,NM_030577,1468
FLJ14346,hypothetical protein FLJ14346,A_24_P6944,NM_025029,1469
CASP10,"caspase 10, apoptosis-related cysteine protease",A_23_P209408,NM_032977,1470
KIAA0826,KIAA0826,A_24_P68229,b,1471
TMEM64,transmembrane protein 64,A_24_P171058,b,1472
KIAA1055,KIAA1055 protein,A_23_P396666,NM_015079,1473
DNMT2,DNA (cytosine-5-)-methyltransferase 2,A_24_P252705,NM_004412,1474
MGC62100,hypothetical protein LOC388536,A_24_P919279,NM_206894,1475
SMO,smoothened homolog (Drosophila),A_23_P70818,NM_005631,1476
A_24_P862524,,A_24_P862524,,1477
ENST00000361295,,A_24_P229756,ns,1478
PSCDBP,"pleckstrin homology, Sec7 and coiled-coil domains, binding protein",A_23_P90626,NM_004288,1479
VTI1A,vesicle transport through interaction with t-SNAREs homolog 1A (yeast),A_23_P10785,NM_145206,1480
MLF1,myeloid leukemia factor 1,A_23_P419947,NM_022443,1481
A_24_P333052,,A_24_P333052,,1482
MGC24975,hypothetical protein MGC24975,A_23_P372988,NM_153359,1483
MUTED,muted homolog (mouse),A_24_P106591,NM_201280,1484
LOC440370,similar to immunoglobulin M chain,A_24_P341126,XM_496158,1485
SUCNR1,succinate receptor 1,A_23_P69171,NM_033050,1486
NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",A_24_P188941,NM_002520,1487
BOK,BCL2-related ovarian killer,A_23_P61112,b,1488
C14orf173,chromosome 14 open reading frame 173,A_23_P394836,NM_022489,1489
G0S2,putative lymphocyte G0/G1 switch gene,A_23_P74609,NM_015714,1490
A_32_P15169,,A_32_P15169,,1491
FBXW5,F-box and WD-40 domain protein 5,A_23_P112397,NM_178226,1492
AK021443,,A_32_P200934,b,1493
RPS13,ribosomal protein S13,A_23_P24763,NM_001017,1494
ABCC4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",A_24_P16913,NM_005845,1495
FAM31B,"family with sequence similarity 31, member B",A_23_P201605,NM_144977,1496
AK126845,,A_23_P111981,b,1497
CR603051,,A_23_P164737,b,1498
LOC120318,similar to 40S ribosomal protein S6 (Phosphoprotein NP33),A_24_P918810,XM_497316,1499
WAC,WW domain containing adaptor with coiled-coil,A_24_P240912,NM_100264,1500
P4HA2,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II",A_23_P30363,NM_004199,1501
ERAL1,Era G-protein-like 1 (E. coli),A_23_P71981,NM_005702,1502
SCCPDH,saccharopine dehydrogenase (putative),A_23_P62807,NM_016002,1503
LOC442204,similar to myosin:SUBUNIT=regulatory light chain,A_24_P323715,b,1504
SSX5,"synovial sarcoma, X breakpoint 5",A_23_P84359,NM_021015,1505
A_23_P13232,,A_23_P13232,,1506
RNF31,ring finger protein 31,A_23_P99632,NM_017999,1507
CSRP2,cysteine and glycine-rich protein 2,A_23_P44724,NM_001321,1508
C22orf9,chromosome 22 open reading frame 9,A_32_P88479,NM_015264,1509
C22orf9,chromosome 22 open reading frame 9,A_24_P32252,NM_015264,1510
C10orf119,chromosome 10 open reading frame 119,A_23_P202594,NM_024834,1511
HERC6,hect domain and RLD 6,A_23_P250358,NM_001013002,1512
WWP1,WW domain containing E3 ubiquitin protein ligase 1,A_23_P146990,NM_007013,1513
RPL13,ribosomal protein L13,A_32_P93868,NM_033251,1514
EPB41L5,erythrocyte membrane protein band 4.1 like 5,A_24_P944640,NM_020909,1515
ADORA2A,adenosine A2a receptor,A_23_P109436,NM_000675,1516
A_23_P165819,,A_23_P165819,,1517
YWHAE,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide",A_24_P123011,NM_006761,1518
PML,promyelocytic leukemia,A_24_P133542,NM_002675,1519
ECGF1,endothelial cell growth factor 1 (platelet-derived),A_23_P91802,NM_001953,1520
AK094629,,A_32_P157504,b,1521
EGR2,"early growth response 2 (Krox-20 homolog, Drosophila)",A_23_P46936,NM_000399,1522
RRAGA,Ras-related GTP binding A,A_23_P169117,NM_006570,1523
FBXO42,F-box protein 42,A_24_P333494,NM_018994,1524
NPAL3,NIPA-like domain containing 3,A_24_P45367,NM_020448,1525
FLJ22795,hypothetical protein FLJ22795,A_32_P128558,b,1526
NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",A_32_P49423,NM_002520,1527
CEBPZ,CCAAT/enhancer binding protein zeta,A_23_P119964,NM_005760,1528
HSPA1A,heat shock 70kDa protein 1A,A_23_P111132,NM_005345,1529
AK3L1,adenylate kinase 3-like 1,A_32_P108655,NM_001005353,1530
DPY19L1P1,dpy-19-like 1 pseudogene 1 (C. elegans),A_24_P453921,b,1531
FAM78B,"family with sequence similarity 78, member B",A_24_P487901,b,1532
AAAS,"achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)",A_23_P64799,NM_015665,1533
ZNF295,zinc finger protein 295,A_24_P339869,NM_020727,1534
LMAN2,"lectin, mannose-binding 2",A_24_P9285,NM_006816,1535
RGS8,regulator of G-protein signalling 8,A_23_P103424,NM_033345,1536
R01145,,A_32_P175557,b,1537
CHCHD2,coiled-coil-helix-coiled-coil-helix domain containing 2,A_23_P157405,NM_016139,1538
A_32_P208856,,A_32_P208856,,1539
A_24_P307046,,A_24_P307046,,1540
POM121,POM121 membrane glycoprotein (rat),A_23_P8541,b,1541
BMF,Bcl2 modifying factor,A_23_P379649,NM_001003940,1542
SEC23B,Sec23 homolog B (S. cerevisiae),A_24_P690924,NM_032986,1543
HLA-DPB2,"major histocompatibility complex, class II, DP beta 2 (pseudogene)",A_23_P59167,b,1544
SLC25A1,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",A_23_P120776,NM_005984,1545
A_24_P730256,,A_24_P730256,,1546
SNCB,"synuclein, beta",A_23_P121945,NM_001001502,1547
AK126559,,A_24_P272225,b,1548
NEDD4L,"neural precursor cell expressed, developmentally down-regulated 4-like",A_23_P387856,NM_015277,1549
PSORS1C1,psoriasis susceptibility 1 candidate 1,A_23_P133902,NM_014068,1550
AF289615,,A_24_P221092,b,1551
ENTH,enthoprotin,A_23_P133345,NM_014666,1552
PPFIBP1,"PTPRF interacting protein, binding protein 1 (liprin beta 1)",A_23_P373724,NM_003622,1553
TMEM2,transmembrane protein 2,A_23_P94552,NM_013390,1554
HSPC138,hypothetical protein HSPC138,A_23_P139396,NM_016401,1555
HHLA1,HERV-H LTR-associating 1,A_23_P157556,NM_005712,1556
TFAP2B,transcription factor AP-2 beta (activating enhancer binding protein 2 beta),A_24_P20954,NM_003221,1557
C14orf101,chromosome 14 open reading frame 101,A_23_P205607,NM_017799,1558
A_24_P917810,,A_24_P917810,,1559
CIP29,cytokine induced protein 29 kDa,A_23_P43946,NM_033082,1560
KIAA0391,KIAA0391,A_23_P14340,NM_014672,1561
RBPSUH,recombining binding protein suppressor of hairless (Drosophila),A_23_P29994,NM_203284,1562
MGC13102,hypothetical protein MGC13102,A_23_P149259,NM_032323,1563
ATP2C1,"ATPase, Ca++ transporting, type 2C, member 1",A_24_P137372,NM_001001487,1564
PIK3CB,"phosphoinositide-3-kinase, catalytic, beta polypeptide",A_23_P346969,NM_006219,1565
CERK,ceramide kinase,A_24_P62237,NM_022766,1566
ZNF189,zinc finger protein 189,A_24_P89872,NM_197977,1567
STAT1,"signal transducer and activator of transcription 1, 91kDa",A_24_P274270,NM_139266,1568
AK130930,,A_24_P195794,b,1569
PIK4CB,"phosphatidylinositol 4-kinase, catalytic, beta polypeptide",A_23_P314726,NM_002651,1570
GRK6,G protein-coupled receptor kinase 6,A_23_P257256,NM_002082,1571
CREB5,cAMP responsive element binding protein 5,A_23_P157117,NM_182898,1572
FOXD2,forkhead box D2,A_23_P413585,NM_004474,1573
ENST00000359713,,A_23_P358240,ns,1574
CTCF,CCCTC-binding factor (zinc finger protein),A_24_P347704,NM_006565,1575
FAM79B,"family with sequence similarity 79, member B",A_24_P586712,NM_198485,1576
HDAC7A,histone deacetylase 7A,A_24_P647146,NM_015401,1577
THC2384784,,A_32_P233581,hc,1578
CDC40,cell division cycle 40 homolog (yeast),A_24_P414786,NM_015891,1579
UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1,A_23_P56188,NM_003333,1580
ZNF505,zinc finger protein 505,A_23_P124585,b,1581
LOC133957,similar to RIKEN cDNA 0610011N22,A_23_P41976,NM_145265,1582
NPNT,likely ortholog of mouse nephronectin,A_23_P253896,NM_198278,1583
AK095260,,A_32_P735636,b,1584
NME1,"non-metastatic cells 1, protein (NM23A) expressed in",A_23_P152804,NM_198175,1585
IRF3,interferon regulatory factor 3,A_23_P27677,NM_001571,1586
SMA5,SMA5,A_23_P121869,NM_021036,1587
PLA2G4B,"phospholipase A2, group IVB (cytosolic)",A_23_P403424,NM_005090,1588
AK024516,,A_32_P218806,b,1589
ENST00000282366,,A_23_P411431,ns,1590
STX6,syntaxin 6,A_23_P331992,b,1591
FLJ32894,hypothetical protein FLJ32894,A_23_P408175,NM_144667,1592
EPHB1,EPH receptor B1,A_23_P166993,NM_004441,1593
LOC92305,hypothetical protein BC009331,A_23_P354175,NM_138385,1594
DHRSX,dehydrogenase/reductase (SDR family) X-linked,A_24_P378987,NM_145177,1595
DCXR,dicarbonyl/L-xylulose reductase,A_23_P44166,NM_016286,1596
LMO2,LIM domain only 2 (rhombotin-like 1),A_23_P53126,NM_005574,1597
IL15RA,"interleukin 15 receptor, alpha",A_23_P138680,NM_172200,1598
MLF1,myeloid leukemia factor 1,A_23_P143906,NM_022443,1599
LOC391126,similar to 60S ribosomal protein L26,A_24_P366165,b,1600
THC2293989,,A_32_P111751,hc,1601
A_24_P552131,,A_24_P552131,,1602
ZNF505,zinc finger protein 505,A_23_P135826,b,1603
ENST00000310974,,A_32_P96134,ns,1604
BC053353,,A_32_P94161,b,1605
THC2280139,,A_32_P161554,hc,1606
A_32_P208076,,A_32_P208076,,1607
A_24_P856273,,A_24_P856273,,1608
C22orf9,chromosome 22 open reading frame 9,A_23_P315589,NM_015264,1609
CXorf53,chromosome X open reading frame 53,A_24_P144504,NM_001018055,1610
HINT1,histidine triad nucleotide binding protein 1,A_32_P47554,NM_005340,1611
EZH2,enhancer of zeste homolog 2 (Drosophila),A_23_P259641,NM_004456,1612
THC2323059,,A_32_P102383,hc,1613
RPL41,ribosomal protein L41,A_23_P128067,NM_021104,1614
WDR22,WD repeat domain 22,A_23_P352684,NM_003861,1615
STEAP2,six transmembrane epithelial antigen of the prostate 2,A_23_P428260,NM_152999,1616
UBE2S,ubiquitin-conjugating enzyme E2S,A_32_P171328,NM_014501,1617
ZNF278,zinc finger protein 278,A_23_P366253,NM_032051,1618
NCOA5,nuclear receptor coactivator 5,A_23_P315843,NM_020967,1619
HSD11B1,hydroxysteroid (11-beta) dehydrogenase 1,A_23_P63209,NM_181755,1620
NEDD4L,"neural precursor cell expressed, developmentally down-regulated 4-like",A_23_P27279,NM_015277,1621
DDX3X,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked",A_24_P126060,NM_001356,1622
CYP7B1,"cytochrome P450, family 7, subfamily B, polypeptide 1",A_23_P169092,NM_004820,1623
TNFRSF7,"tumor necrosis factor receptor superfamily, member 7",A_23_P48088,NM_001242,1624
PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4",A_24_P362904,NM_004567,1625
BC030102,,A_24_P478556,b,1626
AK057088,,A_24_P554156,b,1627
ANKRD13D,"ankyrin repeat domain 13 family, member D",A_24_P76105,NM_207354,1628
ADORA2A,adenosine A2a receptor,A_24_P237270,NM_000675,1629
CDCA3,cell division cycle associated 3,A_24_P218979,NM_031299,1630
ERO1L,ERO1-like (S. cerevisiae),A_24_P407311,NM_014584,1631
ENST00000327893,,A_24_P375510,ns,1632
ARGBP2,Arg/Abl-interacting protein ArgBP2,A_23_P121795,NM_021069,1633
FALZ,fetal Alzheimer antigen,A_23_P114075,NM_004459,1634
A_24_P935082,,A_24_P935082,,1635
FLJ22635,hypothetical protein FLJ22635,A_23_P98686,NM_025092,1636
C9orf102,chromosome 9 open reading frame 102,A_32_P1772,NM_020207,1637
RPS2,ribosomal protein S2,A_24_P135902,NM_002952,1638
A_24_P32836,,A_24_P32836,,1639
ENST00000307507,,A_32_P82189,ns,1640
IMP-1,IGF-II mRNA-binding protein 1,A_23_P343954,NM_006546,1641
FUBP1,far upstream element (FUSE) binding protein 1,A_23_P45699,NM_003902,1642
THC2265983,,A_24_P97257,hc,1643
CYP3A4,"cytochrome P450, family 3, subfamily A, polypeptide 4",A_24_P389251,NM_017460,1644
THC2437154,,A_32_P24295,hc,1645
KRAS,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,A_23_P306507,NM_033360,1646
SYTL3,synaptotagmin-like 3,A_23_P168188,NM_001009991,1647
AGRN,agrin,A_23_P343411,NM_198576,1648
CEACAM1,carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein),A_24_P382319,NM_001712,1649
MARS2,methionine-tRNA synthetase 2 (mitochondrial),A_23_P108492,NM_138395,1650
IL13RA1,"interleukin 13 receptor, alpha 1",A_23_P137196,NM_001560,1651
LOC387882,hypothetical protein,A_32_P163089,NM_207376,1652
LOC90835,hypothetical protein LOC90835,A_24_P842006,NM_001014979,1653
KDELR3,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3,A_23_P211504,NM_016657,1654
ATP6V1H,"ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H",A_23_P157478,NM_015941,1655
ENST00000326140,,A_24_P341222,ns,1656
RPL27,ribosomal protein L27,A_23_P141389,NM_000988,1657
FLJ13646,hypothetical protein FLJ13646,A_23_P5742,NM_024584,1658
AU121805,,A_32_P47200,b,1659
PECAM1,platelet/endothelial cell adhesion molecule (CD31 antigen),A_23_P252471,NM_000442,1660
RAD17,RAD17 homolog (S. pombe),A_23_P159053,NM_002873,1661
PAQR3,progestin and adipoQ receptor family member III,A_23_P167276,NM_177453,1662
CF528315,,A_32_P108387,b,1663
ENST00000246019,,A_23_P336854,ns,1664
BG028463,,A_32_P226768,b,1665
A_23_P57836,,A_23_P57836,,1666
CR612178,,A_24_P341677,b,1667
NDUFS1,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)",A_23_P131363,NM_005006,1668
ARHGDIA,Rho GDP dissociation inhibitor (GDI) alpha,A_23_P207766,NM_004309,1669
MAN1A1,"mannosidase, alpha, class 1A, member 1",A_23_P156431,NM_005907,1670
MRPL27,mitochondrial ribosomal protein L27,A_23_P49768,NM_016504,1671
ATP6AP1,"ATPase, H+ transporting, lysosomal accessory protein 1",A_23_P250462,NM_001183,1672
PEA15,phosphoprotein enriched in astrocytes 15,A_24_P410952,NM_003768,1673
STEAP1,six transmembrane epithelial antigen of the prostate 1,A_32_P69149,NM_012449,1674
A_32_P97373,,A_32_P97373,,1675
ALG9,"asparagine-linked glycosylation 9 homolog (yeast, alpha 1,2 mannosyltransferase)",A_32_P49188,NM_024740,1676
TRIM28,tripartite motif-containing 28,A_23_P89884,NM_005762,1677
A_32_P172198,,A_32_P172198,,1678
SPOP,speckle-type POZ protein,A_24_P270890,NM_001007226,1679
MCCC1,methylcrotonoyl-Coenzyme A carboxylase 1 (alpha),A_23_P58036,NM_020166,1680
TMLHE,"trimethyllysine hydroxylase, epsilon",A_23_P217546,NM_018196,1681
ENST00000354201,,A_24_P161853,ns,1682
IGHD,immunoglobulin heavy constant delta,A_24_P135384,b,1683
BTLA,B and T lymphocyte associated,A_23_P80883,NM_181780,1684
A_24_P230009,,A_24_P230009,,1685
AK056856,,A_32_P85042,b,1686
SC5DL,"sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, fungal)-like",A_23_P98446,NM_001024956,1687
TOM1L1,target of myb1-like 1 (chicken),A_24_P196658,NM_005486,1688
LOC144983,heterogeneous nuclear ribonucleoprotein A1-like,A_24_P927815,NM_001011724,1689
BNIP3L,BCL2/adenovirus E1B 19kDa interacting protein 3-like,A_23_P134925,NM_004331,1690
FLJ35785,hypothetical protein FLJ35785,A_32_P85273,NM_173613,1691
BX640947,,A_24_P852001,b,1692
PYCR2,"pyrroline-5-carboxylate reductase family, member 2",A_24_P165259,NM_013328,1693
GLCE,glucuronyl C5-epimerase,A_23_P151870,NM_015554,1694
AK055915,,A_24_P924697,b,1695
TTBK2,tau tubulin kinase 2,A_23_P206169,NM_173500,1696
RABGEF1,RAB guanine nucleotide exchange factor (GEF) 1,A_23_P250825,NM_014504,1697
SRCRB4D,"scavenger receptor cysteine rich domain containing, group B (4 domains)",A_23_P8571,NM_080744,1698
CR610892,,A_32_P58491,b,1699
YWHAZ,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",A_24_P209571,NM_145690,1700
TRIM37,tripartite motif-containing 37,A_23_P21230,NM_015294,1701
CD99,CD99 antigen,A_24_P70993,NM_002414,1702
A_24_P474188,,A_24_P474188,,1703
HCP5,HLA complex P5,A_32_P85500,NM_006674,1704
A_24_P17437,,A_24_P17437,,1705
KDELR2,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2,A_24_P42517,NM_006854,1706
SLCO2B1,"solute carrier organic anion transporter family, member 2B1",A_23_P150768,NM_007256,1707
Rgr,Ral-GDS related protein Rgr,A_23_P306941,NM_153615,1708
TREX1,three prime repair exonuclease 1,A_23_P218879,NM_016381,1709
THC2372704,,A_32_P2103,hc,1710
A_32_P149735,,A_32_P149735,,1711
TIMM17B,translocase of inner mitochondrial membrane 17 homolog B (yeast),A_23_P33886,NM_005834,1712
RGS20,regulator of G-protein signalling 20,A_23_P73097,NM_170587,1713
C1orf82,chromosome 1 open reading frame 82,A_23_P23542,NM_024813,1714
AK090416,,A_24_P930985,b,1715
ERCC8,"excision repair cross-complementing rodent repair deficiency, complementation group 8",A_23_P58521,NM_001007233,1716
RPL17,ribosomal protein L17,A_32_P158746,NM_000985,1717
C6orf102,chromosome 6 open reading frame 102,A_24_P297816,NM_145027,1718
BNIP3L,BCL2/adenovirus E1B 19kDa interacting protein 3-like,A_23_P408708,NM_004331,1719
PDCD5,programmed cell death 5,A_24_P339611,NM_004708,1720
CDC2L1,cell division cycle 2-like 1 (PITSLRE proteins),A_23_P501460,NM_033489,1721
RPS7,ribosomal protein S7,A_32_P20367,NM_001011,1722
MARVELD1,MARVEL domain containing 1,A_23_P138725,NM_031484,1723
ACADSB,"acyl-Coenzyme A dehydrogenase, short/branched chain",A_23_P158570,NM_001609,1724
PRTFDC1,phosphoribosyl transferase domain containing 1,A_23_P202004,NM_020200,1725
RPL10,ribosomal protein L10,A_24_P754803,NM_006013,1726
TMED5,transmembrane emp24 protein transport domain containing 5,A_23_P86002,NM_016040,1727
C7orf10,chromosome 7 open reading frame 10,A_23_P145711,NM_024728,1728
P4HB,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase-associated 1)",A_23_P107412,NM_000918,1729
