Gene,Locus,Log2 Fold Change,p value,q value
PDGFD,chr11:103777913-104035027,-0.601006,0.00005,0.00102997
ARL2BP,chr16:57279037-57287545,-0.600435,0.00005,0.00102997
YPEL5,chr2:30369749-30383399,-0.599649,0.00005,0.00102997
DKC1,chrX:153991030-154005964,-0.599207,0.00005,0.00102997
EVI5,chr1:92974252-93257961,-0.599066,0.00005,0.00102997
CBL,chr11:119076985-119178859,-0.599063,0.00005,0.00102997
MXD1,chr2:70142172-70170076,-0.598257,0.00035,0.00530278
FAT4,chr4:126237566-126414087,-0.597095,0.00005,0.00102997
CLSTN2,chr3:139654026-140286919,-0.595732,0.00005,0.00102997
RING1,chr6_qbl_hap6:4408512-4412726,-0.595578,0.00005,0.00102997
IGSF9,chr1:159896828-159915386,-0.595013,0.0031,0.0285716
ITGB5,chr3:124481794-124606144,-0.594346,0.00005,0.00102997
MEX3A,chr1:156041803-156051789,-0.593826,0.00005,0.00102997
TSPAN5,chr4:99391517-99579812,-0.593819,0.00005,0.00102997
PAIP2B,chr2:71409867-71454233,-0.593606,0.00455,0.0383374
RNF220,chr1:44870959-45117396,-0.593549,0.00005,0.00102997
CTNNAL1,chr9:111704850-111775764,-0.593035,0.00005,0.00102997
COL5A1,chr9:137533651-137736688,-0.59297,0.00005,0.00102997
MOSPD2,chrX:14891526-14939459,-0.59118,0.0012,0.0137958
YIPF6,chrX:67718623-67757127,-0.59108,0.00005,0.00102997
CDH11,chr16:64980682-65155919,-0.59107,0.00005,0.00102997
PPIC,chr5:122359077-122372425,-0.588022,0.00235,0.0231107
GTF3A,chr13:27998680-28024739,-0.587154,0.00015,0.002612
MLLT3,chr9:20344967-20622514,-0.585569,0.0006,0.00801227
PHACTR1,chr6:12717036-13295818,-0.585537,0.00065,0.00854024
LRRK1,chr15:101459459-101610317,-0.585225,0.00025,0.00400613
MXI1,chr10:111967362-112047123,-0.584137,0.00005,0.00102997
FBXO45,chr3:196295724-196315930,-0.583534,0.00005,0.00102997
SMAD2,chr18:45359465-45457517,-0.582073,0.00005,0.00102997
HSPA1B,chr6_qbl_hap6:3089162-3091686,-0.581488,0.0004,0.0058565
SATB1,chr3:18389132-18480265,-0.581135,0.00005,0.00102997
MFAP4,chr17:19240866-19290532,-0.580735,0.00005,0.00102997
ITGAV,chr2:187454789-187545628,-0.580553,0.00005,0.00102997
ANP32E,chr1:150190716-150208504,-0.580255,0.00005,0.00102997
DOK4,chr16:57496550-57520385,-0.579789,0.00075,0.00960294
DSEL,chr18:65173818-65566856,-0.579601,0.00005,0.00102997
MCF2L,chr13:113623534-113754053,-0.579554,0.00005,0.00102997
TEAD2,chr19:49838676-49865714,-0.579025,0.00055,0.00749009
MCFD2,chr2:47129008-47303275,-0.578744,0.00005,0.00102997
CDC73,chr1:193091087-193223942,-0.57742,0.0003,0.00466429
ATP2B1,chr12:89981825-90049844,-0.575569,0.00005,0.00102997
RBMS1,chr2:161128661-161350318,-0.575114,0.00005,0.00102997
CX3CL1,chr16:57406413-57418956,-0.57482,0.0054,0.0435871
RAB5B,chr12:56367696-56390467,-0.573131,0.00005,0.00102997
RALGPS2,chr1:178694299-178889237,-0.572677,0.00005,0.00102997
SERPINB7,chr18:61420280-61472610,-0.571611,0.00005,0.00102997
PLBD2,chr12:113796370-113827458,-0.570885,0.001,0.0119378
ABCA12,chr2:215796265-216003151,-0.570363,0.0005,0.00693943
SLC25A23,chr19:6440074-6459781,-0.570045,0.00005,0.00102997
C7orf60,chr7:112459201-112579932,-0.569007,0.00005,0.00102997
SELK,chr3:53919225-53925989,-0.56885,0.0002,0.00334015
SZRD1,chr1:16693524-16724643,-0.568253,0.00005,0.00102997
SASH1,chr6:148663728-148873184,-0.568228,0.00005,0.00102997
VCAN,chr5:82767492-82878122,-0.568073,0.00005,0.00102997
OSBPL3,chr7:24836163-25019760,-0.568062,0.00005,0.00102997
FAM3C,chr7:120988904-121036422,-0.567941,0.00005,0.00102997
CCNG2,chr4:78078356-78091213,-0.565955,0.00005,0.00102997
PATZ1,chr22:31721789-31742249,-0.563798,0.00005,0.00102997
BNC2,chr9:16409500-16870786,-0.563256,0.00005,0.00102997
11-Sep,chr4:77870894-77959768,-0.563048,0.00005,0.00102997
NT5C1A,chr1:40124792-40137710,-0.562899,0.00205,0.0210645
LAMP2,chrX:119560002-119603204,-0.562598,0.00005,0.00102997
TMEM248,chr7:66386202-66423538,-0.56227,0.00005,0.00102997
PEG3,chr19:57285922-57352097,-0.561865,0.0001,0.00188184
AHDC1,chr1:27860755-27930143,-0.561059,0.00075,0.00960294
SUDS3,chr12:118814357-118855840,-0.560841,0.00005,0.00102997
HIST1H2BH,chr6:26251878-26252303,-0.560817,0.00005,0.00102997
FRMD6,chr14:51921229-52197444,-0.560088,0.00005,0.00102997
CRABP2,chr1:156669399-156675608,-0.558132,0.00005,0.00102997
INSIG2,chr2:118846049-118867597,-0.558118,0.00065,0.00854024
ACSL4,chrX:108884563-108976621,-0.557881,0.00005,0.00102997
KIAA1217,chr10:23983674-24836772,-0.557862,0.00045,0.00638804
SLCO3A1,chr15:92396937-92715665,-0.555979,0.00545,0.0438552
FYCO1,chr3:45959390-46037316,-0.554953,0.00005,0.00102997
RPS6KA6,chrX:83313353-83442943,-0.554401,0.00065,0.00854024
PRIMA1,chr14:94184643-94254766,-0.554323,0.00165,0.0176631
MOV10,chr1:113217047-113243368,-0.553855,0.00005,0.00102997
BTBD11,chr12:107712196-108053419,-0.553173,0.00425,0.0364206
LAMA5,chr20:60884120-60942368,-0.553106,0.00005,0.00102997
ZNF512B,chr20:62571181-62601223,-0.552183,0.00045,0.00638804
IL13RA1,chrX:117861558-117928496,-0.551261,0.00005,0.00102997
NUP35,chr2:183989082-184026408,-0.55111,0.0003,0.00466429
ARHGAP18,chr6:129898239-130031370,-0.550852,0.00005,0.00102997
ATP1B1,chr1:169075946-169337186,-0.54981,0.00005,0.00102997
CREBRF,chr5:172483354-172566291,-0.548638,0.00095,0.011435
ARL10,chr5:175792501-175800503,-0.548152,0.0002,0.00334015
CTNNA1,chr5:138089106-138270723,-0.547836,0.00005,0.00102997
DAAM1,chr14:59655380-59838123,-0.546559,0.00005,0.00102997
NPTX2,chr7:98246596-98259181,-0.54652,0.00005,0.00102997
TNRC6B,chr22:40440820-40731812,-0.544034,0.00005,0.00102997
KDELC2,chr11:108342832-108369159,-0.543376,0.00005,0.00102997
PLK2,chr5:57749809-57755966,-0.543319,0.00005,0.00102997
ZFYVE9,chr1:52608045-52812358,-0.542964,0.0003,0.00466429
EPB41L1,chr20:34679425-34820721,-0.542508,0.00005,0.00102997
GALNT7,chr4:174089903-174245118,-0.542123,0.00005,0.00102997
LSS,chr21:47608359-47648738,-0.542101,0.0001,0.00188184
NR1D2,chr3:23986750-24022109,-0.541903,0.00005,0.00102997
PRCC,chr1:156737273-156770609,-0.541768,0.00005,0.00102997
KPTN,chr19:47978399-47987521,-0.541535,0.0061,0.0476186
ZYG11B,chr1:53192130-53293013,-0.541498,0.00005,0.00102997
TOR1AIP2,chr1:179809101-179846941,-0.539994,0.00005,0.00102997
THAP5,chr7:108202670-108210167,-0.539331,0.00005,0.00102997
WWTR1,chr3:149235021-149421060,-0.538474,0.00015,0.002612
SLC12A6,chr15:34517244-34630265,-0.537819,0.00355,0.0315824
TRIQK,chr8:93895757-93978372,-0.537708,0.00005,0.00102997
CERK,chr22:47080306-47134152,-0.537702,0.00005,0.00102997
KDM4B,chr19:4969123-5153608,-0.53732,0.00035,0.00530278
DEPDC1,chr1:68939834-68962799,-0.536566,0.00005,0.00102997
HIPK2,chr7:139246315-139477693,-0.53642,0.00005,0.00102997
HIST1H3E,chr6:26225382-26225844,-0.536219,0.00005,0.00102997
TSPAN7,chrX:38420730-38548172,-0.535945,0.0025,0.0242031
TMEM43,chr3:14166439-14185180,-0.535859,0.00005,0.00102997
C2CD2,chr21:43305218-43373999,-0.535354,0.00025,0.00400613
HEG1,chr3:124684553-124774802,-0.534832,0.00005,0.00102997
S100A10,chr1:151955385-151966714,-0.534382,0.0001,0.00188184
PHOX2B,chr4:41746098-41750987,-0.534241,0.00005,0.00102997
EVA1A,chr2:75719443-75796848,-0.533354,0.00025,0.00400613
AHNAK,chr11:62201013-62314332,-0.533062,0.00015,0.002612
RAB2B,chr14:21927178-21945132,-0.532065,0.00005,0.00102997
SMYD3,chr1:245912641-246670644,-0.531221,0.00145,0.0159001
ATP8B1,chr18:55297533-55470327,-0.530843,0.00025,0.00400613
MTFR1,chr8:66556887-66622798,-0.530659,0.00215,0.0216325
ACADM,chr1:76190042-76229355,-0.530306,0.00005,0.00102997
TMEM87B,chr2:112812799-112876895,-0.529896,0.00015,0.002612
HSPA12A,chr10:118430702-118502085,-0.529826,0.00005,0.00102997
CLDN12,chr7:90032647-90045268,-0.528158,0.00005,0.00102997
FUBP3,chr9:133454959-133513739,-0.527773,0.00005,0.00102997
MTUS1,chr8:17501302-17658426,-0.52747,0.0002,0.00334015
SCG3,chr15:51973549-52013223,-0.526652,0.00005,0.00102997
ONECUT2,chr18:55102916-55158530,-0.526271,0.00005,0.00102997
SRRM4,chr12:119419299-119600856,-0.525669,0.00095,0.011435
THBS1,chr15:39873279-39889668,-0.525648,0.00015,0.002612
BBS1,chr11:66278118-66301084,-0.525224,0.0014,0.0155081
EMC8,chr16:85812230-85833148,-0.524006,0.0003,0.00466429
SLC18A2,chr10:119000583-119038941,-0.523414,0.0024,0.0234963
EHBP1,chr2:62900985-63275656,-0.52336,0.00005,0.00102997
LMO7,chr13:76194569-76434006,-0.523303,0.0001,0.00188184
KIAA1671,chr22:25423940-25593415,-0.521621,0.00005,0.00102997
DAPK1,chr9:90112755-90323549,-0.520763,0.0001,0.00188184
CACNA2D2,chr3:50400230-50540892,-0.519946,0.00005,0.00102997
GSKIP,chr14:96829788-96853627,-0.518785,0.00025,0.00400613
TAF15,chr17:34136458-34174246,-0.518777,0.0003,0.00466429
FAM129B,chr9:130267617-130341268,-0.518541,0.00005,0.00102997
PNRC1,chr6:89790428-89794879,-0.518532,0.00005,0.00102997
GREB1,chr2:11674241-11782912,-0.517325,0.0004,0.0058565
CHRNB4,chr15:78916635-78933587,-0.51725,0.0031,0.0285716
EMC10,chr19:50970044-50986608,-0.51705,0.00005,0.00102997
ATRX,chrX:76760355-77041719,-0.516931,0.00005,0.00102997
CNOT4,chr7:135046546-135194875,-0.516446,0.00045,0.00638804
CACNG4,chr17:64960979-65029518,-0.516273,0.00005,0.00102997
SOCS3,chr17:76352858-76356158,-0.515851,0.0001,0.00188184
1-Mar,chr1:220960038-220987741,-0.515328,0.00175,0.0185813
ARMCX2,chrX:100910267-100914863,-0.514973,0.00015,0.002612
6-Mar,chr5:10353750-10440500,-0.514951,0.00005,0.00102997
HIST1H2AK,chr6:27805657-27806117,-0.514816,0.0001,0.00188184
LRP1,chr12:57522281-57607125,-0.512949,0.00005,0.00102997
RGS2,chr1:192778168-192781407,-0.512939,0.00095,0.011435
HIST1H2BF,chr6:26199786-26200216,-0.512663,0.0001,0.00188184
TYRO3,chr15:41851219-41871536,-0.512323,0.00165,0.0176631
WDFY3,chr4:85590692-85887544,-0.512232,0.00005,0.00102997
TCEA1,chr8:54879115-54935008,-0.512132,0.00005,0.00102997
BDH2,chr4:103998781-104021024,-0.511472,0.0005,0.00693943
TNR,chr1:175291934-175712752,-0.511334,0.0003,0.00466429
MXRA5,chrX:3226608-3264684,-0.510493,0.0047,0.0392719
MTRNR2L6,chr7:142374130-142375525,-0.510197,0.00005,0.00102997
CSTB,chr21:45193545-45196256,-0.50977,0.0034,0.0305392
MCAM,chr11:119179233-119187840,-0.508759,0.0018,0.019004
SFT2D2,chr1:168195254-168212088,-0.508501,0.00065,0.00854024
SIPA1L2,chr1:232533711-232651243,-0.508396,0.0039,0.0340468
GREM1,chr15:33010204-33026870,-0.508341,0.00005,0.00102997
SEMA3A,chr7:83587658-83824217,-0.507464,0.00055,0.00749009
GLCE,chr15:69116302-69564544,-0.507371,0.00005,0.00102997
EPDR1,chr7:37960162-37991542,-0.507129,0.0027,0.0257575
RRP1B,chr21:45079431-45115960,-0.506167,0.00005,0.00102997
CCDC80,chr3:112323408-112359977,-0.505432,0.00005,0.00102997
EHD3,chr2:31456879-31491260,-0.505343,0.00005,0.00102997
DSCR3,chr21:38595725-38639833,-0.505046,0.00005,0.00102997
SDK1,chr7:3341079-4308631,-0.504559,0.00635,0.0489268
ST3GAL5,chr2:86066270-86116157,-0.504521,0.0003,0.00466429
HIST1H3I,chr6:27839622-27840099,-0.504484,0.00005,0.00102997
SART1,chr11:65729159-65747607,-0.504145,0.00035,0.00530278
AP3S1,chr5:115177618-115249778,-0.503945,0.00025,0.00400613
MCU,chr10:74451888-74647452,-0.503843,0.0014,0.0155081
EGFR,chr7:55086724-55275031,-0.503387,0.0002,0.00334015
RSF1,chr11:77377273-77531880,-0.503111,0.00005,0.00102997
RUNX1T1,chr8:92967194-93115454,-0.502661,0.0011,0.0128843
SIX1,chr14:61111416-61116155,-0.502479,0.0012,0.0137958
NUP54,chr4:77035816-77069655,-0.502236,0.00015,0.002612
DBNDD1,chr16:90071278-90085937,-0.500687,0.00105,0.0124212
USP3,chr15:63796709-63894620,-0.499153,0.0002,0.00334015
INVS,chr9:102861501-103063426,-0.499125,0.0005,0.00693943
ZNF25,chr10:38238794-38265453,-0.498287,0.0004,0.0058565
NFIA,chr1:61542945-61928460,-0.498274,0.0002,0.00334015
IL20RA,chr6:137321107-137366298,-0.49807,0.0023,0.0227561
ZNF37A,chr10:38383263-38412278,-0.495445,0.0001,0.00188184
NT5DC3,chr12:104166080-104234975,-0.495128,0.0004,0.0058565
LPHN1,chr19:14247963-14316997,-0.494679,0.00005,0.00102997
TMTC3,chr12:88536072-88593664,-0.494111,0.0001,0.00188184
NF1,chr17:29421944-29704695,-0.493667,0.00015,0.002612
CUL1,chr7:148395932-148498202,-0.493464,0.00005,0.00102997
TENM3,chr4:183245136-183724177,-0.493411,0.00005,0.00102997
ZNF334,chr20:45128268-45142198,-0.491958,0.0018,0.019004
DIRAS1,chr19:2714564-2721390,-0.491875,0.0027,0.0257575
SULF2,chr20:46286149-46415360,-0.490748,0.00035,0.00530278
HSPBP1,chr19:55773590-55791751,-0.490601,0.00135,0.015173
ARL13B,chr3:93698982-93774522,-0.490476,0.00365,0.032318
GPR107,chr9:132815984-132902448,-0.490338,0.00005,0.00102997
CEP41,chr7:130033611-130081051,-0.488976,0.0004,0.0058565
HDAC4,chr2:239969863-240322643,-0.487249,0.0009,0.010985
GSN,chr9:124030379-124095120,-0.487028,0.00005,0.00102997
TMEM48,chr1:54231133-54304225,-0.486763,0.00005,0.00102997
ITGA4,chr2:182321618-182521834,-0.486303,0.00095,0.011435
ARSJ,chr4:114821439-114900878,-0.486184,0.0004,0.0058565
EXOC5,chr14:57669193-57756797,-0.486079,0.00035,0.00530278
ELF1,chr13:41506054-41593508,-0.485862,0.0021,0.0213266
THRAP3,chr1:36690016-36770957,-0.485529,0.00005,0.00102997
FAM111B,chr11:58874657-58894888,-0.48546,0.00275,0.02612
PROX1,chr1:214161277-214214847,-0.48495,0.00005,0.00102997
GNAQ,chr9:80335190-80646219,-0.48347,0.00005,0.00102997
DOPEY2,chr21:37536838-37666572,-0.483436,0.00185,0.0193909
SWAP70,chr11:9685627-9774507,-0.483279,0.0003,0.00466429
MED12,chrX:70338405-70362304,-0.482746,0.00015,0.002612
EXOC6B,chr2:72406443-73053177,-0.482293,0.00305,0.0282504
RMI1,chr9:86595636-86618987,-0.482244,0.0006,0.00801227
HSPA2,chr14:65007185-65009954,-0.482025,0.00255,0.024596
KCTD21,chr11:77882297-77899664,-0.481601,0.00495,0.0408641
WIZ,chr19:15532317-15560762,-0.481579,0.0011,0.0128843
TSPAN33,chr7:128784711-128809534,-0.481457,0.0018,0.019004
ZBTB2,chr6:151685249-151712677,-0.481316,0.0017,0.0181241
BMF,chr15:40380090-40401085,-0.481265,0.00585,0.0463317
UBE2A,chrX:118708498-118718379,-0.481097,0.0004,0.0058565
TAOK1,chr17:27717942-27878921,-0.480723,0.00005,0.00102997
ZNF585B,chr19:37672480-37701451,-0.480185,0.0008,0.0100173
RAB23,chr6:57053581-57087078,-0.478349,0.00085,0.0105223
TOR1B,chr9:132565431-132573560,-0.477321,0.0002,0.00334015
SFRP1,chr8:41119475-41166990,-0.476566,0.00005,0.00102997
GINS4,chr8:41386724-41402565,-0.476451,0.0047,0.0392719
CBLN2,chr18:70203914-70211723,-0.47571,0.0061,0.0476186
B4GALNT4,chr11:369794-382117,-0.475643,0.00015,0.002612
FXYD6,chr11:117690789-117748201,-0.47556,0.0006,0.00801227
VBP1,chrX:154444700-154468098,-0.475248,0.0003,0.00466429
QSER1,chr11:32914791-33001814,-0.475188,0.00005,0.00102997
CD302,chr2:160625138-160761267,-0.474547,0.0021,0.0213266
CPSF2,chr14:92588297-92630543,-0.474401,0.00005,0.00102997
PAPOLA,chr14:96968712-97033453,-0.473871,0.00005,0.00102997
NNMT,chr11:114166534-114183238,-0.473596,0.0003,0.00466429
SPRY4,chr5:141689991-141704620,-0.473561,0.0001,0.00188184
BTF3L4,chr1:52521856-52556388,-0.472931,0.00005,0.00102997
DHX33,chr17:5344231-5372380,-0.472654,0.00025,0.00400613
GINS3,chr16:58426297-58440048,-0.472563,0.005,0.0411728
IRF2BP2,chr1:234740014-234745271,-0.472471,0.00005,0.00102997
TFAM,chr10:60144902-60158990,-0.472069,0.00005,0.00102997
KIAA0232,chr4:6784458-6885899,-0.471181,0.0001,0.00188184
ADK,chr10:75910942-76469061,-0.470677,0.00155,0.0168131
OGDHL,chr10:50942686-50970425,-0.470359,0.0002,0.00334015
FAXC,chr6:99720792-99797531,-0.469526,0.00055,0.00749009
CPEB2,chr4:15004297-15071777,-0.468497,0.00405,0.0350749
TBX2,chr17:59477256-59486827,-0.467998,0.0004,0.0058565
FLNC,chr7:128470482-128499328,-0.467545,0.0001,0.00188184
MYO9A,chr15:72118360-72433311,-0.467176,0.00015,0.002612
MAP9,chr4:156263811-156298122,-0.466228,0.0003,0.00466429
NRXN2,chr11:64373645-64490660,-0.466015,0.00145,0.0159001
TTLL12,chr22:43562627-43583137,-0.465871,0.001,0.0119378
PPARA,chr22:46546498-46639653,-0.465729,0.0003,0.00466429
CNKSR3,chr6:154726432-154831753,-0.465579,0.00025,0.00400613
NFIC,chr19:3359560-3469215,-0.465085,0.00045,0.00638804
KATNAL1,chr13:30776766-30881624,-0.464858,0.00005,0.00102997
TOX,chr8:59717976-60031767,-0.464118,0.00195,0.0202119
NUCKS1,chr1:205681946-205719372,-0.464113,0.0003,0.00466429
USP15,chr12:62654120-62803501,-0.463886,0.00645,0.0494059
CLIP1,chr12:122755980-122907116,-0.46374,0.00045,0.00638804
WDR11,chr10:122216465-122806858,-0.463169,0.0001,0.00188184
TOB2,chr22:41829491-41843027,-0.462663,0.00295,0.0275587
ASAP2,chr2:9346893-9545812,-0.462638,0.00005,0.00102997
KPNA6,chr1:32573643-32642168,-0.462615,0.00005,0.00102997
AKAP2,chr9:112403067-112934791,-0.462606,0.00205,0.0210645
LONRF2,chr2:100889752-100939195,-0.462164,0.00035,0.00530278
BOD1L1,chr4:13570365-13629328,-0.462046,0.0001,0.00188184
10-Sep,chr2:110300373-110371783,-0.461835,0.0002,0.00334015
KLHL24,chr3:183353410-183402304,-0.461358,0.0001,0.00188184
RAB11FIP3,chr16:475667-572481,-0.460851,0.00105,0.0124212
FUT8,chr14:65877309-66210839,-0.459812,0.00005,0.00102997
CD24,chrY:21094584-21239302,-0.459192,0.0002,0.00334015
PTRF,chr17:40554466-40575338,-0.458952,0.00015,0.002612
DNMT3A,chr2:25455829-25565459,-0.45888,0.0001,0.00188184
TGFBI,chr5:135364583-135399507,-0.45874,0.00195,0.0202119
ASAP1,chr8:131064350-131455906,-0.458577,0.00005,0.00102997
RPS6KA2,chr6:166822853-167275771,-0.458191,0.0001,0.00188184
OSBPL8,chr12:76745577-76953589,-0.457648,0.00005,0.00102997
TRIM2,chr4:154074269-154260474,-0.457555,0.0001,0.00188184
ELOVL6,chr4:110970228-111119820,-0.456403,0.0008,0.0100173
SIX3,chr2:45169036-45173216,-0.454785,0.0048,0.0398525
MOXD1,chr6:132617193-132722664,-0.45425,0.00015,0.002612
CLIP3,chr19:36505561-36523797,-0.454011,0.0009,0.010985
RNF24,chr20:3912068-3996216,-0.453698,0.00195,0.0202119
HIST1H2BL,chr6:27775256-27775709,-0.453361,0.0001,0.00188184
SUCNR1,chr3:151591430-151599876,-0.453175,0.00125,0.0142328
ZMYM2,chr13:20532809-20665968,-0.452906,0.0001,0.00188184
MBTD1,chr17:49254785-49337427,-0.45256,0.00015,0.002612
NEIL2,chr8:11627171-11644854,-0.452144,0.0065,0.0496433
KIF13A,chr6:17759413-17987854,-0.451932,0.00375,0.0330466
DENND5A,chr11:9160374-9286873,-0.451707,0.00005,0.00102997
GNB5,chr15:52413122-52483565,-0.4513,0.0012,0.0137958
HIF1A,chr14:62162118-62215807,-0.451256,0.00065,0.00854024
ZNF318,chr6:43303807-43337181,-0.450925,0.00065,0.00854024
HMGCS1,chr5:43287571-43313614,-0.450785,0.0005,0.00693943
INIP,chr9:115448790-115480387,-0.450476,0.0038,0.033397
TMEM108,chr3:132757170-133116619,-0.450383,0.0008,0.0100173
NCS1,chr9:132934856-132999583,-0.450114,0.00015,0.002612
RRP15,chr1:218458628-218511325,-0.45003,0.00045,0.00638804
PHC3,chr3:169805367-169899537,-0.449193,0.0004,0.0058565
ALDH6A1,chr14:74486058-74551196,-0.449002,0.0055,0.0441759
WRB,chr21:40752212-40769815,-0.448934,0.0019,0.0198353
ATP8A1,chr4:42410391-42659122,-0.448829,0.00015,0.002612
FAM120A,chr9:96208781-96328397,-0.44847,0.00025,0.00400613
DUSP7,chr3:52082936-52090461,-0.448184,0.0004,0.0058565
CYP20A1,chr2:204103163-204170563,-0.447738,0.00115,0.013374
FCHSD2,chr11:72547789-72853143,-0.447582,0.0014,0.0155081
BICD2,chr9:95473644-95527083,-0.447242,0.00025,0.00400613
GALNT1,chr18:33234532-33291798,-0.447241,0.00005,0.00102997
MBOAT2,chr2:8996700-9143876,-0.446957,0.00005,0.00102997
VPS26A,chr10:70883907-70932616,-0.446396,0.0003,0.00466429
ARL2,chr11:64781584-64808044,-0.446049,0.00455,0.0383374
UHRF1,chr19:4909509-4962165,-0.445752,0.0003,0.00466429
STK17A,chr7:43622691-43666978,-0.445518,0.00015,0.002612
KTN1,chr14:56046924-56151302,-0.445493,0.00005,0.00102997
FAM98A,chr2:33808728-33824362,-0.444579,0.002,0.0206319
GATA4,chr8:11561716-11617509,-0.444371,0.00655,0.0498793
SOX4,chr6:21593971-21598849,-0.444105,0.0002,0.00334015
ELAVL4,chr1:50513685-50667540,-0.443989,0.00015,0.002612
DHCR24,chr1:55315299-55352921,-0.443301,0.00025,0.00400613
RPS15A,chr16:18794276-18801656,-0.443072,0.00055,0.00749009
FASN,chr17:80036213-80056106,-0.442318,0.0004,0.0058565
NOL10,chr2:10710891-10830113,-0.441672,0.0002,0.00334015
HMG20A,chr15:77713242-77777945,-0.441388,0.0004,0.0058565
EIF4EBP2,chr10:72163860-72188374,-0.441008,0.0001,0.00188184
CDC42BPA,chr1:227177565-227505826,-0.440696,0.0002,0.00334015
ZKSCAN1,chr7:99613218-99635403,-0.440693,0.00005,0.00102997
RINT1,chr7:105172531-105221976,-0.439172,0.00555,0.0444136
GALC,chr14:88399357-88460009,-0.438886,0.00365,0.032318
COA4,chr11:73583712-73638781,-0.437921,0.00385,0.033723
OBSCN,chr1:228391206-228566575,-0.437559,0.0005,0.00693943
RAB31,chr18:9708227-9862553,-0.436508,0.00205,0.0210645
WASL,chr7:123321996-123389116,-0.436306,0.00025,0.00400613
MAP1LC3B,chr16:87425800-87438380,-0.435089,0.001,0.0119378
CRELD2,chr22:50312282-50321186,-0.435072,0.005,0.0411728
AMER1,chrX:63404996-63425624,-0.434851,0.0019,0.0198353
CD59,chr11:33724555-33758025,-0.433925,0.00015,0.002612
PDP1,chr8:94929082-94938296,-0.433758,0.00075,0.00960294
NCKAP1,chr2:183789604-183903229,-0.433494,0.0004,0.0058565
ZNF317,chr19:9251055-9274091,-0.433351,0.00075,0.00960294
CMPK1,chr1:47799468-47844511,-0.432634,0.0002,0.00334015
C17orf96,chr17:36827958-36831187,-0.432578,0.0046,0.0386341
GBF1,chr10:104005254-104142656,-0.432083,0.00075,0.00960294
PRKACA,chr19:14202506-14228559,-0.431019,0.0031,0.0285716
OSBP,chr11:59341870-59383617,-0.429685,0.00065,0.00854024
CCDC91,chr12:28410132-28703099,-0.429231,0.00155,0.0168131
PNPO,chr17:46018888-46026674,-0.429049,0.00215,0.0216325
MED14,chrX:40508794-40594804,-0.428908,0.0004,0.0058565
PLEKHA1,chr10:124134093-124191871,-0.428903,0.0009,0.010985
SCOC,chr4:141178439-141303710,-0.428704,0.00055,0.00749009
ANKIB1,chr7:91875547-92030698,-0.428222,0.00015,0.002612
RPS6KB1,chr17:57970406-58027786,-0.427483,0.00005,0.00102997
TSPAN11,chr12:31079837-31149537,-0.426868,0.0014,0.0155081
PCYT2,chr17:79860071-79869340,-0.426808,0.0053,0.0429659
WNK2,chr9:95947211-96108696,-0.426386,0.00335,0.0301939
HIST2H2AB,chr1:149859018-149859466,-0.426284,0.0008,0.0100173
UBR7,chr14:93669236-93695561,-0.426114,0.0019,0.0198353
NCAM1,chr11:112831968-113149158,-0.425021,0.0003,0.00466429
FGD6,chr12:95470524-95611240,-0.425021,0.00325,0.0296197
YTHDF1,chr20:61826781-61847538,-0.424852,0.00095,0.011435
ZBTB18,chr1:244214560-244220778,-0.42469,0.00195,0.0202119
PUS7,chr7:105096959-105162685,-0.424688,0.00045,0.00638804
ZKSCAN7,chr3:44596712-44624973,-0.424306,0.0057,0.045281
LRRN3,chr7:110303105-111202573,-0.4238,0.00085,0.0105223
PAM,chr5:102201526-102366808,-0.423703,0.0005,0.00693943
COL5A2,chr2:189896640-190044605,-0.42328,0.00055,0.00749009
CHD6,chr20:40031169-40247133,-0.42327,0.00015,0.002612
PDP2,chr16:66914382-66925002,-0.422958,0.0023,0.0227561
TMTC2,chr12:83080933-83528067,-0.422927,0.00605,0.0472849
LCMT2,chr15:43619973-43622820,-0.422854,0.00415,0.0357278
EEF1A2,chr20:62119364-62130668,-0.422037,0.00025,0.00400613
ICA1,chr7:8152814-8302242,-0.420968,0.00055,0.00749009
VEGFA,chr6:43737945-43754223,-0.420712,0.0011,0.0128843
DBH,chr9:136501484-136524466,-0.420292,0.00045,0.00638804
HIST1H1C,chr6:26055967-26056699,-0.420208,0.00035,0.00530278
ZNF362,chr1:33722173-33766320,-0.419868,0.0013,0.0146869
TPM1,chr15:63334837-63364113,-0.419791,0.00035,0.00530278
TFDP2,chr3:141663269-141868386,-0.419713,0.00045,0.00638804
ARL6IP5,chr3:69134089-69155239,-0.419648,0.00135,0.015173
ANTXR2,chr4:80822770-80994477,-0.419551,0.00375,0.0330466
PRNP,chr20:4666796-4682234,-0.419505,0.00125,0.0142328
SLC5A3,chr21:35445822-35515334,-0.419504,0.0009,0.010985
FBXL20,chr17:37408896-37557909,-0.419492,0.00095,0.011435
ABCC1,chr16:16043433-16236930,-0.418994,0.00065,0.00854024
BICC1,chr10:60272903-60588845,-0.418986,0.0012,0.0137958
CEP104,chr1:3728644-3773797,-0.417446,0.00535,0.0432906
FBXL19,chr16:30930639-30960104,-0.417314,0.0021,0.0213266
KIAA0922,chr4:154387497-154557862,-0.417138,0.0033,0.0299084
RIMS3,chr1:41086351-41131324,-0.41685,0.00025,0.00400613
